word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
la;2;231160;10;4;2311600;462320
pataphysique;12;24;73;24;1752;288
est;3;139273;15;6;2089095;417819
une;3;77779;20;6;1555580;233337
science;7;557;37;14;20609;3899
parodique;9;6;51;18;306;54
elle;4;27267;22;8;599874;109068
designe;7;742;38;14;28196;5194
des;3;128016;13;6;1664208;384048
solutions;9;180;59;18;10620;1620
imaginaires;11;61;62;22;3782;671
l;1;157746;7;2;1104222;157746
apostrophe;10;11;55;20;605;110
n;1;21546;8;2;172368;21546
pas;3;29643;15;6;444645;88929
utilisee;8;820;46;16;37720;6560
devant;6;1516;34;12;51544;9096
le;2;201192;11;4;2213112;402384
mot;3;1952;19;6;37088;5856
lorsque;7;1780;43;14;76540;12460
terme;5;1084;24;10;26016;5420
utilise;7;1811;42;14;76062;12677
comme;5;22075;28;10;618100;110375
un;2;98321;16;4;1573136;196642
adjectif;8;123;44;16;5412;984
fut;3;3909;20;6;78180;11727
cree;4;1640;17;8;27880;6560
par;3;55637;14;6;778918;166911
ecrivain;8;514;45;16;23130;4112
francais;8;5880;44;16;258720;47040
alfred;6;152;30;12;4560;912
jarry;5;8;30;10;240;40
qui;3;63007;22;6;1386154;189021
avait;5;4938;29;10;143202;24690
defini;6;109;34;12;3706;654
accorde;7;219;34;14;7446;1533
symboliquement;14;34;90;28;3060;476
aux;3;16302;23;6;374946;48906
lineaments;10;1;59;20;59;10
les;3;172027;16;6;2752432;516081
proprietes;10;260;50;20;13000;2600
objets;6;1098;36;12;39528;6588
decrits;7;45;34;14;1530;315
leur;4;13586;23;8;312478;54344
virtualite;10;1;59;20;59;10
dans;4;62106;22;8;1366332;248424
beaucoup;8;6674;48;16;320352;53392
d;1;106690;4;2;426760;106690
uvres;5;936;28;10;26208;4680
de;2;369294;8;4;2954352;738588
cet;3;4792;15;6;71880;14376
tres;4;16228;19;8;308332;64912
presente;8;1277;40;16;51080;10216
se;2;35559;9;4;320031;71118
developpa;9;36;48;18;1728;324
au;2;46340;13;4;602420;92680
e;1;4058;4;2;16232;4058
siecle;6;7152;31;12;221712;42912
college;7;1563;41;14;64083;10941
en;2;131424;12;4;1577088;262848
pour;4;59206;24;8;1420944;236824
enseigner;9;79;50;18;3950;711
il;2;86530;13;4;1124890;173060
actuellement;12;1035;70;24;72450;12420
situe;5;1475;29;10;42775;7375
a;1;142169;5;2;710845;142169
paris;5;4580;25;10;114500;22900
ecrivains;9;220;50;18;11000;1980
et;2;162818;10;4;1628180;325636
artistes;8;653;41;16;26773;5224
illustres;9;30;52;18;1560;270
sont;4;40154;26;8;1044004;160616
pataphysiciens;14;8;81;28;648;112
marcel;6;148;31;12;4588;888
duchamp;7;10;40;14;400;70
jacques;7;799;43;14;34357;5593
