word,Nb_char (C_w),Freq (F_w),Nb_scan_block (S_w_b),Nb_scan_key (S_w_k),Nb_scan (S_w),Nb_act_block,Nb_act_key,Nb_act,S_w_b x F_w,S_w_k x F_w,S_w x F_w,C_w x F_w,,,
de ,3,369294,0,12,12,0,3,3,0,4431528,4431528,1107882,,,
la ,3,231160,0,16,16,0,3,3,0,3698560,3698560,693480,,,
le ,3,201192,0,20,20,0,3,3,0,4023840,4023840,603576,,,"10,237720118536"
les ,4,172027,0,40,40,0,4,4,0,6881080,6881080,688108,,,
et ,3,162818,0,28,28,0,3,3,0,4558904,4558904,488454,,,
a ,2,142169,0,3,3,0,2,2,0,426507,426507,284338,,,
est ,4,139273,0,48,48,0,4,4,0,6685104,6685104,557092,,,
en ,3,131424,0,22,22,0,3,3,0,2891328,2891328,394272,,,
des ,4,128016,0,32,32,0,4,4,0,4096512,4096512,512064,,,
d ,2,106690,0,6,6,0,2,2,0,640140,640140,213380,,,
un ,3,98321,0,38,38,0,3,3,0,3736198,3736198,294963,,,
il ,3,86530,0,24,24,0,3,3,0,2076720,2076720,259590,,,
du ,3,81566,0,28,28,0,3,3,0,2283848,2283848,244698,,,
une ,4,77779,0,44,44,0,4,4,0,3422276,3422276,311116,,,
qui ,4,63007,0,51,51,0,4,4,0,3213357,3213357,252028,,,
dans ,5,62106,0,43,43,0,5,5,0,2670558,2670558,310530,,,
pour ,5,59206,0,75,75,0,5,5,0,4440450,4440450,296030,,,
par ,4,55637,0,39,39,0,4,4,0,2169843,2169843,222548,,,
au ,3,46340,0,25,25,0,3,3,0,1158500,1158500,139020,,,
que ,4,45724,0,47,47,0,4,4,0,2149028,2149028,182896,,,
plus ,5,41215,0,73,73,0,5,5,0,3008695,3008695,206075,,,
sont ,5,40154,0,73,73,0,5,5,0,2931242,2931242,200770,,,
se ,3,35559,0,27,27,0,3,3,0,960093,960093,106677,,,
c ,2,34853,0,5,5,0,2,2,0,174265,174265,69706,,,
sur ,4,34442,0,62,62,0,4,4,0,2135404,2135404,137768,,,
ou ,3,31878,0,39,39,0,3,3,0,1243242,1243242,95634,,,
on ,3,30509,0,32,32,0,3,3,0,976288,976288,91527,,,
son ,4,30237,0,52,52,0,4,4,0,1572324,1572324,120948,,,
pas ,4,29643,0,40,40,0,4,4,0,1185720,1185720,118572,,,
ce ,3,29011,0,11,11,0,3,3,0,319121,319121,87033,,,
s ,2,28036,0,21,21,0,2,2,0,588756,588756,56072,,,
elle ,5,27267,0,39,39,0,5,5,0,1063413,1063413,136335,,,
avec ,5,26472,0,36,36,0,5,5,0,952992,952992,132360,,,
qu ,3,25763,0,41,41,0,3,3,0,1056283,1056283,77289,,,
mais ,5,25550,0,47,47,0,5,5,0,1200850,1200850,127750,,,
ne ,3,24536,0,22,22,0,3,3,0,539792,539792,73608,,,
comme ,6,22075,0,55,55,0,6,6,0,1214125,1214125,132450,,,
n ,2,21546,0,16,16,0,2,2,0,344736,344736,43092,,,
sa ,3,18696,0,23,23,0,3,3,0,430008,430008,56088,,,
ils ,4,17444,0,44,44,0,4,4,0,767536,767536,69776,,,
ont ,4,17423,0,53,53,0,4,4,0,923419,923419,69692,,,
ete ,4,17041,0,34,34,0,4,4,0,579394,579394,68164,,,
y ,2,16352,0,27,27,0,2,2,0,441504,441504,32704,,,
aux ,4,16302,0,50,50,0,4,4,0,815100,815100,65208,,,
tres ,5,16228,0,67,67,0,5,5,0,1087276,1087276,81140,,,
aussi ,6,15694,0,75,75,0,6,6,0,1177050,1177050,94164,,,
ses ,4,15661,0,47,47,0,4,4,0,736067,736067,62644,,,
cette ,6,15351,0,59,59,0,6,6,0,905709,905709,92106,,,
fait ,5,14532,0,41,41,0,5,5,0,595812,595812,72660,,,
peut ,5,13949,0,67,67,0,5,5,0,934583,934583,69745,,,
leur ,5,13586,0,61,61,0,5,5,0,828746,828746,67930,,,
deux ,5,13274,0,59,59,0,5,5,0,783166,783166,66370,,,
etre ,5,13146,0,53,53,0,5,5,0,696738,696738,65730,,,
meme ,5,12315,0,41,41,0,5,5,0,504915,504915,61575,,,
etait ,6,11616,0,61,61,0,6,6,0,708576,708576,69696,,,
entre ,6,11581,0,68,68,0,6,6,0,787508,787508,69486,,,
je ,3,11517,0,18,18,0,3,3,0,207306,207306,34551,,,
france ,7,10672,0,54,54,0,7,7,0,576288,576288,74704,,,
apres ,6,10577,0,65,65,0,6,6,0,687505,687505,63462,,,
autres ,7,10414,0,91,91,0,7,7,0,947674,947674,72898,,,
pays ,5,10308,0,66,66,0,5,5,0,680328,680328,51540,,,
ces ,4,10300,0,31,31,0,4,4,0,319300,319300,41200,,,
ans ,4,10179,0,38,38,0,4,4,0,386802,386802,40716,,,
lui ,4,10160,0,46,46,0,4,4,0,467360,467360,40640,,,
o ,2,9817,0,17,17,0,2,2,0,166889,166889,19634,,,
alors ,6,9631,0,71,71,0,6,6,0,683801,683801,57786,,,
faire ,6,9379,0,45,45,0,6,6,0,422055,422055,56274,,,
si ,3,9322,0,31,31,0,3,3,0,288982,288982,27966,,,
tout ,5,9271,0,81,81,0,5,5,0,750951,750951,46355,,,
j ,2,9028,0,12,12,0,2,2,0,108336,108336,18056,,,
bien ,5,8969,0,35,35,0,5,5,0,313915,313915,44845,,,
donc ,5,8648,0,41,41,0,5,5,0,354568,354568,43240,,,
ville ,6,8242,0,66,66,0,6,6,0,543972,543972,49452,,,
sous ,5,8064,0,79,79,0,5,5,0,637056,637056,40320,,,
monde ,6,7979,0,57,57,0,6,6,0,454803,454803,47874,,,
roi ,4,7628,0,46,46,0,4,4,0,350888,350888,30512,,,
nom ,4,7508,0,46,46,0,4,4,0,345368,345368,30032,,,
guerre ,7,7165,0,81,81,0,7,7,0,580365,580365,50155,,,
siecle ,7,7152,0,60,60,0,7,7,0,429120,429120,50064,,,
tous ,5,7150,0,80,80,0,5,5,0,572000,572000,35750,,,
partie ,7,7136,0,76,76,0,7,7,0,542336,542336,49952,,,
plusieurs ,10,6946,0,150,150,0,10,10,0,1041900,1041900,69460,,,
depuis ,7,6924,0,81,81,0,7,7,0,560844,560844,48468,,,
dont ,5,6896,0,58,58,0,5,5,0,399968,399968,34480,,,
contre ,7,6824,0,82,82,0,7,7,0,559568,559568,47768,,,
beaucoup ,9,6674,0,93,93,0,9,9,0,620682,620682,60066,,,
ainsi ,6,6582,0,58,58,0,6,6,0,381756,381756,39492,,,
leurs ,6,6562,0,81,81,0,6,6,0,531522,531522,39372,,,
pendant ,8,6537,0,82,82,0,8,8,0,536034,536034,52296,,,
puis ,5,6508,0,70,70,0,5,5,0,455560,455560,32540,,,
grand ,6,6287,0,50,50,0,6,6,0,314350,314350,37722,,,
car ,4,6265,0,26,26,0,4,4,0,162890,162890,25060,,,
peu ,4,6180,0,46,46,0,4,4,0,284280,284280,24720,,,
avoir ,6,6113,0,71,71,0,6,6,0,434023,434023,36678,,,
grande ,7,6074,0,56,56,0,7,7,0,340144,340144,42518,,,
t ,2,6042,0,22,22,0,2,2,0,132924,132924,12084,,,
tu ,3,5996,0,44,44,0,3,3,0,263824,263824,17988,,,
egalement ,10,5973,0,92,92,0,10,10,0,549516,549516,59730,,,
sans ,5,5962,0,58,58,0,5,5,0,345796,345796,29810,,,
nord ,5,5949,0,56,56,0,5,5,0,333144,333144,29745,,,
sud ,4,5944,0,48,48,0,4,4,0,285312,285312,23776,,,
souvent ,8,5906,0,124,124,0,8,8,0,732344,732344,47248,,,
francais ,9,5880,0,80,80,0,9,9,0,470400,470400,52920,,,
avant ,6,5756,0,64,64,0,6,6,0,368384,368384,34536,,,
exemple ,8,5715,0,88,88,0,8,8,0,502920,502920,45720,,,
cela ,5,5619,0,26,26,0,5,5,0,146094,146094,28095,,,
encore ,7,5618,0,67,67,0,7,7,0,376406,376406,39326,,,
jusqu ,6,5599,0,94,94,0,6,6,0,526306,526306,33594,,,
fois ,5,5568,0,54,54,0,5,5,0,300672,300672,27840,,,
temps ,6,5539,0,79,79,0,6,6,0,437581,437581,33234,,,
eau ,4,5501,0,31,31,0,4,4,0,170531,170531,22004,,,
premier ,8,5399,0,92,92,0,8,8,0,496708,496708,43192,,,
elles ,6,5315,0,59,59,0,6,6,0,313585,313585,31890,,,
nous ,5,5290,0,74,74,0,5,5,0,391460,391460,26450,,,
