word,Nb_char (C_w),Freq (F_w),Nb_scan_block (S_w_b),Nb_scan_key (S_w_k),Nb_scan (S_w),Nb_act_block,Nb_act_key,Nb_act,S_w_b x F_w,S_w_k x F_w,S_w x F_w,C_w x F_w,,,
de ,3,369294,0,7,7,0,3,3,0,2585058,2585058,1107882,,,
la ,3,231160,0,4,4,0,3,3,0,924640,924640,693480,,,
le ,3,201192,0,3,3,0,3,3,0,603576,603576,603576,,,
les ,4,172027,0,5,5,0,4,4,0,860135,860135,688108,,,
et ,3,162818,0,13,13,0,3,3,0,2116634,2116634,488454,,,"3,36188591134549"
a ,2,142169,0,12,12,0,2,2,0,1706028,1706028,284338,,,
est ,4,139273,0,12,12,0,4,4,0,1671276,1671276,557092,,,
en ,3,131424,0,12,12,0,3,3,0,1577088,1577088,394272,,,
des ,4,128016,0,6,6,0,4,4,0,768096,768096,512064,,,
d ,2,106690,0,5,5,0,2,2,0,533450,533450,213380,,,
un ,3,98321,0,8,8,0,3,3,0,786568,786568,294963,,,
il ,3,86530,0,21,21,0,3,3,0,1817130,1817130,259590,,,
du ,3,81566,0,7,7,0,3,3,0,570962,570962,244698,,,
une ,4,77779,0,10,10,0,4,4,0,777790,777790,311116,,,
qui ,4,63007,0,9,9,0,4,4,0,567063,567063,252028,,,
dans ,5,62106,0,10,10,0,5,5,0,621060,621060,310530,,,
pour ,5,59206,0,9,9,0,5,5,0,532854,532854,296030,,,
par ,4,55637,0,6,6,0,4,4,0,333822,333822,222548,,,
au ,3,46340,0,17,17,0,3,3,0,787780,787780,139020,,,
que ,4,45724,0,8,8,0,4,4,0,365792,365792,182896,,,
plus ,5,41215,0,11,11,0,5,5,0,453365,453365,206075,,,
sont ,5,40154,0,16,16,0,5,5,0,642464,642464,200770,,,
se ,3,35559,0,9,9,0,3,3,0,320031,320031,106677,,,
c ,2,34853,0,17,17,0,2,2,0,592501,592501,69706,,,
sur ,4,34442,0,16,16,0,4,4,0,551072,551072,137768,,,
ou ,3,31878,0,19,19,0,3,3,0,605682,605682,95634,,,
on ,3,30509,0,14,14,0,3,3,0,427126,427126,91527,,,
son ,4,30237,0,14,14,0,4,4,0,423318,423318,120948,,,
pas ,4,29643,0,7,7,0,4,4,0,207501,207501,118572,,,
ce ,3,29011,0,11,11,0,3,3,0,319121,319121,87033,,,
s ,2,28036,0,7,7,0,2,2,0,196252,196252,56072,,,
elle ,5,27267,0,18,18,0,5,5,0,490806,490806,136335,,,
avec ,5,26472,0,23,23,0,5,5,0,608856,608856,132360,,,
qu ,3,25763,0,9,9,0,3,3,0,231867,231867,77289,,,
mais ,5,25550,0,16,16,0,5,5,0,408800,408800,127750,,,
ne ,3,24536,0,19,19,0,3,3,0,466184,466184,73608,,,
comme ,6,22075,0,14,14,0,6,6,0,309050,309050,132450,,,
n ,2,21546,0,17,17,0,2,2,0,366282,366282,43092,,,
sa ,3,18696,0,15,15,0,3,3,0,280440,280440,56088,,,
ils ,4,17444,0,25,25,0,4,4,0,436100,436100,69776,,,
ont ,4,17423,0,16,16,0,4,4,0,278768,278768,69692,,,
ete ,4,17041,0,27,27,0,4,4,0,460107,460107,68164,,,
y ,2,16352,0,23,23,0,2,2,0,376096,376096,32704,,,
aux ,4,16302,0,20,20,0,4,4,0,326040,326040,65208,,,
tres ,5,16228,0,21,21,0,5,5,0,340788,340788,81140,,,
aussi ,6,15694,0,23,23,0,6,6,0,360962,360962,94164,,,
ses ,4,15661,0,12,12,0,4,4,0,187932,187932,62644,,,
cette ,6,15351,0,16,16,0,6,6,0,245616,245616,92106,,,
fait ,5,14532,0,14,14,0,5,5,0,203448,203448,72660,,,
peut ,5,13949,0,11,11,0,5,5,0,153439,153439,69745,,,
leur ,5,13586,0,7,7,0,5,5,0,95102,95102,67930,,,
deux ,5,13274,0,9,9,0,5,5,0,119466,119466,66370,,,
etre ,5,13146,0,21,21,0,5,5,0,276066,276066,65730,,,
meme ,5,12315,0,22,22,0,5,5,0,270930,270930,61575,,,
etait ,6,11616,0,23,23,0,6,6,0,267168,267168,69696,,,
entre ,6,11581,0,15,15,0,6,6,0,173715,173715,69486,,,
je ,3,11517,0,18,18,0,3,3,0,207306,207306,34551,,,
france ,7,10672,0,17,17,0,7,7,0,181424,181424,74704,,,
apres ,6,10577,0,31,31,0,6,6,0,327887,327887,63462,,,
autres ,7,10414,0,22,22,0,7,7,0,229108,229108,72898,,,
pays ,5,10308,0,9,9,0,5,5,0,92772,92772,51540,,,
ces ,4,10300,0,13,13,0,4,4,0,133900,133900,41200,,,
ans ,4,10179,0,14,14,0,4,4,0,142506,142506,40716,,,
lui ,4,10160,0,11,11,0,4,4,0,111760,111760,40640,,,
o ,2,9817,0,26,26,0,2,2,0,255242,255242,19634,,,
alors ,6,9631,0,26,26,0,6,6,0,250406,250406,57786,,,
faire ,6,9379,0,16,16,0,6,6,0,150064,150064,56274,,,
si ,3,9322,0,11,11,0,3,3,0,102542,102542,27966,,,
tout ,5,9271,0,22,22,0,5,5,0,203962,203962,46355,,,
j ,2,9028,0,21,21,0,2,2,0,189588,189588,18056,,,
bien ,5,8969,0,26,26,0,5,5,0,233194,233194,44845,,,
donc ,5,8648,0,13,13,0,5,5,0,112424,112424,43240,,,
ville ,6,8242,0,31,31,0,6,6,0,255502,255502,49452,,,
sous ,5,8064,0,16,16,0,5,5,0,129024,129024,40320,,,
monde ,6,7979,0,19,19,0,6,6,0,151601,151601,47874,,,
roi ,4,7628,0,33,33,0,4,4,0,251724,251724,30512,,,
nom ,4,7508,0,29,29,0,4,4,0,217732,217732,30032,,,
guerre ,7,7165,0,29,29,0,7,7,0,207785,207785,50155,,,
siecle ,7,7152,0,45,45,0,7,7,0,321840,321840,50064,,,
tous ,5,7150,0,24,24,0,5,5,0,171600,171600,35750,,,
partie ,7,7136,0,11,11,0,7,7,0,78496,78496,49952,,,
plusieurs ,10,6946,0,17,17,0,10,10,0,118082,118082,69460,,,
depuis ,7,6924,0,15,15,0,7,7,0,103860,103860,48468,,,
dont ,5,6896,0,11,11,0,5,5,0,75856,75856,34480,,,
contre ,7,6824,0,14,14,0,7,7,0,95536,95536,47768,,,
beaucoup ,9,6674,0,33,33,0,9,9,0,220242,220242,60066,,,
ainsi ,6,6582,0,22,22,0,6,6,0,144804,144804,39492,,,
leurs ,6,6562,0,9,9,0,6,6,0,59058,59058,39372,,,
pendant ,8,6537,0,15,15,0,8,8,0,98055,98055,52296,,,
puis ,5,6508,0,12,12,0,5,5,0,78096,78096,32540,,,
grand ,6,6287,0,24,24,0,6,6,0,150888,150888,37722,,,
car ,4,6265,0,16,16,0,4,4,0,100240,100240,25060,,,
peu ,4,6180,0,11,11,0,4,4,0,67980,67980,24720,,,
avoir ,6,6113,0,25,25,0,6,6,0,152825,152825,36678,,,
grande ,7,6074,0,24,24,0,7,7,0,145776,145776,42518,,,
t ,2,6042,0,14,14,0,2,2,0,84588,84588,12084,,,
tu ,3,5996,0,29,29,0,3,3,0,173884,173884,17988,,,
egalement ,10,5973,0,38,38,0,10,10,0,226974,226974,59730,,,
sans ,5,5962,0,17,17,0,5,5,0,101354,101354,29810,,,
nord ,5,5949,0,31,31,0,5,5,0,184419,184419,29745,,,
sud ,4,5944,0,22,22,0,4,4,0,130768,130768,23776,,,
souvent ,8,5906,0,25,25,0,8,8,0,147650,147650,47248,,,
francais ,9,5880,0,31,31,0,9,9,0,182280,182280,52920,,,
avant ,6,5756,0,24,24,0,6,6,0,138144,138144,34536,,,
exemple ,8,5715,0,27,27,0,8,8,0,154305,154305,45720,,,
cela ,5,5619,0,19,19,0,5,5,0,106761,106761,28095,,,
encore ,7,5618,0,18,18,0,7,7,0,101124,101124,39326,,,
jusqu ,6,5599,0,24,24,0,6,6,0,134376,134376,33594,,,
fois ,5,5568,0,18,18,0,5,5,0,100224,100224,27840,,,
temps ,6,5539,0,25,25,0,6,6,0,138475,138475,33234,,,
eau ,4,5501,0,21,21,0,4,4,0,115521,115521,22004,,,
premier ,8,5399,0,12,12,0,8,8,0,64788,64788,43192,,,
elles ,6,5315,0,20,20,0,6,6,0,106300,106300,31890,,,
nous ,5,5290,0,27,27,0,5,5,0,142830,142830,26450,,,
vers ,5,5257,0,25,25,0,5,5,0,131425,131425,26285,,,
dire ,5,5243,0,10,10,0,5,5,0,52430,52430,26215,,,
autre ,6,5155,0,22,22,0,6,6,0,113410,113410,30930,,,
vie ,4,5033,0,27,27,0,4,4,0,135891,135891,20132,,,
mort ,5,5033,0,20,20,0,5,5,0,100660,100660,25165,,,
trois ,6,4965,0,23,23,0,6,6,0,114195,114195,29790,,,
avait ,6,4938,0,23,23,0,6,6,0,113574,113574,29628,,,
m ,2,4929,0,20,20,0,2,2,0,98580,98580,9858,,,
premiere ,9,4885,0,16,16,0,9,9,0,78160,78160,43965,,,
moins ,6,4855,0,20,20,0,6,6,0,97100,97100,29130,,,
certains ,9,4815,0,21,21,0,9,9,0,101115,101115,43335,,,
annees ,7,4804,0,44,44,0,7,7,0,211376,211376,33628,,,
cet ,4,4792,0,15,15,0,4,4,0,71880,71880,19168,,,
peuvent ,8,4739,0,16,16,0,8,8,0,75824,75824,37912,,,
paris ,6,4580,0,10,10,0,6,6,0,45800,45800,27480,,,
fin ,4,4441,0,13,13,0,4,4,0,57733,57733,17764,,,
quand ,6,4420,0,14,14,0,6,6,0,61880,61880,26520,,,
personnes ,10,4306,0,16,16,0,10,10,0,68896,68896,43060,,,
vous ,5,4254,0,29,29,0,5,5,0,123366,123366,21270,,,
etaient ,8,4244,0,26,26,0,8,8,0,110344,110344,33952,,,
lieu ,5,4206,0,11,11,0,5,5,0,46266,46266,21030,,,
ai ,3,4152,0,20,20,0,3,3,0,83040,83040,12456,,,
doit ,5,4141,0,13,13,0,5,5,0,53833,53833,20705,,,
terre ,6,4134,0,24,24,0,6,6,0,99216,99216,24804,,,
trouve ,7,4133,0,30,30,0,7,7,0,123990,123990,28931,,,
etat ,5,4129,0,17,17,0,5,5,0,70193,70193,20645,,,
e ,2,4058,0,8,8,0,2,2,0,32464,32464,8116,,,
faut ,5,4051,0,16,16,0,5,5,0,64816,64816,20255,,,
nombreux ,9,4048,0,34,34,0,9,9,0,137632,137632,36432,,,
soit ,5,4037,0,18,18,0,5,5,0,72666,72666,20185,,,
vikidia ,8,4014,0,65,65,0,8,8,0,260910,260910,32112,,,
quelques ,9,4005,0,15,15,0,9,9,0,60075,60075,36045,,,
chaque ,7,4001,0,20,20,0,7,7,0,80020,80020,28007,,,
annee ,6,3983,0,41,41,0,6,6,0,163303,163303,23898,,,
europe ,7,3982,0,20,20,0,7,7,0,79640,79640,27874,,,
environ ,8,3972,0,25,25,0,8,8,0,99300,99300,31776,,,
non ,4,3971,0,29,29,0,4,4,0,115159,115159,15884,,,
devient ,8,3965,0,17,17,0,8,8,0,67405,67405,31720,,,
fut ,4,3909,0,21,21,0,4,4,0,82089,82089,15636,,,
saint ,6,3907,0,23,23,0,6,6,0,89861,89861,23442,,,
enfants ,8,3894,0,26,26,0,8,8,0,101244,101244,31152,,,
existe ,7,3881,0,24,24,0,7,7,0,93144,93144,27167,,,
etats ,6,3856,0,19,19,0,6,6,0,73264,73264,23136,,,
celui ,6,3828,0,21,21,0,6,6,0,80388,80388,22968,,,
selon ,6,3821,0,19,19,0,6,6,0,72599,72599,22926,,,
cas ,4,3800,0,20,20,0,4,4,0,76000,76000,15200,,,
ci ,3,3762,0,20,20,0,3,3,0,75240,75240,11286,,,
pouvoir ,8,3692,0,13,13,0,8,8,0,47996,47996,29536,,,
famille ,8,3687,0,22,22,0,8,8,0,81114,81114,29496,,,
forme ,6,3674,0,18,18,0,6,6,0,66132,66132,22044,,,
lors ,5,3644,0,11,11,0,5,5,0,40084,40084,18220,,,
fils ,5,3609,0,17,17,0,5,5,0,61353,61353,18045,,,
va ,3,3583,0,28,28,0,3,3,0,100324,100324,10749,,,
empire ,7,3559,0,28,28,0,7,7,0,99652,99652,24913,,,
place ,6,3539,0,13,13,0,6,6,0,46007,46007,21234,,,
