word;Nb_char (C_w);Freq (F_w);Nb_scan_block (S_w_b);Nb_scan_key (S_w_k);Nb_scan (S_w);Nb_act_block;Nb_act_key;Nb_act;S_w_b x F_w;S_w_k x F_w;S_w x F_w;C_w x F_w
de ;3;369294;3;12;15;3;3;6;1107882;4431528;5539410;1107882
la ;3;231160;4;7;11;3;3;6;924640;1618120;2542760;693480
le ;3;201192;4;11;15;3;3;6;804768;2213112;3017880;603576
les ;4;172027;7;13;20;4;4;8;1204189;2236351;3440540;688108
et ;3;162818;5;10;15;3;3;6;814090;1628180;2442270;488454
a ;2;142169;2;3;5;2;2;4;284338;426507;710845;284338
est ;4;139273;8;12;20;4;4;8;1114184;1671276;2785460;557092
en ;3;131424;4;13;17;3;3;6;525696;1708512;2234208;394272
des ;4;128016;6;14;20;4;4;8;768096;1792224;2560320;512064
d ;2;106690;2;6;8;2;2;4;213380;640140;853520;213380
un ;3;98321;6;11;17;3;3;6;589926;1081531;1671457;294963
il ;3;86530;5;6;11;3;3;6;432650;519180;951830;259590
du ;3;81566;5;10;15;3;3;6;407830;815660;1223490;244698
une ;4;77779;7;17;24;4;4;8;544453;1322243;1866696;311116
qui ;4;63007;8;15;23;4;4;8;504056;945105;1449161;252028
dans ;5;62106;8;16;24;5;5;10;496848;993696;1490544;310530
pour ;5;59206;11;21;32;5;5;10;651266;1243326;1894592;296030
par ;4;55637;7;12;19;4;4;8;389459;667644;1057103;222548
au ;3;46340;5;7;12;3;3;6;231700;324380;556080;139020
que ;4;45724;7;20;27;4;4;8;320068;914480;1234548;182896
plus ;5;41215;11;19;30;5;5;10;453365;783085;1236450;206075
sont ;5;40154;11;19;30;5;5;10;441694;762926;1204620;200770
se ;3;35559;5;9;14;3;3;6;177795;320031;497826;106677
c ;2;34853;2;5;7;2;2;4;69706;174265;243971;69706
sur ;4;34442;10;8;18;4;4;8;344420;275536;619956;137768
ou ;3;31878;6;12;18;3;3;6;191268;382536;573804;95634
on ;3;30509;5;14;19;3;3;6;152545;427126;579671;91527
son ;4;30237;8;16;24;4;4;8;241896;483792;725688;120948
pas ;4;29643;7;13;20;4;4;8;207501;385359;592860;118572
ce ;3;29011;3;11;14;3;3;6;87033;319121;406154;87033
s ;2;28036;4;3;7;2;2;4;112144;84108;196252;56072
elle ;5;27267;7;21;28;5;5;10;190869;572607;763476;136335
avec ;5;26472;7;18;25;5;5;10;185304;476496;661800;132360
qu ;3;25763;6;14;20;3;3;6;154578;360682;515260;77289
