word,Nb_char (C_w),Freq (F_w),Nb_scan_block (S_w_b),Nb_scan_key (S_w_k),Nb_scan (S_w),Nb_act_block,Nb_act_key,Nb_act,S_w_b x F_w,S_w_k x F_w,S_w x F_w,C_w x F_w,,,
the ,4,189,8,5,13,4,4,8,1512,945,2457,756,,,
a ,2,107,2,4,6,2,2,4,214,428,642,214,,16850,16850
is ,3,85,6,6,12,3,3,6,510,510,1020,255,,20352,
to ,3,56,5,4,9,3,3,6,280,224,504,168,,,
of ,3,54,6,6,12,3,3,6,324,324,648,162,,"2,00135162532946","2,34020409542475"
you ,4,49,7,13,20,4,4,8,343,637,980,196,,,
are ,4,36,4,10,14,4,4,8,144,360,504,144,,,
in ,3,34,6,5,11,3,3,6,204,170,374,102,,,
for ,4,27,7,10,17,4,4,8,189,270,459,108,,,
i ,2,26,3,4,7,2,2,4,78,104,182,52,,,
very ,5,24,7,18,25,5,5,10,168,432,600,120,,,
my ,3,23,9,6,15,3,3,6,207,138,345,69,,,
your ,5,22,8,17,25,5,5,10,176,374,550,110,,,
this ,5,21,12,8,20,5,5,10,252,168,420,105,,,
and ,4,20,6,10,16,4,4,8,120,200,320,80,,,
do ,3,20,4,8,12,3,3,6,80,160,240,60,,,
be ,3,19,8,4,12,3,3,6,152,76,228,57,,,
not ,4,18,8,5,13,4,4,8,144,90,234,72,,,
good ,5,17,8,15,23,5,5,10,136,255,391,85,,,
on ,3,17,6,4,10,3,3,6,102,68,170,51,,,
with ,5,17,14,8,22,5,5,10,238,136,374,85,,,
that ,5,16,10,7,17,5,5,10,160,112,272,80,,,
will ,5,16,12,14,26,5,5,10,192,224,416,80,,,
too ,4,15,7,6,13,4,4,8,105,90,195,60,,,
we ,3,15,7,5,12,3,3,6,105,75,180,45,,,
an ,3,14,5,5,10,3,3,6,70,70,140,42,,,
was ,4,14,10,8,18,4,4,8,140,112,252,56,,,
all ,4,12,6,12,18,4,4,8,72,144,216,48,,,
he ,3,11,6,4,10,3,3,6,66,44,110,33,,,
it ,3,11,5,5,10,3,3,6,55,55,110,33,,,
must ,5,11,12,11,23,5,5,10,132,121,253,55,,,
out ,4,11,6,10,16,4,4,8,66,110,176,44,,,
our ,4,10,5,13,18,4,4,8,50,130,180,40,,,
at ,3,9,4,5,9,3,3,6,36,45,81,27,,,
can ,4,9,9,7,16,4,4,8,81,63,144,36,,,
get ,4,9,6,9,15,4,4,8,54,81,135,36,,,
never ,6,9,8,17,25,6,6,12,72,153,225,54,,,
one ,4,9,7,6,13,4,4,8,63,54,117,36,,,
has ,4,8,9,7,16,4,4,8,72,56,128,32,,,
like ,5,8,8,16,24,5,5,10,64,128,192,40,,,
what ,5,8,13,8,21,5,5,10,104,64,168,40,,,
have ,5,7,8,14,22,5,5,10,56,98,154,35,,,
water ,6,7,11,13,24,6,6,12,77,91,168,42,,,
about ,6,6,13,14,27,6,6,12,78,84,162,36,,,
by ,3,6,10,6,16,3,3,6,60,36,96,18,,,
come ,5,6,13,8,21,5,5,10,78,48,126,30,,,
go ,3,6,5,8,13,3,3,6,30,48,78,18,,,
if ,3,6,6,7,13,3,3,6,36,42,78,18,,,
just ,5,6,11,14,25,5,5,10,66,84,150,30,,,
make ,5,6,10,13,23,5,5,10,60,78,138,30,,,
much ,5,6,15,11,26,5,5,10,90,66,156,30,,,
play ,5,6,11,15,26,5,5,10,66,90,156,30,,,
time ,5,6,11,8,19,5,5,10,66,48,114,30,,,
up ,3,6,6,10,16,3,3,6,36,60,96,18,,,
way ,4,6,10,10,20,4,4,8,60,60,120,24,,,
work ,5,6,11,15,26,5,5,10,66,90,156,30,,,
bad ,4,5,9,10,19,4,4,8,45,50,95,20,,,
big ,4,5,11,10,21,4,4,8,55,50,105,20,,,
coffee ,7,5,15,15,30,7,7,14,75,75,150,35,,,
did ,4,5,5,14,19,4,4,8,25,70,95,20,,,
dog ,4,5,6,13,19,4,4,8,30,65,95,20,,,
expensive ,10,5,20,28,48,10,10,20,100,140,240,50,,,
from ,5,5,12,11,23,5,5,10,60,55,115,25,,,
high ,5,5,13,11,24,5,5,10,65,55,120,25,,,
house ,6,5,12,14,26,6,6,12,60,70,130,30,,,
lot ,4,5,7,8,15,4,4,8,35,40,75,20,,,
many ,5,5,13,10,23,5,5,10,65,50,115,25,,,
more ,5,5,10,10,20,5,5,10,50,50,100,25,,,
no ,3,5,6,4,10,3,3,6,30,20,50,15,,,
please ,7,5,13,17,30,7,7,14,65,85,150,35,,,
question ,9,5,20,21,41,9,9,18,100,105,205,45,,,
see ,4,5,6,7,13,4,4,8,30,35,65,20,,,
than ,5,5,11,7,18,5,5,10,55,35,90,25,,,
there ,6,5,10,11,21,6,6,12,50,55,105,30,,,
always ,7,4,16,19,35,7,7,14,64,76,140,28,,,
better ,7,4,14,12,26,7,7,14,56,48,104,28,,,
every ,6,4,8,20,28,6,6,12,32,80,112,24,,,
favorite ,9,4,14,26,40,9,9,18,56,104,160,36,,,
first ,6,4,12,14,26,6,6,12,48,56,104,24,,,
hard ,5,4,8,14,22,5,5,10,32,56,88,20,,,
her ,4,4,7,8,15,4,4,8,28,32,60,16,,,
home ,5,4,13,7,20,5,5,10,52,28,80,20,,,
important ,10,4,23,20,43,10,10,20,92,80,172,40,,,
keep ,5,4,9,14,23,5,5,10,36,56,92,20,,,
late ,5,4,7,11,18,5,5,10,28,44,72,20,,,
lie ,4,4,6,10,16,4,4,8,24,40,64,16,,,
me ,3,4,7,4,11,3,3,6,28,16,44,12,,,
nation ,7,4,14,12,26,7,7,14,56,48,104,28,,,
should ,7,4,14,21,35,7,7,14,56,84,140,28,,,
so ,3,4,6,5,11,3,3,6,24,20,44,12,,,
some ,5,4,12,8,20,5,5,10,48,32,80,20,,,
take ,5,4,7,13,20,5,5,10,28,52,80,20,,,
their ,6,4,11,12,23,6,6,12,44,48,92,24,,,
through ,8,4,17,21,38,8,8,16,68,84,152,32,,,
today ,6,4,10,16,26,6,6,12,40,64,104,24,,,
want ,5,4,12,8,20,5,5,10,48,32,80,20,,,
where ,6,4,13,12,25,6,6,12,52,48,100,24,,,
am ,3,3,7,5,12,3,3,6,21,15,36,9,,,
before ,7,3,15,15,30,7,7,14,45,45,90,21,,,
bone ,5,3,13,7,20,5,5,10,39,21,60,15,,,
but ,4,3,10,9,19,4,4,8,30,27,57,12,,,
cannot ,7,3,16,11,27,7,7,14,48,33,81,21,,,
complicated ,12,3,29,29,58,12,12,24,87,87,174,36,,,
day ,4,3,6,13,19,4,4,8,18,39,57,12,,,
deserve ,8,3,10,25,35,8,8,16,30,75,105,24,,,
difficult ,10,3,21,31,52,10,10,20,63,93,156,30,,,
does ,5,3,8,12,20,5,5,10,24,36,60,15,,,
drugs ,6,3,9,23,32,6,6,12,27,69,96,18,,,
effort ,7,3,13,16,29,7,7,14,39,48,87,21,,,
faster ,7,3,12,16,28,7,7,14,36,48,84,21,,,
fine ,5,3,10,10,20,5,5,10,30,30,60,15,,,
food ,5,3,9,13,22,5,5,10,27,39,66,15,,,
force ,6,3,12,14,26,6,6,12,36,42,78,18,,,
help ,5,3,12,11,23,5,5,10,36,33,69,15,,,
idea ,5,3,6,14,20,5,5,10,18,42,60,15,,,
jacket ,7,3,15,19,34,7,7,14,45,57,102,21,,,
leave ,6,3,7,19,26,6,6,12,21,57,78,18,,,
library ,8,3,17,24,41,8,8,16,51,72,123,24,,,
little ,7,3,12,16,28,7,7,14,36,48,84,21,,,
love ,5,3,7,16,23,5,5,10,21,48,69,15,,,
makes ,6,3,13,15,28,6,6,12,39,45,84,18,,,
midnight ,9,3,22,21,43,9,9,18,66,63,129,27,,,
month ,6,3,17,7,24,6,6,12,51,21,72,18,,,
most ,5,3,13,7,20,5,5,10,39,21,60,15,,,
movie ,6,3,12,16,28,6,6,12,36,48,84,18,,,
music ,6,3,16,15,31,6,6,12,48,45,93,18,,,
new ,4,3,10,6,16,4,4,8,30,18,48,12,,,
nothing ,8,3,19,15,34,8,8,16,57,45,102,24,,,
