word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
my;2;23;13;4;299;46
watch;5;3;25;10;75;15
fell;4;1;21;8;21;4
in;2;34;9;4;306;68
the;3;189;11;6;2079;567
water;5;7;22;10;154;35
prevailing;10;1;54;20;54;10
wind;4;2;22;8;44;8
from;4;5;21;8;105;20
east;4;2;15;8;30;8
never;5;9;23;10;207;45
too;3;15;11;6;165;45
rich;4;1;21;8;21;4
and;3;20;14;6;280;60
thin;4;1;17;8;17;4
breathing;9;1;44;18;44;9
is;2;85;10;4;850;170
difficult;9;3;50;18;150;27
i;1;26;5;2;130;26
can;3;9;14;6;126;27
see;3;5;11;6;55;15
rings;5;1;26;10;26;5
on;2;17;8;4;136;34
saturn;6;1;28;12;28;6
physics;7;1;40;14;40;7
chemistry;9;1;45;18;45;9
are;3;36;12;6;432;108
hard;4;4;20;8;80;16
bank;4;2;24;8;48;8
account;7;1;34;14;34;7
overdrawn;9;1;46;18;46;9
elections;9;1;39;18;39;9
bring;5;2;29;10;58;10
out;3;11;14;6;154;33
best;4;2;19;8;38;8
we;2;15;10;4;150;30
having;6;1;33;12;33;6
spaghetti;9;1;42;18;42;9
time;4;6;17;8;102;24
to;2;57;7;4;399;114
go;2;6;11;4;66;12
shopping;8;2;44;16;88;16
a;1;108;4;2;432;108
problem;7;1;39;14;39;7
with;4;17;20;8;340;68
engine;6;1;26;12;26;6
elephants;9;1;40;18;40;9
afraid;6;1;30;12;30;6
of;2;54;10;4;540;108
mice;4;1;20;8;20;4
favorite;8;4;38;16;152;32
place;5;2;26;10;52;10
visit;5;2;26;10;52;10
three;5;3;19;10;57;15
two;3;3;14;6;42;9
one;3;9;11;6;99;27
zero;4;2;21;8;42;8
blast;5;1;26;10;26;5
off;3;3;16;6;48;9
subject;7;2;41;14;82;14
psychology;10;1;58;20;58;10
circumstances;13;1;65;26;65;13
unacceptable;12;1;61;24;61;12
for;3;27;15;6;405;81
low;3;1;17;6;17;3
flying;6;1;35;12;35;6
objects;7;2;38;14;76;14
if;2;6;11;4;66;12
at;2;9;7;4;63;18
first;5;4;24;10;96;20
you;3;49;18;6;882;147
do;2;20;10;4;200;40
not;3;18;11;6;198;54
succeed;7;1;36;14;36;7
please;6;5;28;12;140;30
provide;7;1;38;14;38;7
your;4;22;23;8;506;88
date;4;1;16;8;16;4
birth;5;1;26;10;26;5
run;3;2;16;6;32;6
risk;4;2;23;8;46;8
failure;7;1;36;14;36;7
prayer;6;1;31;12;31;6
schools;7;1;35;14;35;7
offends;7;1;34;14;34;7
some;4;4;18;8;72;16
he;2;11;8;4;88;22
just;4;6;24;8;144;24
like;4;8;22;8;176;32
everyone;8;2;37;16;74;16
else;4;2;17;8;34;8
great;5;1;22;10;22;5
disturbance;11;1;56;22;56;11
force;5;3;24;10;72;15
love;4;3;21;8;63;12
means;5;2;22;10;44;10
many;4;5;21;8;105;20
things;6;2;29;12;58;12
must;4;11;21;8;231;44
be;2;19;11;4;209;38
getting;7;2;32;14;64;14
old;3;1;16;6;16;3
world;5;2;28;10;56;10
stage;5;1;22;10;22;5
skate;5;1;23;10;23;5
sister;6;1;26;12;26;6
today;5;4;24;10;96;20
neither;7;1;28;14;28;7
borrower;8;1;41;16;41;8
nor;3;1;13;6;13;3
lender;6;1;27;12;27;6
heck;4;1;22;8;22;4
question;8;5;40;16;200;40
that;4;16;15;8;240;64
answered;8;1;37;16;37;8
beware;6;1;30;12;30;6
ides;4;1;19;8;19;4
march;5;1;26;10;26;5
double;6;2;34;12;68;12
toil;4;1;18;8;18;4
trouble;7;1;36;14;36;7
power;5;1;26;10;26;5
denial;6;1;28;12;28;6
agree;5;2;22;10;44;10
say;3;2;16;6;32;6
anything;8;1;39;16;39;8
play;4;6;24;8;144;24
it;2;11;8;4;88;22
again;5;1;24;10;24;5
sam;3;1;15;6;15;3
jedi;4;1;23;8;23;4
yet;3;1;13;6;13;3
an;2;14;8;4;112;28
offer;5;1;24;10;24;5
cannot;6;3;25;12;75;18
refuse;6;1;29;12;29;6
talking;7;1;37;14;37;7
me;2;4;9;4;36;8
yes;3;1;15;6;15;3
very;4;24;23;8;552;96
smart;5;3;23;10;69;15
all;3;12;16;6;192;36
work;4;6;24;8;144;24
no;2;5;8;4;40;10
hair;4;2;19;8;38;8
gel;3;1;16;6;16;3
greasy;6;1;31;12;31;6
valium;6;1;36;12;36;6
economy;7;1;34;14;34;7
size;4;1;22;8;22;4
facts;5;2;24;10;48;10
get;3;9;13;6;117;27
way;3;6;18;6;108;18
dreamers;8;1;37;16;37;8
dreams;6;1;29;12;29;6
did;3;5;17;6;85;15
have;4;7;20;8;140;28
good;4;17;21;8;357;68
space;5;1;25;10;25;5
high;4;5;22;8;110;20
priority;8;1;41;16;41;8
wonderful;9;1;48;18;48;9
example;7;1;37;14;37;7
squander;8;1;43;16;43;8
drink;5;2;28;10;56;10
much;4;6;24;8;144;24
take;4;4;18;8;72;16
coffee;6;5;28;12;140;30
break;5;1;28;10;28;5
popularity;10;1;55;20;55;10
desired;7;1;33;14;33;7
by;2;6;15;4;90;12
music;5;3;29;10;87;15
better;6;4;25;12;100;24
than;4;5;16;8;80;20
sounds;6;1;31;12;31;6
starlight;9;1;43;18;43;9
dewdrop;7;1;38;14;38;7
living;6;1;35;12;35;6
easy;4;1;19;8;19;4
fish;4;1;21;8;21;4
jumping;7;2;45;14;90;14
cotton;6;1;24;12;24;6
drove;5;1;26;10;26;5
chevy;5;1;29;10;29;5
levee;5;2;23;10;46;10
but;3;3;18;6;54;9
was;3;14;16;6;224;42
dry;3;2;18;6;36;6
took;4;3;19;8;57;12
rover;5;1;25;10;25;5
shop;4;2;21;8;42;8
movie;5;3;26;10;78;15
about;5;6;26;10;156;30
nutty;5;1;24;10;24;5
professor;9;1;44;18;44;9
come;4;6;19;8;114;24
our;3;10;16;6;160;30
new;3;3;14;6;42;9
car;3;2;15;6;30;6
coming;6;2;32;12;64;12
up;2;6;14;4;84;12
killer;6;1;33;12;33;6
sound;5;1;26;10;26;5
bites;5;1;24;10;24;5
am;2;3;10;4;30;6
going;5;1;27;10;27;5
lesson;6;1;27;12;27;6
opposing;8;1;43;16;43;8
team;4;2;16;8;32;8
over;4;2;20;8;40;8
there;5;5;19;10;95;25
soon;4;1;17;8;17;4
will;4;16;24;8;384;64
return;6;1;27;12;27;6
city;4;1;21;8;21;4
wearing;7;2;35;14;70;14
tie;3;2;11;6;22;6
jacket;6;3;33;12;99;18
quick;5;2;35;10;70;10
brown;5;1;28;10;28;5
fox;3;2;18;6;36;6
jumped;6;1;38;12;38;6
together;8;1;33;16;33;8
big;3;5;20;6;100;15
pile;4;1;21;8;21;4
wear;4;1;19;8;19;4
crown;5;1;26;10;26;5
jewels;6;1;33;12;33;6
fog;3;1;17;6;17;3
tonight;7;2;31;14;62;14
allergic;8;1;42;16;42;8
bees;4;1;19;8;19;4
peanuts;7;1;33;14;33;7
still;5;2;25;10;50;10
dow;3;1;17;6;17;3
jones;5;1;25;10;25;5
index;5;1;26;10;26;5
has;3;8;14;6;112;24
risen;5;1;22;10;22;5
preferred;9;1;43;18;43;9
treat;5;1;18;10;18;5
chocolate;9;2;41;18;82;18
king;4;1;24;8;24;4
sends;5;1;23;10;23;5
tower;5;1;22;10;22;5
subjects;8;1;46;16;46;8
obey;4;1;22;8;22;4
mom;3;1;16;6;16;3
made;4;2;19;8;38;8
her;3;4;13;6;52;12
turtleneck;10;1;48;20;48;10
goldilocks;10;1;57;20;57;10
bears;5;1;25;10;25;5
went;4;1;17;8;17;4
grocery;7;1;37;14;37;7
assignment;10;1;46;20;46;10
due;3;1;16;6;16;3
what;4;8;19;8;152;32
information;11;2;50;22;100;22
only;4;3;21;8;63;12
quarter;7;1;36;14;36;7
century;7;1;35;14;35;7
store;5;1;20;10;20;5
close;5;1;24;10;24;5
ten;3;2;10;6;20;6
head;4;2;18;8;36;8
shoulders;9;1;46;18;46;9
knees;5;1;23;10;23;5
toes;4;1;15;8;15;4
vanilla;7;1;37;14;37;7
flavored;8;1;42;16;42;8
ice;3;1;14;6;14;3
cream;5;2;24;10;48;10
frequently;10;1;53;20;53;10
asked;5;2;26;10;52;10
questions;9;3;45;18;135;27
round;5;2;26;10;52;10
robin;5;1;26;10;26;5
scheduling;10;1;54;20;54;10
super;5;1;27;10;27;5
highway;7;1;40;14;40;7
web;3;1;18;6;18;3
browser;7;1;37;14;37;7
laser;5;1;23;10;23;5
printer;7;1;32;14;32;7
jammed;6;1;34;12;34;6
boys;4;1;24;8;24;4
deserve;7;3;33;14;99;21
fudge;5;1;29;10;29;5
second;6;1;28;12;28;6
largest;7;2;33;14;66;14
country;7;2;36;14;72;14
call;4;1;22;8;22;4
more;4;5;18;8;90;20
details;7;1;32;14;32;7
party;5;1;26;10;26;5
weekend;7;2;34;14;68;14
video;5;1;26;10;26;5
camera;6;2;28;12;56;12
zoom;4;1;23;8;23;4
lens;4;1;18;8;18;4
monkey;6;2;32;12;64;12
sees;4;1;16;8;16;4
unfortunate;11;1;50;22;50;11
back;4;1;26;8;26;4
yard;4;2;22;8;44;8
house;5;5;24;10;120;25
this;4;21;18;8;378;84
idea;4;3;18;8;54;12
reading;7;2;34;14;68;14
week;4;1;21;8;21;4
here;4;1;16;8;16;4
fax;3;2;18;6;36;6
number;6;1;33;12;33;6
changed;7;1;35;14;35;7
thank;5;1;24;10;24;5
help;4;3;21;8;63;12
exchange;8;2;40;16;80;16
without;7;2;34;14;68;14
bill;4;1;25;8;25;4
early;5;1;25;10;25;5
bird;4;1;24;8;24;4
gets;4;2;18;8;36;8
worm;4;1;22;8;22;4
buckle;6;1;38;12;38;6
safety;6;1;28;12;28;6
handle;6;1;28;12;28;6
protect;7;1;31;14;31;7
environment;11;2;49;22;98;22
population;10;1;51;20;51;10
growing;7;1;39;14;39;7
library;7;3;40;14;120;21
closed;6;1;30;12;30;6
mary;4;1;22;8;22;4
had;3;2;15;6;30;6
little;6;3;26;12;78;18
lamb;4;1;24;8;24;4
teaching;8;1;37;16;37;8
services;8;1;40;16;40;8
accept;6;1;29;12;29;6
personal;8;1;38;16;38;8
checks;6;1;33;12;33;6
non;3;1;12;6;12;3
profit;6;1;30;12;30;6
organization;12;2;58;24;116;24
user;4;1;20;8;20;4
friendly;8;1;42;16;42;8
interface;9;1;39;18;39;9
healthy;7;1;33;14;33;7
food;4;3;20;8;60;12
hands;5;1;24;10;24;5
experience;10;2;47;20;94;20
job;3;2;21;6;42;6
expensive;9;5;46;18;230;45
postal;6;1;29;12;29;6
service;7;1;35;14;35;7
slow;4;1;22;8;22;4
communicate;11;2;54;22;108;22
through;7;4;36;14;144;28
email;5;1;24;10;24;5
