word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
de;2;369294;10;5;3692940;738588;;
la;2;231160;7;5;1618120;462320;;
le;2;201192;6;5;1207152;402384;;
les;3;172027;8;5;1376216;516081;;3,891551502
et;2;162818;9;5;1465362;325636;;
a;1;142169;8;3;1137352;142169;;
est;3;139273;12;8;1671276;417819;;
en;2;131424;8;5;1051392;262848;;
des;3;128016;10;5;1280160;384048;;
d;1;106690;4;3;426760;106690;;
un;2;98321;8;5;786568;196642;;
il;2;86530;13;5;1124890;173060;;
du;2;81566;8;6;652528;163132;;
une;3;77779;9;5;700011;233337;;
qui;3;63007;11;5;693077;189021;;
dans;4;62106;7;5;434742;248424;;
pour;4;59206;7;5;414442;236824;;
par;3;55637;8;5;445096;166911;;
au;2;46340;11;5;509740;92680;;
que;3;45724;9;5;411516;137172;;
plus;4;41215;11;5;453365;164860;;
sont;4;40154;18;8;722772;160616;;
se;2;35559;10;6;355590;71118;;
c;1;34853;6;3;209118;34853;;
sur;3;34442;13;5;447746;103326;;
ou;2;31878;13;5;414414;63756;;
on;2;30509;11;5;335599;61018;;
son;3;30237;12;5;362844;90711;;
pas;3;29643;9;5;266787;88929;;
ce;2;29011;11;5;319121;58022;;
s;1;28036;7;3;196252;28036;;
elle;4;27267;10;5;272670;109068;;
avec;4;26472;15;5;397080;105888;;
qu;2;25763;10;6;257630;51526;;
mais;4;25550;12;5;306600;102200;;
ne;2;24536;14;5;343504;49072;;
comme;5;22075;13;8;286975;110375;;
n;1;21546;10;3;215460;21546;;
sa;2;18696;14;5;261744;37392;;
ils;3;17444;14;5;244216;52332;;
ont;3;17423;16;8;278768;52269;;
ete;3;17041;17;9;289697;51123;;
y;1;16352;13;3;212576;16352;;
aux;3;16302;19;8;309738;48906;;
tres;4;16228;16;8;259648;64912;;
aussi;5;15694;21;8;329574;78470;;
ses;3;15661;14;8;219254;46983;;
cette;5;15351;12;5;184212;76755;;
fait;4;14532;18;8;261576;58128;;
peut;4;13949;19;11;265031;55796;;
leur;4;13586;11;8;149446;54344;;
deux;4;13274;13;8;172562;53096;;
etre;4;13146;18;8;236628;52584;;
meme;4;12315;16;5;197040;49260;;
