word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
de;2;369294;10;4;3692940;738588;;
la;2;231160;7;4;1618120;462320;;
le;2;201192;6;4;1207152;402384;;
les;3;172027;8;4;1376216;516081;;
et;2;162818;9;4;1465362;325636;;
a;1;142169;7;2;995183;142169;;3,552129464
est;3;139273;11;6;1532003;417819;;
en;2;131424;8;4;1051392;262848;;
des;3;128016;10;4;1280160;384048;;
d;1;106690;3;2;320070;106690;;
un;2;98321;8;4;786568;196642;;
il;2;86530;13;4;1124890;173060;;
du;2;81566;6;4;489396;163132;;
une;3;77779;9;4;700011;233337;;
qui;3;63007;11;4;693077;189021;;
dans;4;62106;7;4;434742;248424;;
pour;4;59206;7;4;414442;236824;;
par;3;55637;8;4;445096;166911;;
au;2;46340;11;4;509740;92680;;
que;3;45724;9;4;411516;137172;;
plus;4;41215;11;4;453365;164860;;
sont;4;40154;17;6;682618;160616;;
se;2;35559;8;4;284472;71118;;
c;1;34853;5;2;174265;34853;;
sur;3;34442;13;4;447746;103326;;
ou;2;31878;13;4;414414;63756;;
on;2;30509;11;4;335599;61018;;
son;3;30237;12;4;362844;90711;;
pas;3;29643;9;4;266787;88929;;
ce;2;29011;11;4;319121;58022;;
s;1;28036;6;2;168216;28036;;
elle;4;27267;10;4;272670;109068;;
avec;4;26472;15;4;397080;105888;;
qu;2;25763;8;4;206104;51526;;
mais;4;25550;12;4;306600;102200;;
ne;2;24536;14;4;343504;49072;;
comme;5;22075;12;6;264900;110375;;
n;1;21546;9;2;193914;21546;;
sa;2;18696;14;4;261744;37392;;
ils;3;17444;14;4;244216;52332;;
ont;3;17423;15;6;261345;52269;;
ete;3;17041;14;6;238574;51123;;
y;1;16352;12;2;196224;16352;;
aux;3;16302;18;6;293436;48906;;
tres;4;16228;15;6;243420;64912;;
aussi;5;15694;20;6;313880;78470;;
ses;3;15661;13;6;203593;46983;;
cette;5;15351;12;4;184212;76755;;
fait;4;14532;17;6;247044;58128;;
peut;4;13949;17;8;237133;55796;;
leur;4;13586;10;6;135860;54344;;
deux;4;13274;12;6;159288;53096;;
etre;4;13146;17;6;223482;52584;;
meme;4;12315;16;4;197040;49260;;
etait;5;11616;18;10;209088;58080;;
entre;5;11581;14;6;162134;57905;;
je;2;11517;14;4;161238;23034;;
france;6;10672;18;8;192096;64032;;
apres;5;10577;12;4;126924;52885;;
autres;6;10414;26;10;270764;62484;;
pays;4;10308;14;8;144312;41232;;
ces;3;10300;13;4;133900;30900;;
ans;3;10179;14;6;142506;30537;;
lui;3;10160;10;6;101600;30480;;
o;1;9817;7;2;68719;9817;;
alors;5;9631;13;4;125203;48155;;
faire;5;9379;18;8;168822;46895;;
si;2;9322;10;4;93220;18644;;
tout;4;9271;13;4;120523;37084;;
j;1;9028;10;2;90280;9028;;
