word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
de;2;369294;11;4;4062234;738588
la;2;231160;15;4;3467400;462320
le;2;201192;19;4;3822648;402384
les;3;172027;27;6;4644729;516081
et;2;162818;15;4;2442270;325636
a;1;142169;2;2;284338;142169
est;3;139273;23;6;3203279;417819
en;2;131424;9;4;1182816;262848
des;3;128016;19;6;2432304;384048
d;1;106690;5;2;533450;106690
un;2;98321;13;4;1278173;196642
il;2;86530;23;4;1990190;173060
du;2;81566;15;4;1223490;163132
une;3;77779;19;6;1477801;233337
qui;3;63007;26;6;1638182;189021
dans;4;62106;18;8;1117908;248424
pour;4;59206;26;8;1539356;236824
par;3;55637;14;6;778918;166911
au;2;46340;12;4;556080;92680
que;3;45724;22;6;1005928;137172
plus;4;41215;36;8;1483740;164860
sont;4;40154;24;8;963696;160616
se;2;35559;14;4;497826;71118
c;1;34853;4;2;139412;34853
sur;3;34442;25;6;861050;103326
ou;2;31878;14;4;446292;63756
on;2;30509;7;4;213563;61018
son;3;30237;15;6;453555;90711
pas;3;29643;15;6;444645;88929
ce;2;29011;10;4;290110;58022
s;1;28036;8;2;224288;28036
elle;4;27267;38;8;1036146;109068
avec;4;26472;23;8;608856;105888
qu;2;25763;16;4;412208;51526
mais;4;25550;34;8;868700;102200
ne;2;24536;9;4;220824;49072
comme;5;22075;42;10;927150;110375
n;1;21546;3;2;64638;21546
sa;2;18696;10;4;186960;37392
ils;3;17444;31;6;540764;52332
ont;3;17423;16;6;278768;52269
ete;3;17041;21;6;357861;51123
y;1;16352;14;2;228928;16352
aux;3;16302;25;6;407550;48906
tres;4;16228;30;8;486840;64912
aussi;5;15694;38;10;596372;78470
ses;3;15661;22;6;344542;46983
cette;5;15351;34;10;521934;76755
fait;4;14532;28;8;406896;58128
peut;4;13949;30;8;418470;55796
leur;4;13586;36;8;489096;54344
deux;4;13274;34;8;451316;53096
etre;4;13146;28;8;368088;52584
