word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
de;2;369294;11;4;4062234;738588;;
la;2;231160;9;4;2080440;462320;;
le;2;201192;8;4;1609536;402384;;
les;3;172027;10;4;1720270;516081;;
et;2;162818;9;4;1465362;325636;;
a;1;142169;5;2;710845;142169;;3,748304984
est;3;139273;12;6;1671276;417819;;
en;2;131424;8;4;1051392;262848;;
des;3;128016;10;4;1280160;384048;;
d;1;106690;2;2;213380;106690;;
un;2;98321;10;4;983210;196642;;
il;2;86530;11;4;951830;173060;;
du;2;81566;6;4;489396;163132;;
une;3;77779;11;4;855569;233337;;
qui;3;63007;13;4;819091;189021;;
dans;4;62106;7;4;434742;248424;;
pour;4;59206;9;4;532854;236824;;
par;3;55637;10;4;556370;166911;;
au;2;46340;10;4;463400;92680;;
que;3;45724;11;4;502964;137172;;
plus;4;41215;13;4;535795;164860;;
sont;4;40154;20;6;803080;160616;;
se;2;35559;10;4;355590;71118;;
c;1;34853;4;2;139412;34853;;
sur;3;34442;15;4;516630;103326;;
ou;2;31878;15;4;478170;63756;;
on;2;30509;13;4;396617;61018;;
son;3;30237;14;4;423318;90711;;
pas;3;29643;11;4;326073;88929;;
ce;2;29011;11;4;319121;58022;;
s;1;28036;7;2;196252;28036;;
elle;4;27267;10;4;272670;109068;;
avec;4;26472;14;4;370608;105888;;
qu;2;25763;10;4;257630;51526;;
mais;4;25550;10;4;255500;102200;;
ne;2;24536;13;4;318968;49072;;
comme;5;22075;13;6;286975;110375;;
n;1;21546;7;2;150822;21546;;
sa;2;18696;16;4;299136;37392;;
ils;3;17444;12;4;209328;52332;;
ont;3;17423;17;6;296191;52269;;
ete;3;17041;13;6;221533;51123;;
y;1;16352;12;2;196224;16352;;
aux;3;16302;17;6;277134;48906;;
tres;4;16228;18;6;292104;64912;;
aussi;5;15694;19;6;298186;78470;;
ses;3;15661;16;6;250576;46983;;
cette;5;15351;12;4;184212;76755;;
fait;4;14532;15;6;217980;58128;;
peut;4;13949;20;8;278980;55796;;
leur;4;13586;12;6;163032;54344;;
deux;4;13274;12;6;159288;53096;;
etre;4;13146;17;6;223482;52584;;
meme;4;12315;14;4;172410;49260;;
etait;5;11616;21;10;243936;58080;;
entre;5;11581;13;6;150553;57905;;
je;2;11517;13;4;149721;23034;;
france;6;10672;18;8;192096;64032;;
apres;5;10577;11;4;116347;52885;;
autres;6;10414;27;10;281178;62484;;
pays;4;10308;17;8;175236;41232;;
ces;3;10300;13;4;133900;30900;;
ans;3;10179;13;6;132327;30537;;
lui;3;10160;13;6;132080;30480;;
o;1;9817;8;2;78536;9817;;
alors;5;9631;12;4;115572;48155;;
faire;5;9379;17;8;159443;46895;;
si;2;9322;12;4;111864;18644;;
tout;4;9271;15;4;139065;37084;;
j;1;9028;8;2;72224;9028;;
bien;4;8969;11;4;98659;35876;;
donc;4;8648;12;6;103776;34592;;
ville;5;8242;22;8;181324;41210;;
sous;4;8064;19;6;153216;32256;;
monde;5;7979;19;10;151601;39895;;
roi;3;7628;18;6;137304;22884;;
nom;3;7508;16;6;120128;22524;;
guerre;6;7165;21;8;150465;42990;;
siecle;6;7152;27;12;193104;42912;;
tous;4;7150;21;6;150150;28600;;
partie;6;7136;23;12;164128;42816;;
plusieurs;9;6946;13;6;90298;62514;;
depuis;6;6924;11;4;76164;41544;;
dont;4;6896;15;6;103440;27584;;
contre;6;6824;18;8;122832;40944;;
beaucoup;8;6674;15;4;100110;53392;;
ainsi;5;6582;13;4;85566;32910;;
leurs;5;6562;13;6;85306;32810;;
pendant;7;6537;12;6;78444;45759;;
puis;4;6508;15;6;97620;26032;;
grand;5;6287;19;6;119453;31435;;
car;3;6265;12;6;75180;18795;;
peu;3;6180;13;6;80340;18540;;
avoir;5;6113;21;6;128373;30565;;
grande;6;6074;22;8;133628;36444;;
t;1;6042;9;2;54378;6042;;
tu;2;5996;5;2;29980;11992;;
egalement;9;5973;32;18;191136;53757;;
sans;4;5962;18;6;107316;23848;;
nord;4;5949;21;8;124929;23796;;
sud;3;5944;17;6;101048;17832;;
souvent;7;5906;24;8;141744;41342;;
francais;8;5880;27;16;158760;47040;;
avant;5;5756;19;6;109364;28780;;
exemple;7;5715;18;8;102870;40005;;
cela;4;5619;15;8;84285;22476;;
encore;6;5618;14;6;78652;33708;;
jusqu;5;5599;26;10;145574;27995;;
fois;4;5568;18;8;100224;22272;;
temps;5;5539;21;8;116319;27695;;
eau;3;5501;14;6;77014;16503;;
premier;7;5399;19;8;102581;37793;;
elles;5;5315;12;4;63780;26575;;
nous;4;5290;14;4;74060;21160;;
vers;4;5257;18;6;94626;21028;;
dire;4;5243;16;8;83888;20972;;
autre;5;5155;20;8;103100;25775;;
vie;3;5033;16;6;80528;15099;;
mort;4;5033;18;8;90594;20132;;
trois;5;4965;19;6;94335;24825;;
avait;5;4938;23;8;113574;24690;;
m;1;4929;5;2;24645;4929;;
premiere;8;4885;18;8;87930;39080;;
moins;5;4855;17;6;82535;24275;;
certains;8;4815;17;8;81855;38520;;
annees;6;4804;25;12;120100;28824;;
cet;3;4792;15;6;71880;14376;;
peuvent;7;4739;22;10;104258;33173;;
paris;5;4580;18;10;82440;22900;;
fin;3;4441;10;4;44410;13323;;
quand;5;4420;15;4;66300;22100;;
personnes;9;4306;35;18;150710;38754;;
vous;4;4254;16;4;68064;17016;;
etaient;7;4244;26;14;110344;29708;;
lieu;4;4206;14;8;58884;16824;;
ai;2;4152;9;4;37368;8304;;
doit;4;4141;17;8;70397;16564;;
terre;5;4134;23;8;95082;20670;;
trouve;6;4133;21;6;86793;24798;;
etat;4;4129;17;8;70193;16516;;
e;1;4058;3;2;12174;4058;;
faut;4;4051;13;4;52663;16204;;
nombreux;8;4048;24;8;97152;32384;;
soit;4;4037;22;6;88814;16148;;
vikidia;7;4014;36;14;144504;28098;;
quelques;8;4005;18;8;72090;32040;;
chaque;6;4001;12;6;48012;24006;;
annee;5;3983;20;8;79660;19915;;
europe;6;3982;19;8;75658;23892;;
environ;7;3972;18;8;71496;27804;;
non;3;3971;12;4;47652;11913;;
devient;7;3965;21;10;83265;27755;;
fut;3;3909;16;6;62544;11727;;
saint;5;3907;20;8;78140;19535;;
enfants;7;3894;19;10;73986;27258;;
existe;6;3881;22;8;85382;23286;;
etats;5;3856;20;8;77120;19280;;
celui;5;3828;18;8;68904;19140;;
selon;5;3821;13;4;49673;19105;;
cas;3;3800;13;6;49400;11400;;
ci;2;3762;8;4;30096;7524;;
pouvoir;7;3692;26;10;95992;25844;;
famille;7;3687;16;8;58992;25809;;
forme;5;3674;24;10;88176;18370;;
lors;4;3644;12;4;43728;14576;;
fils;4;3609;14;6;50526;14436;;
va;2;3583;14;4;50162;7166;;
empire;6;3559;20;10;71180;21354;;
place;5;3539;14;8;49546;17695;;
nombre;6;3534;22;6;77748;21204;;
partir;6;3507;25;12;87675;21042;;
francaise;9;3506;30;18;105180;31554;;
hui;3;3495;18;6;62910;10485;;
aujourd;7;3487;28;14;97636;24409;;
permet;6;3471;21;10;72891;20826;;
histoire;8;3413;21;6;71673;27304;;
toutes;6;3380;26;8;87880;20280;;
