word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
est;3;139273;13;6;1810549;417819;;
le;2;201192;7;4;1408344;402384;;
de;2;369294;7;4;2585058;738588;;
la;2;231160;8;4;1849280;462320;;
et;2;162818;6;4;976908;325636;;4,373484699
les;3;172027;10;6;1720270;516081;;
a;1;142169;3;2;426507;142169;;
en;2;131424;6;4;788544;262848;;
des;3;128016;10;6;1280160;384048;;
d;1;106690;5;2;533450;106690;;
un;2;98321;9;4;884889;196642;;
il;2;86530;9;4;778770;173060;;
du;2;81566;10;4;815660;163132;;
une;3;77779;11;6;855569;233337;;
qui;3;63007;16;6;1008112;189021;;
dans;4;62106;15;8;931590;248424;;
pour;4;59206;25;8;1480150;236824;;
par;3;55637;18;6;1001466;166911;;
au;2;46340;8;4;370720;92680;;
que;3;45724;14;6;640136;137172;;
plus;4;41215;19;8;783085;164860;;
sont;4;40154;16;8;642464;160616;;
se;2;35559;5;4;177795;71118;;
c;1;34853;6;2;209118;34853;;
sur;3;34442;17;6;585514;103326;;
ou;2;31878;10;4;318780;63756;;
on;2;30509;9;4;274581;61018;;
son;3;30237;12;6;362844;90711;;
pas;3;29643;12;6;355716;88929;;
ce;2;29011;8;4;232088;58022;;
s;1;28036;3;2;84108;28036;;
elle;4;27267;14;8;381738;109068;;
avec;4;26472;17;8;450024;105888;;
qu;2;25763;12;4;309156;51526;;
mais;4;25550;16;8;408800;102200;;
ne;2;24536;6;4;147216;49072;;
comme;5;22075;25;10;551875;110375;;
n;1;21546;4;2;86184;21546;;
sa;2;18696;6;4;112176;37392;;
ils;3;17444;12;6;209328;52332;;
ont;3;17423;13;6;226499;52269;;
ete;3;17041;8;6;136328;51123;;
y;1;16352;8;2;130816;16352;;
aux;3;16302;15;6;244530;48906;;
tres;4;16228;18;8;292104;64912;;
aussi;5;15694;18;10;282492;78470;;
ses;3;15661;8;6;125288;46983;;
cette;5;15351;18;10;276318;76755;;
fait;4;14532;18;8;261576;58128;;
peut;4;13949;17;8;237133;55796;;
leur;4;13586;21;8;285306;54344;;
deux;4;13274;19;8;252206;53096;;
etre;4;13146;17;8;223482;52584;;
meme;4;12315;16;8;197040;49260;;
etait;5;11616;17;10;197472;58080;;
entre;5;11581;21;10;243201;57905;;
je;2;11517;10;4;115170;23034;;
france;6;10672;31;12;330832;64032;;
apres;5;10577;23;10;243271;52885;;
autres;6;10414;26;12;270764;62484;;
pays;4;10308;20;8;206160;41232;;
ces;3;10300;11;6;113300;30900;;
ans;3;10179;10;6;101790;30537;;
lui;3;10160;14;6;142240;30480;;
o;1;9817;5;2;49085;9817;;
alors;5;9631;25;10;240775;48155;;
faire;5;9379;25;10;234475;46895;;
si;2;9322;7;4;65254;18644;;
tout;4;9271;18;8;166878;37084;;
j;1;9028;8;2;72224;9028;;
bien;4;8969;17;8;152473;35876;;
donc;4;8648;20;8;172960;34592;;
ville;5;8242;22;10;181324;41210;;
sous;4;8064;16;8;129024;32256;;
monde;5;7979;22;10;175538;39895;;
roi;3;7628;18;6;137304;22884;;
nom;3;7508;15;6;112620;22524;;
guerre;6;7165;33;12;236445;42990;;
siecle;6;7152;22;12;157344;42912;;
