word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
la;2;231160;10;6;2311600;462320
pataphysique;12;24;67;36;1608;288
est;3;139273;16;9;2228368;417819
une;3;77779;16;9;1244464;233337
science;7;557;35;21;19495;3899
parodique;9;6;45;27;270;54
elle;4;27267;20;12;545340;109068
designe;7;742;30;21;22260;5194
des;3;128016;13;9;1664208;384048
solutions;9;180;52;27;9360;1620
imaginaires;11;61;54;33;3294;671
l;1;157746;5;3;788730;157746
apostrophe;10;11;63;30;693;110
n;1;21546;8;3;172368;21546
pas;3;29643;16;9;474288;88929
utilisee;8;820;45;24;36900;6560
devant;6;1516;30;18;45480;9096
le;2;201192;9;6;1810728;402384
mot;3;1952;19;9;37088;5856
lorsque;7;1780;39;21;69420;12460
terme;5;1084;30;15;32520;5420
utilise;7;1811;40;21;72440;12677
comme;5;22075;24;15;529800;110375
un;2;98321;12;6;1179852;196642
adjectif;8;123;40;24;4920;984
fut;3;3909;19;9;74271;11727
cree;4;1640;20;12;32800;6560
par;3;55637;15;9;834555;166911
ecrivain;8;514;41;24;21074;4112
francais;8;5880;37;24;217560;47040
alfred;6;152;32;18;4864;912
jarry;5;8;31;15;248;40
qui;3;63007;19;9;1197133;189021
avait;5;4938;28;15;138264;24690
defini;6;109;28;18;3052;654
accorde;7;219;30;21;6570;1533
symboliquement;14;34;80;42;2720;476
aux;3;16302;20;9;326040;48906
lineaments;10;1;53;30;53;10
les;3;172027;15;9;2580405;516081
proprietes;10;260;60;30;15600;2600
objets;6;1098;33;18;36234;6588
decrits;7;45;36;21;1620;315
leur;4;13586;22;12;298892;54344
virtualite;10;1;60;30;60;10
dans;4;62106;18;12;1117908;248424
beaucoup;8;6674;40;24;266960;53392
d;1;106690;3;3;320070;106690
uvres;5;936;33;15;30888;4680
de;2;369294;7;6;2585058;738588
cet;3;4792;15;9;71880;14376
tres;4;16228;26;12;421928;64912
presente;8;1277;45;24;57465;10216
se;2;35559;13;6;462267;71118
developpa;9;36;48;27;1728;324
au;2;46340;13;6;602420;92680
e;1;4058;4;3;16232;4058
siecle;6;7152;34;18;243168;42912
college;7;1563;33;21;51579;10941
en;2;131424;9;6;1182816;262848
pour;4;59206;23;12;1361738;236824
enseigner;9;79;43;27;3397;711
il;2;86530;13;6;1124890;173060
actuellement;12;1035;59;36;61065;12420
situe;5;1475;30;15;44250;7375
a;1;142169;5;3;710845;142169
paris;5;4580;25;15;114500;22900
ecrivains;9;220;48;27;10560;1980
et;2;162818;12;6;1953816;325636
artistes;8;653;44;24;28732;5224
illustres;9;30;53;27;1590;270
sont;4;40154;25;12;1003850;160616
pataphysiciens;14;8;74;42;592;112
marcel;6;148;28;18;4144;888
duchamp;7;10;32;21;320;70
jacques;7;799;38;21;30362;5593
prevert;7;23;44;21;1012;161
boris;5;96;30;15;2880;480
vian;4;6;28;12;168;24
raymond;7;109;46;21;5014;763
queneau;7;17;37;21;629;119
man;3;285;14;9;3990;855
ray;3;46;27;9;1242;138
eugene;6;148;34;18;5032;888
ionesco;7;7;36;21;252;49
georges;7;362;38;21;13756;2534
perec;5;6;29;15;174;30
antonin;7;36;36;21;1296;252
artaud;6;6;32;18;192;36
jean;4;2183;22;12;48026;8732
christophe;10;198;51;30;10098;1980
averty;6;1;40;18;40;6
fernando;8;39;42;24;1638;312
arrabal;7;2;36;21;72;14
mais;4;25550;19;12;485450;102200
aussi;5;15694;31;15;486514;78470
peintres;8;198;47;24;9306;1584
tels;4;810;27;12;21870;3240
que;3;45724;18;9;823032;137172
joan;4;21;24;12;504;84
mir;3;30;20;9;600;90
dubuffet;8;5;43;24;215;40
david;5;438;21;15;9198;2190
hockney;7;2;38;21;76;14
ou;2;31878;13;6;414414;63756
encore;6;5618;28;18;157304;33708
academiciens;12;6;58;36;348;72
pascal;6;128;28;18;3584;768
ory;3;5;27;9;135;15
ne;2;24536;12;6;294432;49072
revolutionnaires;16;296;91;48;26936;4736
ambitionnent;12;1;62;36;62;12
changer;7;650;31;21;20150;4550
monde;5;7979;23;15;183517;39895
mouvement;9;1548;50;27;77400;13932
dada;4;21;17;12;357;84
surrealiste;11;25;69;33;1725;275
essence;7;138;33;21;4554;966
ailleurs;8;1828;42;24;76776;14624
dadaistes;9;3;46;27;138;27
surrealistes;12;16;75;36;1200;192
s;1;28036;9;3;252324;28036
apprend;7;432;40;21;17280;3024
pratique;8;991;41;24;40631;7928
tous;4;7150;29;12;207350;28600
peut;4;13949;23;12;320827;55796
initier;7;22;38;21;836;154
aisement;8;45;40;24;1800;360
cela;4;5619;17;12;95523;22476
suffit;6;403;37;18;14911;2418
efforcer;8;3;38;24;114;24
penser;6;348;32;18;11136;2088
choses;6;1106;30;18;33180;6636
auxquelles;10;101;56;30;5656;1010
vous;4;4254;29;12;123366;17016
pensez;6;104;34;18;3536;624
autres;6;10414;35;18;364490;62484
pensent;7;495;37;21;18315;3465
faire;5;9379;23;15;215717;46895
necessite;9;167;48;27;8016;1503
toutefois;9;825;50;27;41250;7425
appliquer;9;233;55;27;12815;2097
principe;8;621;39;24;24219;4968
important;9;1822;52;27;94744;16398
equivalence;11;18;67;33;1206;198
toutes;6;3380;37;18;125060;20280
ainsi;5;6582;24;15;157968;32910
pataphysicien;13;2;68;39;136;26
ce;2;29011;8;6;232088;58022
