word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
de;2;369294;13;4;4800822;738588;;
la;2;231160;10;4;2311600;462320;;
le;2;201192;14;4;2816688;402384;;
les;3;172027;19;6;3268513;516081;;
et;2;162818;12;4;1953816;325636;;
a;1;142169;2;2;284338;142169;;
est;3;139273;17;6;2367641;417819;;
en;2;131424;11;4;1445664;262848;;5,776188928
des;3;128016;16;6;2048256;384048;;
d;1;106690;5;2;533450;106690;;
un;2;98321;12;4;1179852;196642;;
il;2;86530;13;4;1124890;173060;;
du;2;81566;12;4;978792;163132;;
une;3;77779;18;6;1400022;233337;;
qui;3;63007;20;6;1260140;189021;;
dans;4;62106;17;8;1055802;248424;;
pour;4;59206;29;8;1716974;236824;;
par;3;55637;18;6;1001466;166911;;
au;2;46340;9;4;417060;92680;;
que;3;45724;21;6;960204;137172;;
plus;4;41215;27;8;1112805;164860;;
sont;4;40154;22;8;883388;160616;;
se;2;35559;11;4;391149;71118;;
c;1;34853;4;2;139412;34853;;
sur;3;34442;21;6;723282;103326;;
ou;2;31878;13;4;414414;63756;;
on;2;30509;11;4;335599;61018;;
son;3;30237;16;6;483792;90711;;
pas;3;29643;14;6;415002;88929;;
ce;2;29011;10;4;290110;58022;;
s;1;28036;5;2;140180;28036;;
elle;4;27267;28;8;763476;109068;;
avec;4;26472;20;8;529440;105888;;
qu;2;25763;15;4;386445;51526;;
mais;4;25550;16;8;408800;102200;;
ne;2;24536;11;4;269896;49072;;
comme;5;22075;24;10;529800;110375;;
n;1;21546;5;2;107730;21546;;
sa;2;18696;7;4;130872;37392;;
ils;3;17444;18;6;313992;52332;;
ont;3;17423;17;6;296191;52269;;
ete;3;17041;18;6;306738;51123;;
y;1;16352;6;2;98112;16352;;
aux;3;16302;19;6;309738;48906;;
tres;4;16228;26;8;421928;64912;;
aussi;5;15694;24;10;376656;78470;;
ses;3;15661;16;6;250576;46983;;
cette;5;15351;28;10;429828;76755;;
fait;4;14532;20;8;290640;58128;;
peut;4;13949;26;8;362674;55796;;
leur;4;13586;30;8;407580;54344;;
deux;4;13274;28;8;371672;53096;;
etre;4;13146;27;8;354942;52584;;
meme;4;12315;20;8;246300;49260;;
etait;5;11616;25;10;290400;58080;;
entre;5;11581;32;10;370592;57905;;
je;2;11517;12;4;138204;23034;;
france;6;10672;33;12;352176;64032;;
apres;5;10577;29;10;306733;52885;;
autres;6;10414;35;12;364490;62484;;
pays;4;10308;20;8;206160;41232;;
ces;3;10300;15;6;154500;30900;;
ans;3;10179;12;6;122148;30537;;
lui;3;10160;20;6;203200;30480;;
o;1;9817;6;2;58902;9817;;
alors;5;9631;30;10;288930;48155;;
faire;5;9379;29;10;271991;46895;;
si;2;9322;10;4;93220;18644;;
tout;4;9271;25;8;231775;37084;;
j;1;9028;6;2;54168;9028;;
bien;4;8969;19;8;170411;35876;;
donc;4;8648;20;8;172960;34592;;
ville;5;8242;35;10;288470;41210;;
sous;4;8064;23;8;185472;32256;;
monde;5;7979;26;10;207454;39895;;
roi;3;7628;20;6;152560;22884;;
