word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
la;2;231160;13;5;3005080;462320
pataphysique;12;24;61;36;1464;288
est;3;139273;13;8;1810549;417819
une;3;77779;10;5;777790;233337
science;7;557;22;11;12254;3899
parodique;9;6;27;17;162;54
elle;4;27267;9;5;245403;109068
designe;7;742;29;21;21518;5194
des;3;128016;9;5;1152144;384048
solutions;9;180;27;14;4860;1620
imaginaires;11;61;40;23;2440;671
l;1;157746;4;3;630984;157746
apostrophe;10;11;37;14;407;110
n;1;21546;9;3;193914;21546
pas;3;29643;10;5;296430;88929
utilisee;8;820;41;24;33620;6560
devant;6;1516;13;8;19708;9096
le;2;201192;7;5;1408344;402384
mot;3;1952;19;9;37088;5856
lorsque;7;1780;13;8;23140;12460
terme;5;1084;28;14;30352;5420
utilise;7;1811;11;5;19921;12677
comme;5;22075;13;8;286975;110375
un;2;98321;9;5;884889;196642
adjectif;8;123;23;11;2829;984
fut;3;3909;16;8;62544;11727
cree;4;1640;15;8;24600;6560
par;3;55637;9;5;500733;166911
ecrivain;8;514;37;24;19018;4112
francais;8;5880;37;24;217560;47040
alfred;6;152;23;11;3496;912
jarry;5;8;31;14;248;40
qui;3;63007;11;5;693077;189021
avait;5;4938;25;11;123450;24690
defini;6;109;26;18;2834;654
accorde;7;219;25;14;5475;1533
symboliquement;14;34;27;11;918;476
aux;3;16302;18;8;293436;48906
lineaments;10;1;50;30;50;10
les;3;172027;9;5;1548243;516081
proprietes;10;260;36;20;9360;2600
objets;6;1098;24;11;26352;6588
decrits;7;45;31;21;1395;315
leur;4;13586;12;8;163032;54344
virtualite;10;1;41;20;41;10
dans;4;62106;6;5;372636;248424
beaucoup;8;6674;15;5;100110;53392
d;1;106690;3;3;320070;106690
uvres;5;936;29;15;27144;4680
de;2;369294;7;5;2585058;738588
cet;3;4792;15;8;71880;14376
tres;4;16228;16;8;259648;64912
presente;8;1277;41;24;52357;10216
se;2;35559;10;6;355590;71118
developpa;9;36;43;27;1548;324
au;2;46340;10;5;463400;92680
e;1;4058;4;3;16232;4058
siecle;6;7152;30;18;214560;42912
college;7;1563;22;14;34386;10941
en;2;131424;7;5;919968;262848
pour;4;59206;8;5;473648;236824
enseigner;9;79;43;26;3397;711
il;2;86530;8;5;692240;173060
actuellement;12;1035;13;8;13455;12420
situe;5;1475;18;8;26550;7375
a;1;142169;7;3;995183;142169
paris;5;4580;20;14;91600;22900
ecrivains;9;220;43;27;9460;1980
et;2;162818;8;5;1302544;325636
artistes;8;653;29;14;18937;5224
illustres;9;30;46;26;1380;270
sont;4;40154;17;8;682618;160616
pataphysiciens;14;8;69;42;552;112
marcel;6;148;24;14;3552;888
duchamp;7;10;22;14;220;70
jacques;7;799;14;8;11186;5593
prevert;7;23;38;21;874;161
boris;5;96;24;11;2304;480
vian;4;6;26;11;156;24
raymond;7;109;19;8;2071;763
queneau;7;17;27;14;459;119
man;3;285;16;9;4560;855
ray;3;46;21;8;966;138
eugene;6;148;16;8;2368;888
ionesco;7;7;23;14;161;49
georges;7;362;14;5;5068;2534
perec;5;6;28;15;168;30
antonin;7;36;29;14;1044;252
artaud;6;6;25;11;150;36
jean;4;2183;13;8;28379;8732
christophe;10;198;21;11;4158;1980
averty;6;1;41;18;41;6
fernando;8;39;17;8;663;312
arrabal;7;2;39;21;78;14
mais;4;25550;10;5;255500;102200
aussi;5;15694;20;8;313880;78470
peintres;8;198;34;20;6732;1584
tels;4;810;21;11;17010;3240
que;3;45724;9;5;411516;137172
joan;4;21;17;11;357;84
mir;3;30;18;9;540;90
dubuffet;8;5;18;11;90;40
david;5;438;12;8;5256;2190
hockney;7;2;37;21;74;14
ou;2;31878;13;5;414414;63756
encore;6;5618;15;8;84270;33708
academiciens;12;6;57;36;342;72
pascal;6;128;20;11;2560;768
ory;3;5;23;9;115;15
ne;2;24536;13;5;318968;49072
revolutionnaires;16;296;85;48;25160;4736
ambitionnent;12;1;54;29;54;12
changer;7;650;24;14;15600;4550
monde;5;7979;23;14;183517;39895
mouvement;9;1548;23;11;35604;13932
dada;4;21;16;11;336;84
surrealiste;11;25;30;14;750;275
essence;7;138;25;14;3450;966
ailleurs;8;1828;17;8;31076;14624
dadaistes;9;3;41;27;123;27
surrealistes;12;16;32;14;512;192
s;1;28036;7;3;196252;28036
apprend;7;432;37;21;15984;3024
pratique;8;991;18;11;17838;7928
tous;4;7150;19;8;135850;28600
peut;4;13949;21;11;292929;55796
initier;7;22;34;20;748;154
aisement;8;45;21;11;945;360
cela;4;5619;15;11;84285;22476
suffit;6;403;25;11;10075;2418
efforcer;8;3;30;20;90;24
penser;6;348;28;14;9744;2088
choses;6;1106;24;14;26544;6636
auxquelles;10;101;27;11;2727;1010
vous;4;4254;12;5;51048;17016
pensez;6;104;21;11;2184;624
autres;6;10414;31;14;322834;62484
pensent;7;495;34;20;16830;3465
faire;5;9379;19;11;178201;46895
necessite;9;167;46;27;7682;1503
toutefois;9;825;14;5;11550;7425
appliquer;9;233;46;26;10718;2097
principe;8;621;33;20;20493;4968
important;9;1822;26;11;47372;16398
equivalence;11;18;54;33;972;198
toutes;6;3380;26;11;87880;20280
ainsi;5;6582;13;5;85566;32910
pataphysicien;13;2;63;39;126;26
ce;2;29011;10;5;290110;58022
serieux;7;158;36;21;5688;1106
strictement;11;75;23;11;1725;825
equivalent;10;290;53;30;15370;2900
rond;4;116;27;11;3132;464
parfaitement;12;218;24;14;5232;2616
carre;5;236;24;14;5664;1180
vrai;4;895;19;8;17005;3580
indemontrable;13;2;65;39;130;26
kurt;4;22;18;8;396;88
godel;5;8;26;15;208;40
patafix;7;1;38;21;38;7
moteur;6;530;24;11;12720;3180
recherche;9;1023;21;11;21483;9207
patakosmos;10;1;64;30;64;10
reference;9;380;44;27;16720;3420
univers;7;765;28;14;21420;5355
ecrit;5;1706;23;15;39238;8530
lettres;7;569;19;11;10811;3983
zero;4;213;23;11;4899;852
chiffre;7;242;20;14;4840;1694
nombre;6;3534;21;8;74214;21204
naturel;7;536;33;14;17688;3752
cardinal;8;210;21;14;4410;1680
signifie;8;1151;22;11;25322;9208
qu;2;25763;12;6;309156;51526
combien;7;165;16;8;2640;1155
y;1;16352;8;3;130816;16352
a;1;54964;7;3;384748;54964
correspondant;13;156;26;14;4056;2028
ensemble;8;2216;20;11;44320;17728
vide;4;371;21;11;7791;1484
absence;7;382;24;11;9168;2674
exemple;7;5715;19;11;108585;40005
quand;5;4420;13;5;57460;22100
reste;5;2673;17;5;45441;13365
piece;5;678;20;14;13560;3390
porte;5;1589;19;11;30191;7945
monnaie;7;468;25;14;11700;3276
c;1;34853;5;3;174265;34853
plus;4;41215;12;5;494580;164860
pieces;6;835;27;18;22545;5010
langage;7;531;21;14;11151;3717
jours;5;3343;28;15;93604;16715
correspond;10;574;28;14;16072;5740
aucun;5;1060;21;8;22260;5300
eleve;5;610;21;15;12810;3050
absent;6;76;21;11;1596;456
vient;5;1702;21;11;35742;8510
du;2;81566;9;6;734094;163132
latin;5;1185;17;11;20145;5925
zephirus;8;1;47;24;47;8
lui;3;10160;13;8;132080;30480
meme;4;12315;14;5;172410;49260
venant;6;295;23;11;6785;1770
arabe;5;613;21;11;12873;3065
sifr;4;1;23;12;23;4
donne;5;1702;24;14;40848;8510
indien;6;264;27;17;7128;1584
cunya;5;1;30;15;30;5
indiens;7;240;26;17;6240;1680
peuple;6;1237;24;14;29688;7422
decouvert;9;676;40;27;27040;6084
bien;4;8969;11;5;98659;35876
premier;7;5399;20;11;107980;37793
provient;8;284;30;17;8520;2272
babyloniens;11;51;34;17;1734;561
avant;5;5756;20;8;115120;28780
jesus;5;882;28;14;24696;4410
christ;6;392;31;18;12152;2352
quelle;6;523;21;11;10983;3138
soit;4;4037;19;8;76703;16148
valeur;6;775;31;17;24025;4650
prend;5;1669;22;15;36718;8345
cette;5;15351;11;5;168861;76755
propriete;9;377;23;14;8671;3393
explique;8;695;23;11;15985;5560
pourquoi;8;2711;11;5;29821;21688
impossible;10;393;11;5;4323;3930
diviser;7;89;31;20;2759;623
voir;4;2805;23;11;64515;11220
division;8;492;21;11;10332;3936
alphabets;9;32;33;17;1056;288
notamment;9;3369;25;11;84225;30321
asie;4;1186;25;11;29650;4744
on;2;30509;11;5;335599;61018
utilise;7;1240;11;5;13640;8680
symboles;8;209;31;14;6479;1672
mathematiques;13;575;68;39;39100;7475
ecrire;6;941;27;18;25407;5646
voici;5;800;20;8;16000;4000
quelques;8;4005;19;11;76095;32040
exemples;8;345;20;11;6900;2760
i;1;870;5;3;4350;870
chiffres;8;346;18;11;6228;2768
romains;7;1322;35;17;46270;9254
entier;6;726;23;14;16698;4356
non;3;3971;12;5;47652;11913
nul;3;306;20;8;6120;918
suit;4;431;25;12;10775;1724
precede;7;68;30;21;2040;476
represente;10;916;56;30;51296;9160
unite;5;504;18;8;9072;2520
alphabet;8;380;24;11;9120;3040
aeronautique;12;63;67;36;4221;756
seul;4;2202;16;8;35232;8808
dit;3;2699;14;9;37786;8097
differemment;12;110;56;36;6160;1320
vie;3;5033;16;9;80528;15099
courante;8;225;34;20;7650;1800
racine;6;247;23;11;5681;1482
latine;6;176;21;11;3696;1056
uni;3;1162;16;9;18592;3486
unification;11;159;24;14;3816;1749
grecque;7;684;24;14;16416;4788
correspondante;14;33;65;38;2145;462
mono;4;9;23;12;207;36
monologue;9;5;30;17;150;45
discours;8;365;19;14;6935;2920
prononce;8;144;25;14;3600;1152
acteur;6;381;23;14;8763;2286
theatre;7;1429;22;14;31438;10003
entite;6;35;24;14;840;210
individuelle;12;72;47;29;3384;864
camion;6;64;26;14;1664;384
plusieurs;9;6946;13;8;90298;62514
article;7;2515;19;8;47785;17605
indefini;8;25;40;24;1000;200
dont;4;6896;14;8;96544;27584
feminin;7;224;37;21;8288;1568
cas;3;3800;16;9;60800;11400
langues;7;1020;23;14;23460;7140
anglais;7;2305;24;11;55320;16135
attention;9;668;18;8;12024;6012
ordinal;7;1;35;21;35;7
premiere;8;4885;19;11;92815;39080
unier;5;1;26;15;26;5
uniere;6;1;30;18;30;6
abreviations;12;10;66;36;660;120
er;2;1267;10;6;12670;2534
re;2;160;13;6;2080;320
ier;3;2068;11;8;22748;6204
iere;4;9;18;12;162;36
ere;3;424;16;9;6784;1272
humanite;8;237;29;14;6873;1896
du;2;708;9;6;6372;1416
quitter;7;372;27;14;10044;2604
son;3;30237;12;5;362844;90711
foyer;5;179;22;11;3938;895
fuir;4;207;19;8;3933;828
violence;8;369;25;11;9225;2952
selon;5;3821;11;5;42031;19105
rapport;7;1239;25;11;30975;8673
onu;3;313;22;9;6886;939
publie;6;490;17;11;8330;2940
jeudi;5;213;19;11;4047;1065
millions;8;2717;25;14;67925;21736
personnes;9;4306;44;26;189464;38754
vivent;6;1294;30;14;38820;7764
aujourd;7;3487;37;21;129019;24409
hui;3;3495;18;9;62910;10485
loin;4;981;16;11;15696;3924
chez;4;2602;13;8;33826;10408
elles;5;5315;11;5;58465;26575
ont;3;17423;17;8;296191;52269
explications;12;285;33;20;9405;3420
jamais;6;1789;13;8;23257;10734
ete;3;17041;15;9;255615;51123
eleves;6;185;29;18;5365;1110
filippo;7;22;26;17;572;154
grandi;6;95;27;18;2565;570
chef;4;1984;16;11;31744;7936
haut;4;1865;21;11;39165;7460
commissariat;12;11;30;17;330;132
refugies;8;227;41;24;9307;1816
montre;6;729;29;14;21141;4374
eu;2;2492;12;6;29904;4984
conflits;8;293;27;17;7911;2344
annee;5;3983;24;11;95592;19915
passee;6;183;27;18;4941;1098
poursuit;8;249;45;24;11205;1992
titre;5;1663;24;11;39912;8315
comparaison;11;115;38;23;4370;1265
ans;3;10179;19;9;193401;30537
etait;5;11616;25;15;290400;58080
deux;4;13274;12;8;159288;53096
fois;4;5568;19;11;105792;22272
moins;5;4855;18;8;87390;24275
eleve;5;475;21;15;9975;2375
ces;3;10300;12;5;123600;30900
maison;6;1420;22;11;31240;8520
cause;5;1889;20;11;37780;9445
guerres;7;654;27;14;17658;4578
persecution;11;26;53;33;1378;286
problemes;9;851;26;14;22126;7659
lies;4;254;18;12;4572;1016
droits;6;1207;20;11;24140;7242
homme;5;3232;19;8;61408;16160
donc;4;8648;11;8;95128;34592
fait;4;14532;16;8;232512;58128
plaisir;7;298;19;14;5662;2086
sur;3;34442;13;5;447746;103326
moitie;6;867;22;11;19074;5202
fui;3;57;17;9;969;171
regions;7;1815;38;21;68970;12705
pays;4;10308;18;11;185544;41232
etranger;8;328;36;24;11808;2624
demande;7;351;17;11;5967;2457
asile;5;67;22;11;1474;335
quittent;8;171;30;14;5130;1368
viennent;8;563;20;8;11260;4504
principalement;14;1325;20;11;26500;18550
syrie;5;355;23;11;8165;1775
moyen;5;2080;22;11;45760;10400
orient;6;568;32;18;18176;3408
venezuela;9;76;29;14;2204;684
amerique;8;1666;44;24;73304;13328
sud;3;5944;19;9;112936;17832
afghanistan;11;193;21;11;4053;2123
soudan;6;89;29;17;2581;534
afrique;7;2003;25;14;50075;14021
birmanie;8;111;25;11;2775;888
parmi;5;1784;13;8;23192;8920
compte;6;2868;26;14;74568;17208
enormement;10;259;54;30;13986;2590
enfants;7;3894;22;14;85668;27258
aider;5;957;22;11;21054;4785
majorite;8;1047;28;14;29316;8376
refugier;8;110;40;24;4400;880
europe;6;3982;20;11;79640;23892
etats;5;575;20;11;11500;2875
unis;4;3165;22;12;69630;12660
demanderaient;13;4;42;29;168;52
mieux;5;1505;15;8;22575;7525
retourner;9;204;33;14;6732;1836
peuvent;7;4739;25;14;118475;33173
etant;5;2271;26;15;59046;11355
crise;5;675;18;11;12150;3375
faudrait;8;281;22;14;6182;2248
unissent;8;38;28;14;1064;304
resoudre;8;252;45;24;11340;2016
pousse;6;121;29;14;3509;726
partir;6;3507;29;17;101703;21042
si;2;9322;10;5;93220;18644
incapables;10;74;21;11;1554;740
paix;4;960;17;11;16320;3840
malheureusement;15;520;20;11;10400;7800
situation;9;1161;22;11;25542;10449
va;2;3583;13;6;46579;7166
empirer;7;10;34;20;340;70
previent;8;28;40;24;1120;224
credit;6;875;21;14;18375;5250
photo;5;1150;19;11;21850;5750
reporters;9;436;34;17;14824;3924
million;7;363;33;20;11979;2541
decedent;8;6;36;24;216;48
environnement;13;545;32;17;17440;7085
degrade;7;27;28;21;756;189
nous;4;5290;14;5;74060;21160
te;2;2851;11;6;31361;5702
parlons;7;45;23;14;1035;315
souvent;7;5906;23;11;135838;41342
ecologie;8;471;32;24;15072;3768
impact;6;201;25;14;5025;1206
consommation;12;415;31;17;12865;4980
viande;6;558;23;11;12834;3348
rubrique;8;130;32;14;4160;1040
belgique;8;1890;25;14;47250;15120
semaine;7;1101;23;11;25323;7707
lundi;5;333;18;11;5994;1665
organisation;12;940;25;11;23500;11280
mondiale;8;1955;24;14;46920;15640
sante;5;742;20;11;14840;3710
oms;3;54;21;9;1134;162
declaration;11;333;50;33;16650;3663
alarmante;9;6;28;14;168;54
deces;5;262;19;15;4978;1310
probablement;12;484;20;11;9680;5808
pollue;6;14;30;18;420;84
peu;3;6180;13;8;80340;18540
sur;3;687;13;5;8931;2061
manquant;8;28;24;14;672;224
hygiene;7;133;23;11;3059;931
eau;3;5501;13;8;71513;16503
potable;7;134;30;14;4020;938
tu;2;5996;11;5;65956;11992
avais;5;392;29;14;11368;1960
effectivement;13;114;12;8;1368;1482
etais;5;323;26;15;8398;1615
fragile;7;110;22;14;2420;770
vulnerable;10;51;22;8;1122;510
air;3;1477;16;9;23632;4431
pollues;7;13;33;17;429;91
tire;4;242;18;8;4356;968
sonnette;8;21;38;20;798;168
alarme;6;36;21;11;756;216
change;6;506;22;14;11132;3036
exposes;7;159;31;14;4929;1113
risques;7;253;24;11;6072;1771
environnementaux;16;15;33;17;495;240
maniere;7;1233;34;21;41922;8631
inacceptable;12;20;21;11;420;240
commente;8;19;39;24;741;152
directrice;10;68;32;23;2176;680
publique;8;447;31;20;13857;3576
maria;5;176;26;14;4576;880
neira;5;2;25;15;50;10
cite;4;59;20;11;1180;236
responsable;11;420;29;14;12180;4620
pollution;9;258;23;14;5934;2322
atmosphere;10;439;23;11;10097;4390
tabagisme;9;8;22;14;176;72
passif;6;19;31;17;589;114
quelqu;6;550;30;18;16500;3300
fume;4;9;20;11;180;36
te;2;1632;11;6;17952;3264
toi;3;1020;21;8;21420;3060
egalement;9;5973;41;27;244893;53757
mauvais;7;427;25;11;10675;2989
ta;2;756;12;6;9072;1512
nombreux;8;4048;25;11;101200;32384
manque;6;736;25;14;18400;4416
toilettes;9;67;22;11;1474;603
salles;6;258;26;14;6708;1548
bain;4;106;21;12;2226;424
ceux;4;2718;20;11;54360;10872
acces;5;763;15;8;11445;3815
facteurs;8;135;19;11;2565;1080
engendrent;10;9;24;14;216;90
tout;4;9271;12;5;111252;37084
suite;5;2791;22;8;61402;13955
long;4;2098;20;11;41960;8392
ils;3;17444;9;5;156996;52332
etre;4;13146;17;8;223482;52584
individu;8;238;29;17;6902;1904
enfant;6;1441;20;11;28820;8646
developper;10;457;48;30;21936;4570
systematiquement;16;66;26;11;1716;1056
asthme;6;20;31;14;620;120
car;3;6265;12;8;75180;18795
expose;6;185;29;14;5365;1110
causes;6;221;22;11;4862;1326
frequentes;10;96;54;30;5184;960
diarrhee;8;31;22;14;682;248
paludisme;9;53;23;14;1219;477
pneumonie;9;46;18;8;828;414
nouveaux;8;1180;34;14;40120;9440
dangers;7;102;30;21;3060;714
existent;8;437;21;11;9177;3496
produits;8;1296;25;14;32400;10368
chimiques;9;283;26;14;7358;2547
trouvent;8;731;42;23;30702;5848
alimentation;12;403;25;14;10075;4836
pourraient;10;312;37;20;11544;3120
evites;6;7;36;18;252;42
grace;5;3343;10;5;33430;16715
existe;6;3881;23;11;89263;23286
annonce;7;500;25;14;12500;3500
triste;6;133;24;11;3192;798
trouver;7;1435;29;14;41615;10045
avec;4;26472;14;5;370608;105888
propose;7;714;26;14;18564;4998
piste;5;196;24;11;4704;980
faut;4;4051;13;5;52663;16204
ameliorer;9;427;48;27;20496;3843
qualite;7;560;27;14;15120;3920
utilisant;9;363;13;5;4719;3267
combustibles;12;26;30;17;780;312
matieres;8;383;28;14;10724;3064
brulent;7;42;40;21;1680;294
chauffer;8;113;29;17;3277;904
ensuite;7;2614;16;8;41824;18298
jetees;6;17;34;18;578;102
propres;7;421;33;17;13893;2947
annees;6;4804;34;18;163336;28824
venir;5;511;27;14;13797;2555
voudrait;8;88;27;14;2376;704
installations;13;240;42;26;10080;3120
sanitaires;10;58;25;14;1450;580
salle;5;751;21;11;15771;3755
reduire;7;365;37;21;13505;2555
changement;10;390;21;14;8190;3900
climatique;10;255;25;14;6375;2550
exposition;10;441;27;14;11907;4410
faisant;7;890;27;14;24030;6230
petits;6;2331;26;14;60606;13986
efforts;7;215;21;14;4515;1505
eteindre;8;64;36;24;2304;512
lumiere;7;1590;19;11;30210;11130
mettre;6;1681;30;14;50430;10086
chauffage;9;139;28;17;3892;1251
trop;4;2618;18;8;47124;10472
fort;4;1096;15;8;16440;4384
trier;5;39;25;14;975;195
tes;3;1546;14;8;21644;4638
dechets;7;263;31;21;8153;1841
prendre;7;1559;25;14;38975;10913
douche;6;30;26;14;780;180
longtemps;9;1318;17;11;22406;11862
promets;7;7;28;14;196;49
deja;4;2443;18;12;43974;9772
avenir;6;300;31;14;9300;1800
meilleur;8;879;17;11;14943;7032
ton;3;1287;20;8;25740;3861
age;3;2958;16;9;47328;8874
systeme;7;2124;22;8;46728;14868
decimal;7;46;30;21;1380;322
dix;3;951;13;8;12363;2853
cinquieme;9;384;22;11;8448;3456
pair;4;68;20;12;1360;272
double;6;511;19;11;9709;3066
dizaine;7;264;19;11;5016;1848
groupe;6;2712;23;11;62376;16272
second;6;877;17;11;14909;5262
droite;6;1342;19;11;25498;8052
ecriture;8;600;38;24;22800;4800
laquelle;8;1310;19;11;24890;10480
ajoute;6;332;19;8;6308;1992
appelle;7;2496;21;8;52416;17472
numeration;10;49;28;11;1372;490
position;8;710;24;11;17040;5680
certaines;9;2701;17;11;45917;24309
numerations;11;2;59;33;118;22
nombres;7;586;28;14;16408;4102
x;1;1968;11;3;21648;1968
difficile;9;1033;17;11;17561;9297
additions;9;21;47;27;987;189
simplement;10;741;24;11;17784;7410
positionnelle;13;3;61;39;183;39
grands;6;2632;29;18;76328;15792
chaque;6;4001;12;8;48012;24006
inventer;8;73;34;17;2482;584
nouveau;7;2785;25;11;69625;19495
signe;5;554;18;11;9972;2770
tandis;6;926;17;8;15742;5556
soient;6;688;23;11;15824;4128
ecrits;6;333;29;18;9657;1998
binaire;7;83;23;11;1909;581
base;4;1373;22;11;30206;5492
troisieme;9;1310;25;11;32750;11790
ecoles;6;772;25;18;19300;4632
wallonnes;9;14;34;17;476;126
devenues;8;94;35;20;3290;752
lors;4;3644;11;5;40084;14576
edition;7;509;20;11;10180;3563
inscrites;9;31;41;23;1271;279
recu;4;586;23;12;13478;2344
label;5;137;19;14;2603;685
ecole;5;41;19;14;779;205
propre;6;921;31;17;28551;5526
veut;4;2329;24;11;55896;9316
dire;4;5243;15;11;78645;20972
asbl;4;6;26;12;156;24
decide;6;676;19;18;12844;4056
encourager;10;100;30;17;3000;1000
produire;8;621;37;20;22977;4968
nettoyer;8;84;26;11;2184;672
be;2;143;12;6;1716;286
wapp;4;1;27;12;27;4
agit;4;2050;22;11;45100;8200
wallonie;8;215;28;14;6020;1720
proprete;8;20;35;20;700;160
fost;4;1;26;12;26;4
chargee;7;186;28;17;5208;1302
collecte;8;76;26;17;1976;608
tri;3;48;17;9;816;144
recyclage;9;19;29;14;551;171
emballages;10;21;29;17;609;210
menagers;8;15;40;24;600;120
comment;7;1762;14;8;24668;12334
devient;7;3965;23;14;91195;27755
participer;10;573;35;23;20055;5730
projet;6;1157;22;14;25454;6942
inscrire;8;119;38;23;4522;952
inscrivent;10;17;41;23;697;170
seront;6;1318;23;14;30314;7908
accompagnees;12;57;31;17;1767;684
afin;4;2886;16;8;46176;11544
gerer;5;167;28;15;4676;835
depart;6;865;29;18;25085;5190
ecole;5;2132;19;14;40508;10660
doit;4;4141;16;11;66256;16564
point;5;2188;19;11;41572;10940
produit;7;1440;23;14;33120;10080
eleves;6;1205;29;18;34945;7230
trient;6;2;33;17;66;12
cour;4;937;21;12;19677;3748
toujours;8;3200;27;11;86400;25600
analysee;8;3;42;24;126;24
choisir;7;410;24;14;9840;2870
quoi;4;946;12;5;11352;3784
concentrer;10;80;48;29;3840;800
ses;3;15661;14;8;219254;46983
actions;7;505;29;17;14645;3535
durant;6;2057;13;8;26741;12342
garder;6;387;25;14;9675;2322
alentours;9;199;26;14;5174;1791
probleme;8;946;25;14;23650;7568
identifie;9;64;18;11;1152;576
place;5;3539;15;11;53085;17695
generalement;12;1972;56;36;110432;23664
organiser;9;362;45;26;16290;3258
activites;9;783;33;17;25839;7047
impliquer;9;16;45;26;720;144
classes;7;426;34;20;14484;2982
fin;3;4441;10;5;44410;13323
but;3;1691;20;9;33820;5073
sera;4;3114;19;11;59166;12456
pu;2;1084;11;6;11924;2168
resolu;6;45;40;18;1800;270
demander;8;541;28;17;15148;4328
obtenir;7;841;21;11;17661;5887
quelles;7;265;27;17;7155;1855
consequences;12;339;62;36;21018;4068
parvient;8;598;29;17;17342;4784
idee;4;1263;17;8;21471;5052
expliquer;9;366;33;17;12078;3294
general;7;2495;22;11;54890;17465
animations;10;64;37;20;2368;640
amusantes;9;11;37;17;407;99
organisees;10;172;54;30;9288;1720
apprendre;9;548;34;17;18632;4932
facon;5;1123;22;15;24706;5615
dr;2;315;9;6;2835;630
as;2;1378;15;6;20670;2756
participe;9;370;36;23;13320;3330
telles;6;332;22;11;7304;1992
pexels;6;71;32;18;2272;426
square;6;41;19;8;779;246
grimmaud;8;2;43;24;86;16
quartier;8;732;26;14;19032;5856
ordre;5;1778;20;8;35560;8890
phenix;6;51;33;18;1683;306
saga;4;340;23;11;7820;1360
harry;5;930;16;8;14880;4650
potter;6;598;29;14;17342;3588
famille;7;3687;18;11;66366;25809
sirius;6;87;26;14;2262;522
black;5;349;21;11;7329;1745
frere;5;1398;25;14;34950;6990
regulus;7;6;28;14;168;42
elfe;4;105;20;11;2100;420
kreattur;8;1;50;24;50;8
appartiendra;12;2;45;23;90;24
tard;4;2312;23;11;53176;9248
apparait;8;166;29;14;4814;1328
tome;4;397;26;12;10322;1588
multitude;9;119;30;14;3570;1071
demeure;7;181;21;14;3801;1267
appartenu;9;48;49;26;2352;432
pendant;7;6537;12;8;78444;45759
lieu;4;4206;15;11;63090;16824
magie;5;236;25;14;5900;1180
noire;5;776;23;11;17848;3880
habitants;9;3290;30;17;98700;29610
adorant;7;4;36;20;144;28
puis;4;6508;14;8;91112;26032
devint;6;348;28;17;9744;2088
blanche;7;740;26;14;19240;5180
trouve;6;4133;19;8;78527;24798
tapisserie;10;35;30;14;1050;350
representant;12;438;24;11;10512;5256
arbre;5;650;25;11;16250;3250
genealogique;12;17;57;36;969;204
decore;6;107;25;18;2675;642
couleurs;8;883;25;14;22075;7064
serpentard;10;64;38;20;2432;640
devise;6;87;27;17;2349;522
pur;3;125;16;9;2000;375
maugrey;7;10;27;14;270;70
fol;3;13;17;9;221;39
sorts;5;27;30;15;810;135
protection;10;704;29;14;20416;7040
sort;4;962;24;12;23088;3848
blocklang;9;1;43;27;43;9
jeunes;6;1876;22;11;41272;11256
marche;6;495;25;14;12375;2970
climat;6;1033;24;14;24792;6198
bruxelles;9;604;25;11;15100;5436
fini;4;319;16;8;5104;1276
