word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
the;3;69967;11;6;769637;209901
of;2;36449;10;4;364490;72898
and;3;28888;14;6;404432;86664
to;2;26232;7;4;183624;52464
a;1;23361;4;2;93444;23361
in;2;21400;9;4;192600;42800
that;4;10593;15;8;158895;42372
is;2;10105;10;4;101050;20210
was;3;9816;16;6;157056;29448
for;3;9495;15;6;142425;28485
with;4;7280;20;8;145600;29120
it;2;8771;8;4;70168;17542
as;2;7249;9;4;65241;14498
he;2;9547;8;4;76376;19094
his;3;6995;15;6;104925;20985
on;2;6759;8;4;54072;13518
be;2;6381;10;4;63810;12762
i;1;5184;5;2;25920;5184
by;2;5342;14;4;74788;10684
had;3;5134;15;6;77010;15402
at;2;5376;7;4;37632;10752
not;3;4619;11;6;50809;13857
are;3;4393;12;6;52716;13179
from;4;4371;21;8;91791;17484
or;2;4196;9;4;37764;8392
this;4;5144;18;8;92592;20576
have;4;3942;20;8;78840;15768
an;2;3736;8;4;29888;7472
which;5;3557;28;10;99596;17785
were;4;3287;18;8;59166;13148
but;3;4382;17;6;74494;13146
one;3;3439;11;6;37829;10317
her;3;3036;13;6;39468;9108
you;3;3287;18;6;59166;9861
all;3;3093;16;6;49488;9279
they;4;3624;18;8;65232;14496
would;5;2720;30;10;81600;13600
him;3;2619;16;6;41904;7857
their;5;2667;21;10;56007;13335
been;4;2470;17;8;41990;9880
has;3;2433;14;6;34062;7299
will;4;2248;24;8;53952;8992
who;3;2252;16;6;36032;6756
more;4;2216;18;8;39888;8864
out;3;2165;14;6;30310;6495
we;2;2652;10;4;26520;5304
she;3;2860;13;6;37180;8580
up;2;1974;14;4;27636;3948
said;4;1962;20;8;39240;7848
there;5;2728;19;10;51832;13640
no;2;2223;8;4;17784;4446
so;2;2028;9;4;18252;4056
than;4;1796;16;8;28736;7184
them;4;1787;17;8;30379;7148
its;3;1858;13;6;24154;5574
into;4;1789;16;8;28624;7156
when;4;2333;19;8;44327;9332
about;5;1816;25;10;45400;9080
can;3;1771;14;6;24794;5313
only;4;1748;21;8;36708;6992
time;4;1691;17;8;28747;6764
other;5;1702;20;10;34040;8510
could;5;1601;29;10;46429;8005
if;2;2196;11;4;24156;4392
what;4;1909;19;8;36271;7636
some;4;1618;18;8;29124;6472
two;3;1516;14;6;21224;4548
any;3;1338;15;6;20070;4014
like;4;1343;22;8;29546;5372
may;3;1398;17;6;23766;4194
do;2;1375;10;4;13750;2750
over;4;1304;20;8;26080;5216
first;5;1389;24;10;33336;6945
these;5;1573;19;10;29887;7865
such;4;1295;23;8;29785;5180
man;3;1238;14;6;17332;3714
my;2;1318;13;4;17134;2636
me;2;1182;9;4;10638;2364
our;3;1253;16;6;20048;3759
made;4;1135;19;8;21565;4540
most;4;1161;18;8;20898;4644
now;3;1317;15;6;19755;3951
new;3;1646;14;6;23044;4938
then;4;1379;15;8;20685;5516
must;4;1012;21;8;21252;4048
did;3;1044;17;6;17748;3132
also;4;1069;19;8;20311;4276
even;4;1172;18;8;21096;4688
back;4;976;25;8;24400;3904
before;6;1015;28;12;28420;6090
through;7;974;36;14;35064;6818
many;4;1036;21;8;21756;4144
years;5;949;24;10;22776;4745
down;4;922;21;8;19362;3688
much;4;943;24;8;22632;3772
way;3;922;18;6;16596;2766
well;4;1004;22;8;22088;4016
your;4;925;23;8;21275;3700
should;6;888;33;12;29304;5328
where;5;937;23;10;21551;4685
mr;2;845;11;4;9295;1690
after;5;1074;21;10;22554;5370
long;4;879;21;8;18459;3516
people;6;850;30;12;25500;5100
because;7;883;35;14;30905;6181
too;3;842;11;6;9262;2526
good;4;831;21;8;17451;3324
little;6;834;26;12;21684;5004
make;4;804;21;8;16884;3216
those;5;850;20;10;17000;4250
year;4;791;19;8;15029;3164
own;3;773;15;6;11595;2319
very;4;796;23;8;18308;3184
work;4;773;24;8;18552;3092
each;4;878;18;8;15804;3512
just;4;872;23;8;20056;3488
see;3;775;11;6;8525;2325
men;3;769;13;6;9997;2307
still;5;785;25;10;19625;3925
get;3;752;13;6;9776;2256
between;7;730;30;14;21900;5110
world;5;811;28;10;22708;4055
being;5;720;26;10;18720;3600
day;3;756;17;6;12852;2268
life;4;729;20;8;14580;2916
know;4;689;23;8;15847;2756
same;4;686;18;8;12348;2744
might;5;672;26;10;17472;3360
never;5;699;23;10;16077;3495
us;2;671;12;4;8052;1342
off;3;673;16;6;10768;2019
how;3;839;16;6;13424;2517
under;5;714;25;10;17850;3570
old;3;747;16;6;11952;2241
three;5;704;19;10;13376;3520
both;4;731;19;8;13889;2924
last;4;684;18;8;12312;2736
came;4;622;19;8;11818;2488
against;7;628;32;14;20096;4396
here;4;750;16;8;12000;3000
go;2;633;11;4;6963;1266
great;5;670;22;10;14740;3350
right;5;626;25;10;15650;3130
used;4;612;21;8;12852;2448
come;4;632;19;8;12008;2528
himself;7;603;36;14;21708;4221
take;4;619;18;8;11142;2476
state;5;848;18;10;15264;4240
few;3;601;16;6;9616;1803
use;3;593;15;6;8895;1779
american;8;574;37;16;21238;4592
another;7;684;28;14;19152;4788
while;5;681;26;10;17706;3405
around;6;565;30;12;16950;3390
place;5;588;26;10;15288;2940
home;4;566;18;8;10188;2264
high;4;582;22;8;12804;2328
without;7;582;34;14;19788;4074
found;5;539;27;10;14553;2695
again;5;579;24;10;13896;2895
mrs;3;534;16;6;8544;1602
small;5;554;27;10;14958;2770
thought;7;517;34;14;17578;3619
went;4;508;17;8;8636;2032
say;3;506;16;6;8096;1518
part;4;528;19;8;10032;2112
left;4;492;18;8;8856;1968
upon;4;497;22;8;10934;1988
got;3;482;14;6;6748;1446
since;5;628;23;10;14444;3140
number;6;472;32;12;15104;2832
course;6;465;30;12;13950;2790
during;6;585;34;12;19890;3510
hand;4;470;19;8;8930;1880
away;4;459;22;8;10098;1836
united;6;455;28;12;12740;2730
does;4;485;18;8;8730;1940
always;6;459;33;12;15147;2754
fact;4;447;19;8;8493;1788
water;5;456;22;10;10032;2280
school;6;514;30;12;15420;3084
states;6;438;23;12;10074;2628
every;5;491;26;10;12766;2455
until;5;462;25;10;11550;2310
less;4;445;19;8;8455;1780
head;4;433;18;8;7794;1732
enough;6;433;30;12;12990;2598
put;3;439;17;6;7463;1317
called;6;433;31;12;13423;2598
think;5;433;25;10;10825;2165
took;4;426;19;8;8094;1704
far;3;439;15;6;6585;1317
once;4;505;17;8;8585;2020
something;9;451;42;18;18942;4059
end;3;427;13;6;5551;1281
set;3;425;11;6;4675;1275
public;6;454;38;12;17252;2724
night;5;424;24;10;10176;2120
told;4;413;19;8;7847;1652
house;5;600;24;10;14400;3000
almost;6;432;28;12;12096;2592
better;6;417;24;12;10008;2502
eyes;4;408;18;8;7344;1632
going;5;404;27;10;10908;2020
system;6;419;29;12;12151;2514
find;4;400;21;8;8400;1600
knew;4;395;22;8;8690;1580
present;7;402;30;14;12060;2814
group;5;397;30;10;11910;1985
however;7;552;35;14;19320;3864
face;4;386;19;8;7334;1544
four;4;415;22;8;9130;1660
give;4;391;23;8;8993;1564
asked;5;398;26;10;10348;1990
point;5;402;23;10;9246;2010
side;4;392;19;8;7448;1568
half;4;392;21;8;8232;1568
room;4;398;19;8;7562;1592
toward;6;386;29;12;11194;2316
days;4;385;22;8;8470;1540
per;3;380;15;6;5700;1140
though;6;440;31;12;13640;2640
social;6;397;30;12;11910;2382
given;5;378;27;10;10206;1890
look;4;401;22;8;8822;1604
possible;8;374;42;16;15708;2992
program;7;392;38;14;14896;2744
important;9;375;41;18;15375;3375
large;5;377;25;10;9425;1885
john;4;366;21;8;7686;1464
business;8;396;41;16;16236;3168
