word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
the;3;5776384;11;6;63540224;17329152
of;2;2789403;10;4;27894030;5578806
and;3;2421302;14;6;33898228;7263906
a;1;1939617;4;2;7758468;1939617
in;2;1695860;9;4;15262740;3391720
to;2;1468146;7;4;10277022;2936292
is;2;892937;10;4;8929370;1785874
was;3;839964;16;6;13439424;2519892
it;2;834957;8;4;6679656;1669914
for;3;768898;15;6;11533470;2306694
with;4;606027;20;8;12120540;2424108
he;2;605749;8;4;4845992;1211498
be;2;603178;11;4;6634958;1206356
on;2;590305;8;4;4722440;1180610
that;4;561041;15;8;8415615;2244164
by;2;490673;15;4;7360095;981346
at;2;435574;7;4;3049018;871148
you;3;426207;18;6;7671726;1278621
are;3;422562;12;6;5070744;1267686
not;3;413798;11;6;4551778;1241394
his;3;413737;15;6;6206055;1241211
this;4;404140;18;8;7274520;1616560
from;4;390876;21;8;8208396;1563504
but;3;389108;18;6;7003944;1167324
had;3;386510;15;6;5797650;1159530
which;5;349120;28;10;9775360;1745600
she;3;337345;13;6;4385485;1012035
they;4;336599;18;8;6058782;1346396
or;2;335976;9;4;3023784;671952
an;2;323963;8;4;2591704;647926
were;4;294301;18;8;5297418;1177204
we;2;249636;10;4;2496360;499272
their;5;247596;21;10;5199516;1237980
been;4;247131;18;8;4448358;988524
has;3;242854;14;6;3399956;728562
have;4;225582;20;8;4511640;902328
will;4;225381;24;8;5409144;901524
would;5;221172;30;10;6635160;1105860
her;3;211159;13;6;2745067;633477
there;5;201616;19;10;3830704;1008080
can;3;197483;14;6;2764762;592449
all;3;195515;16;6;3128240;586545
as;2;193757;9;4;1743813;387514
if;2;189926;11;4;2089186;379852
who;3;186984;16;6;2991744;560952
what;4;173582;19;8;3298058;694328
said;4;160935;20;8;3218700;643740
its;3;159578;13;6;2074514;478734
one;3;157972;11;6;1737692;473916
into;4;152395;16;8;2438320;609580
him;3;151029;16;6;2416464;453087
some;4;150609;18;8;2710962;602436
could;5;148165;29;10;4296785;740825
them;4;140989;17;8;2396813;563956
when;4;138167;19;8;2625173;552668
time;4;134941;17;8;2293997;539764
out;3;129196;14;6;1808744;387588
my;2;128980;13;4;1676740;257960
two;3;127987;14;6;1791818;383961
up;2;127430;14;4;1784020;254860
no;2;124543;8;4;996344;249086
then;4;124501;15;8;1867515;498004
more;4;123686;18;8;2226348;494744
do;2;123315;10;4;1233150;246630
also;4;119113;19;8;2263147;476452
other;5;116367;20;10;2327340;581835
about;5;115946;26;10;3014596;579730
these;5;112278;19;10;2133282;561390
me;2;110963;9;4;998667;221926
first;5;108775;24;10;2610600;543875
your;4;108669;23;8;2499387;434676
so;2;108593;9;4;977337;217186
did;3;108462;17;6;1843854;325386
new;3;108392;14;6;1517488;325176
now;3;108301;15;6;1624515;324903
may;3;108088;17;6;1837496;324264
any;3;108043;15;6;1620645;324129
only;4;105411;21;8;2213631;421644
people;6;102516;30;12;3075480;615096
than;4;101495;16;8;1623920;405980
should;6;99069;33;12;3269277;594414
like;4;87862;22;8;1932964;351448
between;7;87034;31;14;2698054;609238
very;4;86823;23;8;1996929;347292
just;4;85826;24;8;2059824;343304
many;4;82920;21;8;1741320;331680
years;5;82878;24;10;1989072;414390
way;3;82343;18;6;1482174;247029
our;3;81997;16;6;1311952;245991
how;3;81957;16;6;1311312;245871
being;5;80538;27;10;2174526;402690
those;5;77238;20;10;1544760;386190
such;4;73237;23;8;1684451;292948
where;5;68574;23;10;1577202;342870
through;7;67623;36;14;2434428;473361
even;4;66199;18;8;1191582;264796
must;4;65981;21;8;1385601;263924
year;4;65430;19;8;1243170;261720
own;3;64891;15;6;973365;194673
because;7;64034;36;14;2305224;448238
still;5;63992;25;10;1599800;319960
back;4;63738;26;8;1657188;254952
too;3;63637;11;6;700007;190911
down;4;62938;21;8;1321698;251752
three;5;61900;19;10;1176100;309500
last;4;60084;18;8;1081512;240336
good;4;59308;21;8;1245468;237232
government;10;59106;47;20;2777982;591060
after;5;58975;21;10;1238475;294875
however;7;56472;35;14;1976520;395304
world;5;55504;28;10;1554112;277520
same;4;54686;18;8;984348;218744
man;3;54569;14;6;763966;163707
life;4;53555;20;8;1071100;214220
against;7;53540;32;14;1713280;374780
