word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
la;2;231160;10;6;2311600;462320
pataphysique;12;24;63;36;1512;288
est;3;139273;17;9;2367641;417819
une;3;77779;15;9;1166685;233337
science;7;557;32;21;17824;3899
parodique;9;6;45;27;270;54
elle;4;27267;19;12;518073;109068
designe;7;742;31;21;23002;5194
des;3;128016;14;9;1792224;384048
solutions;9;180;50;27;9000;1620
imaginaires;11;61;50;33;3050;671
l;1;157746;5;3;788730;157746
apostrophe;10;11;55;30;605;110
n;1;21546;7;3;150822;21546
pas;3;29643;16;9;474288;88929
utilisee;8;820;40;24;32800;6560
devant;6;1516;29;18;43964;9096
le;2;201192;9;6;1810728;402384
mot;3;1952;17;9;33184;5856
lorsque;7;1780;38;21;67640;12460
terme;5;1084;27;15;29268;5420
utilise;7;1811;35;21;63385;12677
comme;5;22075;23;15;507725;110375
un;2;98321;11;6;1081531;196642
adjectif;8;123;34;24;4182;984
fut;3;3909;18;9;70362;11727
cree;4;1640;18;12;29520;6560
par;3;55637;15;9;834555;166911
ecrivain;8;514;37;24;19018;4112
francais;8;5880;37;24;217560;47040
alfred;6;152;29;18;4408;912
jarry;5;8;29;15;232;40
qui;3;63007;17;9;1071119;189021
avait;5;4938;25;15;123450;24690
defini;6;109;26;18;2834;654
accorde;7;219;29;21;6351;1533
symboliquement;14;34;74;42;2516;476
aux;3;16302;18;9;293436;48906
lineaments;10;1;49;30;49;10
les;3;172027;15;9;2580405;516081
proprietes;10;260;55;30;14300;2600
objets;6;1098;32;18;35136;6588
decrits;7;45;33;21;1485;315
leur;4;13586;21;12;285306;54344
virtualite;10;1;54;30;54;10
dans;4;62106;18;12;1117908;248424
beaucoup;8;6674;38;24;253612;53392
d;1;106690;4;3;426760;106690
uvres;5;936;29;15;27144;4680
de;2;369294;8;6;2954352;738588
cet;3;4792;13;9;62296;14376
tres;4;16228;23;12;373244;64912
presente;8;1277;41;24;52357;10216
se;2;35559;12;6;426708;71118
developpa;9;36;46;27;1656;324
au;2;46340;11;6;509740;92680
e;1;4058;5;3;20290;4058
siecle;6;7152;31;18;221712;42912
college;7;1563;30;21;46890;10941
en;2;131424;10;6;1314240;262848
pour;4;59206;23;12;1361738;236824
enseigner;9;79;43;27;3397;711
il;2;86530;9;6;778770;173060
actuellement;12;1035;57;36;58995;12420
situe;5;1475;28;15;41300;7375
a;1;142169;4;3;568676;142169
paris;5;4580;25;15;114500;22900
ecrivains;9;220;44;27;9680;1980
et;2;162818;11;6;1790998;325636
artistes;8;653;42;24;27426;5224
illustres;9;30;48;27;1440;270
sont;4;40154;24;12;963696;160616
pataphysiciens;14;8;69;42;552;112
marcel;6;148;26;18;3848;888
duchamp;7;10;32;21;320;70
jacques;7;799;34;21;27166;5593
prevert;7;23;40;21;920;161
boris;5;96;26;15;2496;480
vian;4;6;21;12;126;24
raymond;7;109;39;21;4251;763
queneau;7;17;35;21;595;119
man;3;285;13;9;3705;855
ray;3;46;19;9;874;138
eugene;6;148;31;18;4588;888
ionesco;7;7;33;21;231;49
georges;7;362;36;21;13032;2534
perec;5;6;27;15;162;30
antonin;7;36;35;21;1260;252
artaud;6;6;29;18;174;36
jean;4;2183;18;12;39294;8732
christophe;10;198;49;30;9702;1980
averty;6;1;35;18;35;6
fernando;8;39;42;24;1638;312
arrabal;7;2;31;21;62;14
mais;4;25550;18;12;459900;102200
aussi;5;15694;27;15;423738;78470
peintres;8;198;44;24;8712;1584
tels;4;810;22;12;17820;3240
que;3;45724;17;9;777308;137172
joan;4;21;19;12;399;84
mir;3;30;17;9;510;90
dubuffet;8;5;41;24;205;40
david;5;438;22;15;9636;2190
hockney;7;2;35;21;70;14
ou;2;31878;12;6;382536;63756
encore;6;5618;28;18;157304;33708
academiciens;12;6;54;36;324;72
pascal;6;128;27;18;3456;768
ory;3;5;20;9;100;15
ne;2;24536;11;6;269896;49072
revolutionnaires;16;296;86;48;25456;4736
ambitionnent;12;1;59;36;59;12
changer;7;650;29;21;18850;4550
monde;5;7979;23;15;183517;39895
mouvement;9;1548;47;27;72756;13932
dada;4;21;14;12;294;84
surrealiste;11;25;62;33;1550;275
essence;7;138;33;21;4554;966
ailleurs;8;1828;40;24;73120;14624
dadaistes;9;3;41;27;123;27
surrealistes;12;16;68;36;1088;192
s;1;28036;8;3;224288;28036
apprend;7;432;37;21;15984;3024
pratique;8;991;41;24;40631;7928
tous;4;7150;25;12;178750;28600
peut;4;13949;22;12;306878;55796
initier;7;22;34;21;748;154
aisement;8;45;38;24;1710;360
cela;4;5619;15;12;84285;22476
suffit;6;403;34;18;13702;2418
efforcer;8;3;38;24;114;24
penser;6;348;32;18;11136;2088
choses;6;1106;28;18;30968;6636
auxquelles;10;101;54;30;5454;1010
vous;4;4254;25;12;106350;17016
pensez;6;104;32;18;3328;624
autres;6;10414;33;18;343662;62484
pensent;7;495;37;21;18315;3465
faire;5;9379;23;15;215717;46895
necessite;9;167;46;27;7682;1503
toutefois;9;825;47;27;38775;7425
appliquer;9;233;50;27;11650;2097
principe;8;621;38;24;23598;4968
important;9;1822;48;27;87456;16398
equivalence;11;18;55;33;990;198
toutes;6;3380;34;18;114920;20280
ainsi;5;6582;23;15;151386;32910
pataphysicien;13;2;63;39;126;26
ce;2;29011;7;6;203077;58022
serieux;7;158;40;21;6320;1106
strictement;11;75;57;33;4275;825
equivalent;10;290;54;30;15660;2900
rond;4;116;23;12;2668;464
parfaitement;12;218;57;36;12426;2616
carre;5;236;22;15;5192;1180
vrai;4;895;21;12;18795;3580
indemontrable;13;2;63;39;126;26
kurt;4;22;26;12;572;88
godel;5;8;24;15;192;40
patafix;7;1;35;21;35;7
moteur;6;530;33;18;17490;3180
recherche;9;1023;41;27;41943;9207
patakosmos;10;1;57;30;57;10
reference;9;380;46;27;17480;3420
univers;7;765;37;21;28305;5355
ecrit;5;1706;24;15;40944;8530
lettres;7;569;38;21;21622;3983
zero;4;213;23;12;4899;852
chiffre;7;242;29;21;7018;1694
nombre;6;3534;30;18;106020;21204
naturel;7;536;38;21;20368;3752
cardinal;8;210;33;24;6930;1680
signifie;8;1151;37;24;42587;9208
qu;2;25763;13;6;334919;51526
combien;7;165;30;21;4950;1155
y;1;16352;7;3;114464;16352
a;1;54964;4;3;219856;54964
correspondant;13;156;65;39;10140;2028
ensemble;8;2216;37;24;81992;17728
vide;4;371;21;12;7791;1484
absence;7;382;31;21;11842;2674
exemple;7;5715;36;21;205740;40005
quand;5;4420;25;15;110500;22100
reste;5;2673;29;15;77517;13365
piece;5;678;21;15;14238;3390
porte;5;1589;28;15;44492;7945
monnaie;7;468;31;21;14508;3276
c;1;34853;3;3;104559;34853
plus;4;41215;23;12;947945;164860
pieces;6;835;27;18;22545;5010
langage;7;531;28;21;14868;3717
jours;5;3343;29;15;96947;16715
correspond;10;574;50;30;28700;5740
