word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
de  ;4;369294;27;8;9970938;1477176
la  ;4;231160;26;8;6010160;924640
le ;3;201192;22;6;4426224;603576
les ;4;172027;27;8;4644729;688108
et ;3;162818;20;6;3256360;488454
a ;2;142169;10;4;1421690;284338
est ;4;139273;25;8;3481825;557092
en ;3;131424;19;6;2497056;394272
des ;4;128016;24;8;3072384;512064
d ;2;106690;13;4;1386970;213380
un ;3;98321;20;6;1966420;294963
il ;3;86530;21;6;1817130;259590
du ;3;81566;20;6;1631320;244698
une ;4;77779;26;8;2022254;311116
qui ;4;63007;28;8;1764196;252028
dans ;5;62106;25;10;1552650;310530
pour ;5;59206;37;10;2190622;296030
par ;4;55637;26;8;1446562;222548
au ;3;46340;17;6;787780;139020
que ;4;45724;29;8;1325996;182896
plus ;5;41215;35;10;1442525;206075
sont ;5;40154;30;10;1204620;200770
se ;3;35559;19;6;675621;106677
c ;2;34853;12;4;418236;69706
sur ;4;34442;29;8;998818;137768
ou ;3;31878;21;6;669438;95634
on ;3;30509;19;6;579671;91527
son ;4;30237;24;8;725688;120948
pas ;4;29643;22;8;652146;118572
ce ;3;29011;18;6;522198;87033
s ;2;28036;13;4;364468;56072
elle ;5;27267;36;10;981612;136335
avec ;5;26472;28;10;741216;132360
qu ;3;25763;23;6;592549;77289
mais ;5;25550;24;10;613200;127750
ne ;3;24536;19;6;466184;73608
comme ;6;22075;32;12;706400;132450
n ;2;21546;13;4;280098;43092
sa ;3;18696;15;6;280440;56088
ils ;4;17444;26;8;453544;69776
ont ;4;17423;25;8;435575;69692
ete ;4;17041;26;8;443066;68164
y ;2;16352;14;4;228928;32704
aux ;4;16302;27;8;440154;65208
tres ;5;16228;34;10;551752;81140
aussi ;6;15694;32;12;502208;94164
ses ;4;15661;24;8;375864;62644
cette ;6;15351;36;12;552636;92106
fait ;5;14532;28;10;406896;72660
peut ;5;13949;34;10;474266;69745
leur ;5;13586;38;10;516268;67930
deux ;5;13274;36;10;477864;66370
etre ;5;13146;35;10;460110;65730
meme ;5;12315;28;10;344820;61575
etait ;6;11616;33;12;383328;69696
entre ;6;11581;40;12;463240;69486
je ;3;11517;20;6;230340;34551
france ;7;10672;41;14;437552;74704
apres ;6;10577;37;12;391349;63462
autres ;7;10414;43;14;447802;72898
pays ;5;10308;28;10;288624;51540
ces ;4;10300;23;8;236900;41200
ans ;4;10179;20;8;203580;40716
lui ;4;10160;28;8;284480;40640
o ;2;9817;14;4;137438;19634
alors ;6;9631;38;12;365978;57786
faire ;6;9379;37;12;347023;56274
si ;3;9322;18;6;167796;27966
tout ;5;9271;33;10;305943;46355
j ;2;9028;14;4;126392;18056
bien ;5;8969;27;10;242163;44845
donc ;5;8648;28;10;242144;43240
ville ;6;8242;43;12;354406;49452
sous ;5;8064;31;10;249984;40320
monde ;6;7979;34;12;271286;47874
roi ;4;7628;28;8;213584;30512
nom ;4;7508;23;8;172684;30032
guerre ;7;7165;48;14;343920;50155
siecle ;7;7152;42;14;300384;50064
tous ;5;7150;32;10;228800;35750
partie ;7;7136;43;14;306848;49952
plusieurs ;10;6946;67;20;465382;69460
depuis ;7;6924;43;14;297732;48468
dont ;5;6896;30;10;206880;34480
contre ;7;6824;44;14;300256;47768
beaucoup ;9;6674;50;18;333700;60066
ainsi ;6;6582;30;12;197460;39492
leurs ;6;6562;43;12;282166;39372
pendant ;8;6537;44;16;287628;52296
puis ;5;6508;32;10;208256;32540
grand ;6;6287;32;12;201184;37722
car ;4;6265;23;8;144095;25060
peu ;4;6180;28;8;173040;24720
avoir ;6;6113;38;12;232294;36678
grande ;7;6074;38;14;230812;42518
t ;2;6042;14;4;84588;12084
tu ;3;5996;21;6;125916;17988
egalement ;10;5973;54;20;322542;59730
sans ;5;5962;25;10;149050;29810
nord ;5;5949;33;10;196317;29745
sud ;4;5944;25;8;148600;23776
souvent ;8;5906;51;16;301206;47248
francais ;9;5880;47;18;276360;52920
avant ;6;5756;31;12;178436;34536
exemple ;8;5715;55;16;314325;45720
cela ;5;5619;28;10;157332;28095
encore ;7;5618;44;14;247192;39326
jusqu ;6;5599;41;12;229559;33594
fois ;5;5568;31;10;172608;27840
temps ;6;5539;36;12;199404;33234
eau ;4;5501;23;8;126523;22004
premier ;8;5399;54;16;291546;43192
elles ;6;5315;41;12;217915;31890
nous ;5;5290;31;10;163990;26450
vers ;5;5257;36;10;189252;26285
dire ;5;5243;33;10;173019;26215
autre ;6;5155;38;12;195890;30930
vie ;4;5033;27;8;135891;20132
mort ;5;5033;33;10;166089;25165
trois ;6;4965;39;12;193635;29790
avait ;6;4938;31;12;153078;29628
m ;2;4929;12;4;59148;9858
premiere ;9;4885;60;18;293100;43965
moins ;6;4855;33;12;160215;29130
certains ;9;4815;50;18;240750;43335
annees ;7;4804;37;14;177748;33628
cet ;4;4792;24;8;115008;19168
peuvent ;8;4739;53;16;251167;37912
paris ;6;4580;36;12;164880;27480
fin ;4;4441;25;8;111025;17764
quand ;6;4420;35;12;154700;26520
personnes ;10;4306;62;20;266972;43060
vous ;5;4254;34;10;144636;21270
etaient ;8;4244;44;16;186736;33952
lieu ;5;4206;34;10;143004;21030
