word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,,
de  ,4,369294,17,8,6277998,1477176,,,
la  ,4,231160,16,8,3698560,924640,,,
le ,3,201192,7,6,1408344,603576,,,
les ,4,172027,11,8,1892297,688108,,,
et ,3,162818,10,6,1628180,488454,,,
a ,2,142169,8,4,1137352,284338,,,"3,65686698874534"
est ,4,139273,14,8,1949822,557092,,,
en ,3,131424,10,6,1314240,394272,,,
des ,4,128016,10,8,1280160,512064,,,
d ,2,106690,5,4,533450,213380,,,
un ,3,98321,12,6,1179852,294963,,,
il ,3,86530,10,6,865300,259590,,,
du ,3,81566,9,6,734094,244698,,,
une ,4,77779,15,8,1166685,311116,,,
qui ,4,63007,15,8,945105,252028,,,
dans ,5,62106,16,10,993696,310530,,,
pour ,5,59206,20,10,1184120,296030,,,
par ,4,55637,12,8,667644,222548,,,
au ,3,46340,14,6,648760,139020,,,
que ,4,45724,14,8,640136,182896,,,
plus ,5,41215,18,10,741870,206075,,,
sont ,5,40154,22,10,883388,200770,,,
se ,3,35559,11,6,391149,106677,,,
c ,2,34853,8,4,278824,69706,,,
sur ,4,34442,18,8,619956,137768,,,
ou ,3,31878,14,6,446292,95634,,,
on ,3,30509,13,6,396617,91527,,,
son ,4,30237,17,8,514029,120948,,,
pas ,4,29643,13,8,385359,118572,,,
ce ,3,29011,8,6,232088,87033,,,
s ,2,28036,8,4,224288,56072,,,
elle ,5,27267,14,10,381738,136335,,,
avec ,5,26472,20,10,529440,132360,,,
qu ,3,25763,13,6,334919,77289,,,
mais ,5,25550,16,10,408800,127750,,,
ne ,3,24536,13,6,318968,73608,,,
comme ,6,22075,18,12,397350,132450,,,
n ,2,21546,10,4,215460,43092,,,
sa ,3,18696,12,6,224352,56088,,,
ils ,4,17444,14,8,244216,69776,,,
ont ,4,17423,18,8,313614,69692,,,
ete ,4,17041,14,8,238574,68164,,,
y ,2,16352,10,4,163520,32704,,,
aux ,4,16302,20,8,326040,65208,,,
tres ,5,16228,18,10,292104,81140,,,
aussi ,6,15694,25,12,392350,94164,,,
ses ,4,15661,16,8,250576,62644,,,
cette ,6,15351,20,12,307020,92106,,,
fait ,5,14532,17,10,247044,72660,,,
peut ,5,13949,19,10,265031,69745,,,
leur ,5,13586,16,10,217376,67930,,,
deux ,5,13274,16,10,212384,66370,,,
etre ,5,13146,17,10,223482,65730,,,
meme ,5,12315,14,10,172410,61575,,,
etait ,6,11616,22,12,255552,69696,,,
entre ,6,11581,21,12,243201,69486,,,
je ,3,11517,10,6,115170,34551,,,
france ,7,10672,21,14,224112,74704,,,
apres ,6,10577,26,12,275002,63462,,,
autres ,7,10414,29,14,302006,72898,,,
pays ,5,10308,17,10,175236,51540,,,
ces ,4,10300,12,8,123600,41200,,,
ans ,4,10179,16,8,162864,40716,,,
lui ,4,10160,13,8,132080,40640,,,
o ,2,9817,12,4,117804,19634,,,
alors ,6,9631,24,12,231144,57786,,,
faire ,6,9379,18,12,168822,56274,,,
si ,3,9322,11,6,102542,27966,,,
tout ,5,9271,23,10,213233,46355,,,
j ,2,9028,10,4,90280,18056,,,
bien ,5,8969,19,10,170411,44845,,,
donc ,5,8648,14,10,121072,43240,,,
ville ,6,8242,20,12,164840,49452,,,
sous ,5,8064,22,10,177408,40320,,,
monde ,6,7979,18,12,143622,47874,,,
roi ,4,7628,19,8,144932,30512,,,
nom ,4,7508,19,8,142652,30032,,,
guerre ,7,7165,26,14,186290,50155,,,
siecle ,7,7152,28,14,200256,50064,,,
tous ,5,7150,23,10,164450,35750,,,
partie ,7,7136,23,14,164128,49952,,,
plusieurs ,10,6946,36,20,250056,69460,,,
depuis ,7,6924,25,14,173100,48468,,,
dont ,5,6896,17,10,117232,34480,,,
contre ,7,6824,25,14,170600,47768,,,
beaucoup ,9,6674,34,18,226916,60066,,,
ainsi ,6,6582,24,12,157968,39492,,,
leurs ,6,6562,20,12,131240,39372,,,
pendant ,8,6537,27,16,176499,52296,,,
puis ,5,6508,18,10,117144,32540,,,
grand ,6,6287,22,12,138314,37722,,,
car ,4,6265,13,8,81445,25060,,,
peu ,4,6180,14,8,86520,24720,,,
avoir ,6,6113,26,12,158938,36678,,,
grande ,7,6074,23,14,139702,42518,,,
t ,2,6042,8,4,48336,12084,,,
tu ,3,5996,17,6,101932,17988,,,
egalement ,10,5973,34,20,203082,59730,,,
sans ,5,5962,20,10,119240,29810,,,
nord ,5,5949,22,10,130878,29745,,,
sud ,4,5944,17,8,101048,23776,,,
souvent ,8,5906,36,16,212616,47248,,,
francais ,9,5880,32,18,188160,52920,,,
avant ,6,5756,26,12,149656,34536,,,
exemple ,8,5715,26,16,148590,45720,,,
cela ,5,5619,13,10,73047,28095,,,
encore ,7,5618,23,14,129214,39326,,,
jusqu ,6,5599,26,12,145574,33594,,,
fois ,5,5568,19,10,105792,27840,,,
temps ,6,5539,22,12,121858,33234,,,
eau ,4,5501,14,8,77014,22004,,,
