word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,
de,2,369294,2,2,738588,738588,,
la,2,231160,3,2,693480,462320,,
le,2,201192,2,2,402384,402384,,
les,3,172027,4,3,688108,516081,,
et,2,162818,12,2,1953816,325636,,
a,1,142169,10,1,1421690,142169,,"3,78534970408443"
est,3,139273,11,3,1532003,417819,,
en,2,131424,10,2,1314240,262848,,
des,3,128016,5,3,640080,384048,,
d,1,106690,2,1,213380,106690,,
un,2,98321,7,2,688247,196642,,
il,2,86530,20,2,1730600,173060,,
du,2,81566,6,2,489396,163132,,
une,3,77779,9,3,700011,233337,,
qui,3,63007,8,3,504056,189021,,
dans,4,62106,9,4,558954,248424,,
pour,4,59206,8,4,473648,236824,,
par,3,55637,5,3,278185,166911,,
au,2,46340,16,2,741440,92680,,
que,3,45724,7,3,320068,137172,,
plus,4,41215,10,4,412150,164860,,
sont,4,40154,15,4,602310,160616,,
se,2,35559,8,2,284472,71118,,
c,1,34853,8,1,278824,34853,,
sur,3,34442,15,3,516630,103326,,
ou,2,31878,14,2,446292,63756,,
on,2,30509,13,2,396617,61018,,
son,3,30237,13,3,393081,90711,,
pas,3,29643,6,3,177858,88929,,
ce,2,29011,10,2,290110,58022,,
s,1,28036,6,1,168216,28036,,
elle,4,27267,17,4,463539,109068,,
avec,4,26472,22,4,582384,105888,,
qu,2,25763,6,2,154578,51526,,
mais,4,25550,15,4,383250,102200,,
ne,2,24536,18,2,441648,49072,,
comme,5,22075,13,5,286975,110375,,
n,1,21546,15,1,323190,21546,,
sa,2,18696,13,2,243048,37392,,
ils,3,17444,24,3,418656,52332,,
ont,3,17423,15,3,261345,52269,,
ete,3,17041,20,3,340820,51123,,
y,1,16352,22,1,359744,16352,,
aux,3,16302,19,3,309738,48906,,
tres,4,16228,20,4,324560,64912,,
aussi,5,15694,22,5,345268,78470,,
ses,3,15661,11,3,172271,46983,,
cette,5,15351,15,5,230265,76755,,
fait,4,14532,13,4,188916,58128,,
peut,4,13949,10,4,139490,55796,,
leur,4,13586,6,4,81516,54344,,
deux,4,13274,8,4,106192,53096,,
etre,4,13146,20,4,262920,52584,,
meme,4,12315,20,4,246300,49260,,
etait,5,11616,22,5,255552,58080,,
entre,5,11581,14,5,162134,57905,,
je,2,11517,17,2,195789,23034,,
france,6,10672,16,6,170752,64032,,
apres,5,10577,27,5,285579,52885,,
autres,6,10414,21,6,218694,62484,,
pays,4,10308,8,4,82464,41232,,
