word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
de  ;4;369294;13;8;4800822;1477176
la  ;4;231160;14;8;3236240;924640
le ;3;201192;6;6;1207152;603576
les ;4;172027;9;8;1548243;688108
et ;3;162818;11;6;1790998;488454
a ;2;142169;8;4;1137352;284338
est ;4;139273;13;8;1810549;557092
en ;3;131424;11;6;1445664;394272
des ;4;128016;10;8;1280160;512064
d ;2;106690;6;4;640140;213380
un ;3;98321;9;6;884889;294963
il ;3;86530;12;6;1038360;259590
du ;3;81566;9;6;734094;244698
une ;4;77779;12;8;933348;311116
qui ;4;63007;11;8;693077;252028
dans ;5;62106;13;10;807378;310530
pour ;5;59206;12;10;710472;296030
par ;4;55637;9;8;500733;222548
au ;3;46340;11;6;509740;139020
que ;4;45724;10;8;457240;182896
plus ;5;41215;13;10;535795;206075
sont ;5;40154;15;10;602310;200770
se ;3;35559;9;6;320031;106677
c ;2;34853;10;4;348530;69706
sur ;4;34442;13;8;447746;137768
ou ;3;31878;13;6;414414;95634
on ;3;30509;10;6;305090;91527
son ;4;30237;12;8;362844;120948
pas ;4;29643;10;8;296430;118572
ce ;3;29011;10;6;290110;87033
s ;2;28036;6;4;168216;56072
elle ;5;27267;16;10;436272;136335
avec ;5;26472;17;10;450024;132360
qu ;3;25763;9;6;231867;77289
mais ;5;25550;15;10;383250;127750
ne ;3;24536;11;6;269896;73608
comme ;6;22075;16;12;353200;132450
n ;2;21546;9;4;193914;43092
sa ;3;18696;12;6;224352;56088
ils ;4;17444;16;8;279104;69776
ont ;4;17423;13;8;226499;69692
ete ;4;17041;19;8;323779;68164
y ;2;16352;10;4;163520;32704
aux ;4;16302;14;8;228228;65208
tres ;5;16228;17;10;275876;81140
aussi ;6;15694;19;12;298186;94164
ses ;4;15661;12;8;187932;62644
cette ;6;15351;17;12;260967;92106
fait ;5;14532;14;10;203448;72660
peut ;5;13949;14;10;195286;69745
leur ;5;13586;11;10;149446;67930
deux ;5;13274;13;10;172562;66370
etre ;5;13146;18;10;236628;65730
meme ;5;12315;18;10;221670;61575
etait ;6;11616;21;12;243936;69696
entre ;6;11581;17;12;196877;69486
je ;3;11517;11;6;126687;34551
france ;7;10672;18;14;192096;74704
apres ;6;10577;22;12;232694;63462
autres ;7;10414;20;14;208280;72898
pays ;5;10308;12;10;123696;51540
ces ;4;10300;13;8;133900;41200
ans ;4;10179;12;8;122148;40716
lui ;4;10160;12;8;121920;40640
o ;2;9817;12;4;117804;19634
alors ;6;9631;20;12;192620;57786
faire ;6;9379;17;12;159443;56274
si ;3;9322;10;6;93220;27966
tout ;5;9271;16;10;148336;46355
j ;2;9028;11;4;99308;18056
bien ;5;8969;18;10;161442;44845
donc ;5;8648;14;10;121072;43240
ville ;6;8242;21;12;173082;49452
sous ;5;8064;15;10;120960;40320
monde ;6;7979;18;12;143622;47874
roi ;4;7628;18;8;137304;30512
nom ;4;7508;17;8;127636;30032
guerre ;7;7165;22;14;157630;50155
siecle ;7;7152;30;14;214560;50064
tous ;5;7150;17;10;121550;35750
partie ;7;7136;17;14;121312;49952
plusieurs ;10;6946;24;20;166704;69460
depuis ;7;6924;18;14;124632;48468
dont ;5;6896;13;10;89648;34480
contre ;7;6824;17;14;116008;47768
beaucoup ;9;6674;26;18;173524;60066
ainsi ;6;6582;20;12;131640;39492
leurs ;6;6562;14;12;91868;39372
pendant ;8;6537;20;16;130740;52296
puis ;5;6508;13;10;84604;32540
grand ;6;6287;19;12;119453;37722
car ;4;6265;14;8;87710;25060
peu ;4;6180;13;8;80340;24720
avoir ;6;6113;19;12;116147;36678
grande ;7;6074;20;14;121480;42518
t ;2;6042;8;4;48336;12084
tu ;3;5996;16;6;95936;17988
egalement ;10;5973;30;20;179190;59730
sans ;5;5962;16;10;95392;29810
nord ;5;5949;19;10;113031;29745
sud ;4;5944;16;8;95104;23776
souvent ;8;5906;25;16;147650;47248
francais ;9;5880;28;18;164640;52920
avant ;6;5756;19;12;109364;34536
exemple ;8;5715;25;16;142875;45720
cela ;5;5619;17;10;95523;28095
encore ;7;5618;20;14;112360;39326
jusqu ;6;5599;19;12;106381;33594
fois ;5;5568;16;10;89088;27840
temps ;6;5539;20;12;110780;33234
eau ;4;5501;15;8;82515;22004
premier ;8;5399;19;16;102581;43192
elles ;6;5315;19;12;100985;31890
nous ;5;5290;17;10;89930;26450
vers ;5;5257;16;10;84112;26285
dire ;5;5243;14;10;73402;26215
autre ;6;5155;19;12;97945;30930
vie ;4;5033;16;8;80528;20132
mort ;5;5033;17;10;85561;25165
trois ;6;4965;19;12;94335;29790
avait ;6;4938;18;12;88884;29628
m ;2;4929;11;4;54219;9858
premiere ;9;4885;23;18;112355;43965
moins ;6;4855;19;12;92245;29130
certains ;9;4815;25;18;120375;43335
annees ;7;4804;26;14;124904;33628
cet ;4;4792;14;8;67088;19168
peuvent ;8;4739;21;16;99519;37912
paris ;6;4580;14;12;64120;27480
fin ;4;4441;12;8;53292;17764
quand ;6;4420;17;12;75140;26520
personnes ;10;4306;24;20;103344;43060
vous ;5;4254;19;10;80826;21270
etaient ;8;4244;25;16;106100;33952
lieu ;5;4206;13;10;54678;21030
ai ;3;4152;13;6;53976;12456
doit ;5;4141;14;10;57974;20705
terre ;6;4134;21;12;86814;24804
trouve ;7;4133;24;14;99192;28931
etat ;5;4129;16;10;66064;20645
e ;2;4058;7;4;28406;8116
faut ;5;4051;15;10;60765;20255
nombreux ;9;4048;28;18;113344;36432
