word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
de  ;4;369294;14;8;5170116;1477176
la  ;4;231160;18;8;4160880;924640
le ;3;201192;14;6;2816688;603576
les ;4;172027;19;8;3268513;688108
et ;3;162818;13;6;2116634;488454
a ;2;142169;8;4;1137352;284338
est ;4;139273;18;8;2506914;557092
en ;3;131424;15;6;1971360;394272
des ;4;128016;16;8;2048256;512064
d ;2;106690;7;4;746830;213380
un ;3;98321;19;6;1868099;294963
il ;3;86530;16;6;1384480;259590
du ;3;81566;15;6;1223490;244698
une ;4;77779;23;8;1788917;311116
qui ;4;63007;25;8;1575175;252028
dans ;5;62106;25;10;1552650;310530
pour ;5;59206;27;10;1598562;296030
par ;4;55637;17;8;945829;222548
au ;3;46340;16;6;741440;139020
que ;4;45724;23;8;1051652;182896
plus ;5;41215;28;10;1154020;206075
sont ;5;40154;29;10;1164466;200770
se ;3;35559;12;6;426708;106677
c ;2;34853;8;4;278824;69706
sur ;4;34442;20;8;688840;137768
ou ;3;31878;18;6;573804;95634
on ;3;30509;18;6;549162;91527
son ;4;30237;23;8;695451;120948
pas ;4;29643;18;8;533574;118572
ce ;3;29011;12;6;348132;87033
s ;2;28036;8;4;224288;56072
elle ;5;27267;25;10;681675;136335
avec ;5;26472;24;10;635328;132360
qu ;3;25763;19;6;489497;77289
mais ;5;25550;25;10;638750;127750
ne ;3;24536;15;6;368040;73608
comme ;6;22075;31;12;684325;132450
n ;2;21546;11;4;237006;43092
sa ;3;18696;13;6;243048;56088
ils ;4;17444;21;8;366324;69776
ont ;4;17423;24;8;418152;69692
ete ;4;17041;17;8;289697;68164
y ;2;16352;12;4;196224;32704
aux ;4;16302;26;8;423852;65208
tres ;5;16228;22;10;357016;81140
aussi ;6;15694;32;12;502208;94164
ses ;4;15661;17;8;266237;62644
cette ;6;15351;28;12;429828;92106
fait ;5;14532;26;10;377832;72660
peut ;5;13949;26;10;362674;69745
leur ;5;13586;26;10;353236;67930
deux ;5;13274;29;10;384946;66370
etre ;5;13146;21;10;276066;65730
meme ;5;12315;23;10;283245;61575
etait ;6;11616;30;12;348480;69696
entre ;6;11581;29;12;335849;69486
je ;3;11517;15;6;172755;34551
france ;7;10672;35;14;373520;74704
