word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,
de  ,4,369294,31,12,11448114,1477176,,
la  ,4,231160,27,12,6241320,924640,,
le ,3,201192,22,9,4426224,603576,,"6,8294977008047"
les ,4,172027,27,12,4644729,688108,,
et ,3,162818,22,9,3581996,488454,,
a ,2,142169,12,6,1706028,284338,,
est ,4,139273,27,12,3760371,557092,,
en ,3,131424,24,9,3154176,394272,,
des ,4,128016,27,12,3456432,512064,,
d ,2,106690,15,6,1600350,213380,,
un ,3,98321,24,9,2359704,294963,,
il ,3,86530,22,9,1903660,259590,,
du ,3,81566,22,9,1794452,244698,,
une ,4,77779,31,12,2411149,311116,,
qui ,4,63007,30,12,1890210,252028,,
dans ,5,62106,31,15,1925286,310530,,
pour ,5,59206,35,15,2072210,296030,,
par ,4,55637,26,12,1446562,222548,,
au ,3,46340,19,9,880460,139020,,
que ,4,45724,30,12,1371720,182896,,
plus ,5,41215,33,15,1360095,206075,,
sont ,5,40154,33,15,1325082,200770,,
se ,3,35559,21,9,746739,106677,,
c ,2,34853,14,6,487942,69706,,
sur ,4,34442,29,12,998818,137768,,
ou ,3,31878,21,9,669438,95634,,
on ,3,30509,22,9,671198,91527,,
son ,4,30237,27,12,816399,120948,,
pas ,4,29643,23,12,681789,118572,,
ce ,3,29011,21,9,609231,87033,,
s ,2,28036,14,6,392504,56072,,
elle ,5,27267,35,15,954345,136335,,
avec ,5,26472,32,15,847104,132360,,
qu ,3,25763,23,9,592549,77289,,
mais ,5,25550,31,15,792050,127750,,
ne ,3,24536,24,9,588864,73608,,
comme ,6,22075,40,18,883000,132450,,
n ,2,21546,17,6,366282,43092,,
sa ,3,18696,17,9,317832,56088,,
ils ,4,17444,27,12,470988,69776,,
ont ,4,17423,28,12,487844,69692,,
ete ,4,17041,29,12,494189,68164,,
y ,2,16352,16,6,261632,32704,,
aux ,4,16302,25,12,407550,65208,,
tres ,5,16228,35,15,567980,81140,,
aussi ,6,15694,36,18,564984,94164,,
ses ,4,15661,26,12,407186,62644,,
cette ,6,15351,40,18,614040,92106,,
fait ,5,14532,29,15,421428,72660,,
peut ,5,13949,35,15,488215,69745,,
leur ,5,13586,37,15,502682,67930,,
deux ,5,13274,35,15,464590,66370,,
etre ,5,13146,37,15,486402,65730,,
meme ,5,12315,37,15,455655,61575,,
etait ,6,11616,38,18,441408,69696,,
entre ,6,11581,45,18,521145,69486,,
je ,3,11517,20,9,230340,34551,,
france ,7,10672,44,21,469568,74704,,
apres ,6,10577,38,18,401926,63462,,
autres ,7,10414,45,21,468630,72898,,
pays ,5,10308,30,15,309240,51540,,
ces ,4,10300,26,12,267800,41200,,
ans ,4,10179,25,12,254475,40716,,
lui ,4,10160,29,12,294640,40640,,
o ,2,9817,14,6,137438,19634,,
alors ,6,9631,36,18,346716,57786,,
faire ,6,9379,38,18,356402,56274,,
si ,3,9322,21,9,195762,27966,,
tout ,5,9271,33,15,305943,46355,,
j ,2,9028,13,6,117364,18056,,
bien ,5,8969,35,15,313915,44845,,
donc ,5,8648,33,15,285384,43240,,
ville ,6,8242,43,18,354406,49452,,
sous ,5,8064,31,15,249984,40320,,
monde ,6,7979,42,18,335118,47874,,
roi ,4,7628,29,12,221212,30512,,
nom ,4,7508,29,12,217732,30032,,
guerre ,7,7165,51,21,365415,50155,,
siecle ,7,7152,46,21,328992,50064,,
tous ,5,7150,32,15,228800,35750,,
partie ,7,7136,46,21,328256,49952,,
plusieurs ,10,6946,67,30,465382,69460,,
depuis ,7,6924,47,21,325428,48468,,
dont ,5,6896,34,15,234464,34480,,
contre ,7,6824,48,21,327552,47768,,
beaucoup ,9,6674,53,27,353722,60066,,
ainsi ,6,6582,39,18,256698,39492,,
leurs ,6,6562,42,18,275604,39372,,
pendant ,8,6537,53,24,346461,52296,,
puis ,5,6508,34,15,221272,32540,,
grand ,6,6287,39,18,245193,37722,,
car ,4,6265,25,12,156625,25060,,
peu ,4,6180,29,12,179220,24720,,
avoir ,6,6113,40,18,244520,36678,,
grande ,7,6074,46,21,279404,42518,,
t ,2,6042,15,6,90630,12084,,
tu ,3,5996,22,9,131912,17988,,
egalement ,10,5973,65,30,388245,59730,,
sans ,5,5962,30,15,178860,29810,,
nord ,5,5949,36,15,214164,29745,,
sud ,4,5944,27,12,160488,23776,,
souvent ,8,5906,55,24,324830,47248,,
francais ,9,5880,52,27,305760,52920,,
