word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,
de  ,4,369294,63,4,23265522,1477176,,
la  ,4,231160,67,4,15487720,924640,,
le ,3,201192,44,3,8852448,603576,,
les ,4,172027,63,4,10837701,688108,,
et ,3,162818,52,3,8466536,488454,,"15,2462381579301"
a ,2,142169,28,2,3980732,284338,,
est ,4,139273,71,4,9888383,557092,,
en ,3,131424,46,3,6045504,394272,,
des ,4,128016,55,4,7040880,512064,,
d ,2,106690,31,2,3307390,213380,,
un ,3,98321,62,3,6095902,294963,,
il ,3,86530,48,3,4153440,259590,,
du ,3,81566,52,3,4241432,244698,,
une ,4,77779,67,4,5211193,311116,,
qui ,4,63007,74,4,4662518,252028,,
dans ,5,62106,65,5,4036890,310530,,
pour ,5,59206,97,5,5742982,296030,,
par ,4,55637,62,4,3449494,222548,,
au ,3,46340,49,3,2270660,139020,,
que ,4,45724,70,4,3200680,182896,,
plus ,5,41215,95,5,3915425,206075,,
sont ,5,40154,95,5,3814630,200770,,
se ,3,35559,51,3,1813509,106677,,
c ,2,34853,30,2,1045590,69706,,
sur ,4,34442,85,4,2927570,137768,,
ou ,3,31878,63,3,2008314,95634,,
on ,3,30509,56,3,1708504,91527,,
son ,4,30237,75,4,2267775,120948,,
pas ,4,29643,63,4,1867509,118572,,
ce ,3,29011,35,3,1015385,87033,,
s ,2,28036,46,2,1289656,56072,,
elle ,5,27267,61,5,1663287,136335,,
avec ,5,26472,58,5,1535376,132360,,
qu ,3,25763,65,3,1674595,77289,,
mais ,5,25550,69,5,1762950,127750,,
ne ,3,24536,46,3,1128656,73608,,
comme ,6,22075,76,6,1677700,132450,,
n ,2,21546,41,2,883386,43092,,
sa ,3,18696,47,3,878712,56088,,
ils ,4,17444,67,4,1168748,69776,,
ont ,4,17423,76,4,1324148,69692,,
ete ,4,17041,57,4,971337,68164,,
y ,2,16352,52,2,850304,32704,,
aux ,4,16302,73,4,1190046,65208,,
tres ,5,16228,89,5,1444292,81140,,
aussi ,6,15694,96,6,1506624,94164,,
ses ,4,15661,70,4,1096270,62644,,
cette ,6,15351,80,6,1228080,92106,,
fait ,5,14532,63,5,915516,72660,,
peut ,5,13949,89,5,1241461,69745,,
leur ,5,13586,83,5,1127638,67930,,
deux ,5,13274,81,5,1075194,66370,,
etre ,5,13146,75,5,985950,65730,,
meme ,5,12315,63,5,775845,61575,,
etait ,6,11616,82,6,952512,69696,,
entre ,6,11581,89,6,1030709,69486,,
je ,3,11517,42,3,483714,34551,,
france ,7,10672,74,7,789728,74704,,
apres ,6,10577,86,6,909622,63462,,
autres ,7,10414,111,7,1155954,72898,,
pays ,5,10308,88,5,907104,51540,,
ces ,4,10300,54,4,556200,41200,,
ans ,4,10179,61,4,620919,40716,,
lui ,4,10160,69,4,701040,40640,,
o ,2,9817,42,2,412314,19634,,
alors ,6,9631,92,6,886052,57786,,
faire ,6,9379,66,6,619014,56274,,
si ,3,9322,55,3,512710,27966,,
tout ,5,9271,103,5,954913,46355,,
j ,2,9028,37,2,334036,18056,,
bien ,5,8969,57,5,511233,44845,,
donc ,5,8648,63,5,544824,43240,,
ville ,6,8242,87,6,717054,49452,,
sous ,5,8064,101,5,814464,40320,,
monde ,6,7979,78,6,622362,47874,,
roi ,4,7628,69,4,526332,30512,,
nom ,4,7508,69,4,518052,30032,,
guerre ,7,7165,101,7,723665,50155,,
siecle ,7,7152,80,7,572160,50064,,
tous ,5,7150,102,5,729300,35750,,
partie ,7,7136,96,7,685056,49952,,
plusieurs ,10,6946,167,10,1159982,69460,,
depuis ,7,6924,101,7,699324,48468,,
dont ,5,6896,80,5,551680,34480,,
contre ,7,6824,102,7,696048,47768,,
beaucoup ,9,6674,111,9,740814,60066,,
ainsi ,6,6582,79,6,519978,39492,,
leurs ,6,6562,102,6,669324,39372,,
pendant ,8,6537,101,8,660237,52296,,
puis ,5,6508,92,5,598736,32540,,
grand ,6,6287,71,6,446377,37722,,
car ,4,6265,49,4,306985,25060,,
peu ,4,6180,69,4,426420,24720,,
avoir ,6,6113,92,6,562396,36678,,
grande ,7,6074,76,7,461624,42518,,
t ,2,6042,47,2,283974,12084,,
tu ,3,5996,68,3,407728,17988,,
egalement ,10,5973,109,10,651057,59730,,
