word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,
de  ,4,369294,27,12,9970938,1477176,,
la  ,4,231160,27,12,6241320,924640,,
le ,3,201192,20,9,4023840,603576,,"6,38701103594878"
les ,4,172027,25,12,4300675,688108,,
et ,3,162818,20,9,3256360,488454,,
a ,2,142169,12,6,1706028,284338,,
est ,4,139273,25,12,3481825,557092,,
en ,3,131424,20,9,2628480,394272,,
des ,4,128016,23,12,2944368,512064,,
d ,2,106690,13,6,1386970,213380,,
un ,3,98321,22,9,2163062,294963,,
il ,3,86530,22,9,1903660,259590,,
du ,3,81566,20,9,1631320,244698,,
une ,4,77779,27,12,2100033,311116,,
qui ,4,63007,30,12,1890210,252028,,
dans ,5,62106,27,15,1676862,310530,,
pour ,5,59206,37,15,2190622,296030,,
par ,4,55637,26,12,1446562,222548,,
au ,3,46340,19,9,880460,139020,,
que ,4,45724,28,12,1280272,182896,,
plus ,5,41215,33,15,1360095,206075,,
sont ,5,40154,33,15,1325082,200770,,
se ,3,35559,19,9,675621,106677,,
c ,2,34853,14,6,487942,69706,,
sur ,4,34442,29,12,998818,137768,,
ou ,3,31878,23,9,733194,95634,,
on ,3,30509,22,9,671198,91527,,
son ,4,30237,27,12,816399,120948,,
pas ,4,29643,23,12,681789,118572,,
ce ,3,29011,19,9,551209,87033,,
s ,2,28036,14,6,392504,56072,,
elle ,5,27267,31,15,845277,136335,,
avec ,5,26472,28,15,741216,132360,,
qu ,3,25763,23,9,592549,77289,,
mais ,5,25550,29,15,740950,127750,,
ne ,3,24536,20,9,490720,73608,,
comme ,6,22075,36,18,794700,132450,,
n ,2,21546,15,6,323190,43092,,
sa ,3,18696,17,9,317832,56088,,
ils ,4,17444,27,12,470988,69776,,
ont ,4,17423,28,12,487844,69692,,
ete ,4,17041,25,12,426025,68164,,
y ,2,16352,16,6,261632,32704,,
aux ,4,16302,27,12,440154,65208,,
tres ,5,16228,33,15,535524,81140,,
aussi ,6,15694,36,18,564984,94164,,
ses ,4,15661,24,12,375864,62644,,
cette ,6,15351,36,18,552636,92106,,
fait ,5,14532,31,15,450492,72660,,
peut ,5,13949,33,15,460317,69745,,
leur ,5,13586,35,15,475510,67930,,
deux ,5,13274,33,15,438042,66370,,
etre ,5,13146,33,15,433818,65730,,
meme ,5,12315,29,15,357135,61575,,
etait ,6,11616,36,18,418176,69696,,
entre ,6,11581,39,18,451659,69486,,
je ,3,11517,18,9,207306,34551,,
france ,7,10672,42,21,448224,74704,,
apres ,6,10577,36,18,380772,63462,,
autres ,7,10414,43,21,447802,72898,,
pays ,5,10308,30,15,309240,51540,,
ces ,4,10300,24,12,247200,41200,,
ans ,4,10179,23,12,234117,40716,,
lui ,4,10160,29,12,294640,40640,,
o ,2,9817,16,6,157072,19634,,
alors ,6,9631,38,18,365978,57786,,
faire ,6,9379,38,18,356402,56274,,
si ,3,9322,21,9,195762,27966,,
tout ,5,9271,35,15,324485,46355,,
j ,2,9028,13,6,117364,18056,,
bien ,5,8969,31,15,278039,44845,,
donc ,5,8648,31,15,268088,43240,,
ville ,6,8242,39,18,321438,49452,,
sous ,5,8064,33,15,266112,40320,,
monde ,6,7979,36,18,287244,47874,,
roi ,4,7628,31,12,236468,30512,,
