word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
de;2;369294;11;4;4062234;738588;;
la;2;231160;9;4;2080440;462320;;
le;2;201192;13;4;2615496;402384;;
les;3;172027;18;6;3096486;516081;;
et;2;162818;12;4;1953816;325636;;
a;1;142169;2;2;284338;142169;;5,51427137
est;3;139273;17;6;2367641;417819;;
en;2;131424;10;4;1314240;262848;;
des;3;128016;16;6;2048256;384048;;
d;1;106690;5;2;533450;106690;;
un;2;98321;11;4;1081531;196642;;
il;2;86530;11;4;951830;173060;;
du;2;81566;12;4;978792;163132;;
une;3;77779;17;6;1322243;233337;;
qui;3;63007;18;6;1134126;189021;;
dans;4;62106;16;8;993696;248424;;
pour;4;59206;26;8;1539356;236824;;
par;3;55637;16;6;890192;166911;;
au;2;46340;9;4;417060;92680;;
que;3;45724;20;6;914480;137172;;
plus;4;41215;25;8;1030375;164860;;
sont;4;40154;20;8;803080;160616;;
se;2;35559;11;4;391149;71118;;
c;1;34853;4;2;139412;34853;;
sur;3;34442;20;6;688840;103326;;
ou;2;31878;12;4;382536;63756;;
on;2;30509;9;4;274581;61018;;
son;3;30237;14;6;423318;90711;;
pas;3;29643;13;6;385359;88929;;
ce;2;29011;10;4;290110;58022;;
s;1;28036;5;2;140180;28036;;
elle;4;27267;26;8;708942;109068;;
avec;4;26472;20;8;529440;105888;;
qu;2;25763;14;4;360682;51526;;
mais;4;25550;19;8;485450;102200;;
ne;2;24536;10;4;245360;49072;;
comme;5;22075;31;10;684325;110375;;
n;1;21546;4;2;86184;21546;;
sa;2;18696;7;4;130872;37392;;
ils;3;17444;16;6;279104;52332;;
ont;3;17423;15;6;261345;52269;;
ete;3;17041;18;6;306738;51123;;
y;1;16352;8;2;130816;16352;;
aux;3;16302;16;6;260832;48906;;
tres;4;16228;25;8;405700;64912;;
aussi;5;15694;23;10;360962;78470;;
ses;3;15661;16;6;250576;46983;;
cette;5;15351;28;10;429828;76755;;
fait;4;14532;19;8;276108;58128;;
peut;4;13949;25;8;348725;55796;;
leur;4;13586;28;8;380408;54344;;
deux;4;13274;25;8;331850;53096;;
etre;4;13146;26;8;341796;52584;;
meme;4;12315;28;8;344820;49260;;
etait;5;11616;24;10;278784;58080;;
entre;5;11581;30;10;347430;57905;;
je;2;11517;11;4;126687;23034;;
france;6;10672;31;12;330832;64032;;
apres;5;10577;27;10;285579;52885;;
autres;6;10414;34;12;354076;62484;;
pays;4;10308;21;8;216468;41232;;
ces;3;10300;15;6;154500;30900;;
ans;3;10179;11;6;111969;30537;;
lui;3;10160;18;6;182880;30480;;
o;1;9817;5;2;49085;9817;;
alors;5;9631;27;10;260037;48155;;
faire;5;9379;27;10;253233;46895;;
si;2;9322;9;4;83898;18644;;
tout;4;9271;24;8;222504;37084;;
j;1;9028;5;2;45140;9028;;
bien;4;8969;17;8;152473;35876;;
donc;4;8648;18;8;155664;34592;;
ville;5;8242;32;10;263744;41210;;
sous;4;8064;22;8;177408;32256;;
monde;5;7979;28;10;223412;39895;;
roi;3;7628;17;6;129676;22884;;
nom;3;7508;17;6;127636;22524;;
guerre;6;7165;43;12;308095;42990;;
siecle;6;7152;32;12;228864;42912;;
tous;4;7150;23;8;164450;28600;;
partie;6;7136;32;12;228352;42816;;
plusieurs;9;6946;55;18;382030;62514;;
depuis;6;6924;33;12;228492;41544;;
dont;4;6896;20;8;137920;27584;;
contre;6;6824;33;12;225192;40944;;
beaucoup;8;6674;40;16;266960;53392;;
ainsi;5;6582;19;10;125058;32910;;
leurs;5;6562;33;10;216546;32810;;
pendant;7;6537;33;14;215721;45759;;
puis;4;6508;22;8;143176;26032;;
grand;5;6287;27;10;169749;31435;;
car;3;6265;14;6;87710;18795;;
peu;3;6180;19;6;117420;18540;;
avoir;5;6113;27;10;165051;30565;;
grande;6;6074;33;12;200442;36444;;
t;1;6042;6;2;36252;6042;;
tu;2;5996;13;4;77948;11992;;
egalement;9;5973;53;18;316569;53757;;
sans;4;5962;16;8;95392;23848;;
nord;4;5949;22;8;130878;23796;;
sud;3;5944;17;6;101048;17832;;
souvent;7;5906;41;14;242146;41342;;
francais;8;5880;36;16;211680;47040;;
avant;5;5756;22;10;126632;28780;;
exemple;7;5715;46;14;262890;40005;;
cela;4;5619;19;8;106761;22476;;
encore;6;5618;33;12;185394;33708;;
jusqu;5;5599;31;10;173569;27995;;
fois;4;5568;21;8;116928;22272;;
temps;5;5539;31;10;171709;27695;;
eau;3;5501;15;6;82515;16503;;
premier;7;5399;46;14;248354;37793;;
elles;5;5315;31;10;164765;26575;;
nous;4;5290;21;8;111090;21160;;
vers;4;5257;27;8;141939;21028;;
dire;4;5243;23;8;120589;20972;;
autre;5;5155;29;10;149495;25775;;
vie;3;5033;18;6;90594;15099;;
mort;4;5033;27;8;135891;20132;;
trois;5;4965;28;10;139020;24825;;
avait;5;4938;22;10;108636;24690;;
m;1;4929;8;2;39432;4929;;
premiere;8;4885;52;16;254020;39080;;
moins;5;4855;26;10;126230;24275;;
certains;8;4815;39;16;187785;38520;;
annees;6;4804;27;12;129708;28824;;
cet;3;4792;16;6;76672;14376;;
peuvent;7;4739;43;14;203777;33173;;
paris;5;4580;25;10;114500;22900;;
fin;3;4441;15;6;66615;13323;;
quand;5;4420;25;10;110500;22100;;
personnes;9;4306;49;18;210994;38754;;
vous;4;4254;25;8;106350;17016;;
etaient;7;4244;34;14;144296;29708;;
lieu;4;4206;24;8;100944;16824;;
ai;2;4152;6;4;24912;8304;;
doit;4;4141;20;8;82820;16564;;
terre;5;4134;34;10;140556;20670;;
trouve;6;4133;40;12;165320;24798;;
etat;4;4129;20;8;82580;16516;;
e;1;4058;6;2;24348;4058;;
faut;4;4051;22;8;89122;16204;;
nombreux;8;4048;48;16;194304;32384;;
soit;4;4037;20;8;80740;16148;;
vikidia;7;4014;33;14;132462;28098;;
quelques;8;4005;52;16;208260;32040;;
chaque;6;4001;29;12;116029;24006;;
annee;5;3983;22;10;87626;19915;;
europe;6;3982;38;12;151316;23892;;
environ;7;3972;39;14;154908;27804;;
non;3;3971;13;6;51623;11913;;
devient;7;3965;39;14;154635;27755;;
fut;3;3909;20;6;78180;11727;;
saint;5;3907;21;10;82047;19535;;
enfants;7;3894;34;14;132396;27258;;
existe;6;3881;34;12;131954;23286;;
etats;5;3856;25;10;96400;19280;;
celui;5;3828;28;10;107184;19140;;
selon;5;3821;27;10;103167;19105;;
cas;3;3800;11;6;41800;11400;;
ci;2;3762;8;4;30096;7524;;
pouvoir;7;3692;43;14;158756;25844;;
famille;7;3687;41;14;151167;25809;;
forme;5;3674;34;10;124916;18370;;
lors;4;3644;25;8;91100;14576;;
fils;4;3609;23;8;83007;14436;;
va;2;3583;10;4;35830;7166;;
empire;6;3559;38;12;135242;21354;;
place;5;3539;25;10;88475;17695;;
nombre;6;3534;34;12;120156;21204;;
partir;6;3507;34;12;119238;21042;;
francaise;9;3506;42;18;147252;31554;;
hui;3;3495;14;6;48930;10485;;
aujourd;7;3487;39;14;135993;24409;;
permet;6;3471;40;12;138840;20826;;
histoire;8;3413;41;16;139933;27304;;
toutes;6;3380;35;12;118300;20280;;
