word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
de;2;369294;7;4;2585058;738588;;
la;2;231160;6;4;1386960;462320;;
le;2;201192;5;4;1005960;402384;;
les;3;172027;10;6;1720270;516081;;
et;2;162818;9;4;1465362;325636;;
a;1;142169;6;2;853014;142169;;
est;3;139273;13;6;1810549;417819;;
en;2;131424;7;4;919968;262848;;3,949575953
des;3;128016;9;6;1152144;384048;;
d;1;106690;2;2;213380;106690;;
un;2;98321;10;4;983210;196642;;
il;2;86530;8;4;692240;173060;;
du;2;81566;7;4;570962;163132;;
une;3;77779;12;6;933348;233337;;
qui;3;63007;13;6;819091;189021;;
dans;4;62106;14;8;869484;248424;;
pour;4;59206;18;8;1065708;236824;;
par;3;55637;10;6;556370;166911;;
au;2;46340;12;4;556080;92680;;
que;3;45724;12;6;548688;137172;;
plus;4;41215;17;8;700655;164860;;
sont;4;40154;19;8;762926;160616;;
se;2;35559;8;4;284472;71118;;
c;1;34853;4;2;139412;34853;;
sur;3;34442;17;6;585514;103326;;
ou;2;31878;11;4;350658;63756;;
on;2;30509;10;4;305090;61018;;
son;3;30237;14;6;423318;90711;;
pas;3;29643;11;6;326073;88929;;
ce;2;29011;6;4;174066;58022;;
s;1;28036;6;2;168216;28036;;
elle;4;27267;12;8;327204;109068;;
avec;4;26472;19;8;502968;105888;;
qu;2;25763;10;4;257630;51526;;
mais;4;25550;15;8;383250;102200;;
ne;2;24536;9;4;220824;49072;;
comme;5;22075;16;10;353200;110375;;
n;1;21546;7;2;150822;21546;;
sa;2;18696;9;4;168264;37392;;
ils;3;17444;13;6;226772;52332;;
ont;3;17423;15;6;261345;52269;;
ete;3;17041;12;6;204492;51123;;
y;1;16352;6;2;98112;16352;;
aux;3;16302;18;6;293436;48906;;
tres;4;16228;18;8;292104;64912;;
aussi;5;15694;26;10;408044;78470;;
ses;3;15661;13;6;203593;46983;;
cette;5;15351;19;10;291669;76755;;
fait;4;14532;15;8;217980;58128;;
peut;4;13949;17;8;237133;55796;;
leur;4;13586;15;8;203790;54344;;
deux;4;13274;16;8;212384;53096;;
etre;4;13146;16;8;210336;52584;;
meme;4;12315;12;8;147780;49260;;
etait;5;11616;19;10;220704;58080;;
entre;5;11581;18;10;208458;57905;;
je;2;11517;8;4;92136;23034;;
france;6;10672;19;12;202768;64032;;
apres;5;10577;24;10;253848;52885;;
autres;6;10414;28;12;291592;62484;;
pays;4;10308;17;8;175236;41232;;
ces;3;10300;11;6;113300;30900;;
ans;3;10179;16;6;162864;30537;;
lui;3;10160;11;6;111760;30480;;
o;1;9817;6;2;58902;9817;;
alors;5;9631;23;10;221513;48155;;
faire;5;9379;16;10;150064;46895;;
si;2;9322;9;4;83898;18644;;
tout;4;9271;22;8;203962;37084;;
j;1;9028;6;2;54168;9028;;
bien;4;8969;18;8;161442;35876;;
donc;4;8648;12;8;103776;34592;;
ville;5;8242;19;10;156598;41210;;
sous;4;8064;20;8;161280;32256;;
monde;5;7979;16;10;127664;39895;;
roi;3;7628;15;6;114420;22884;;
nom;3;7508;14;6;105112;22524;;
guerre;6;7165;24;12;171960;42990;;
siecle;6;7152;24;12;171648;42912;;
tous;4;7150;23;8;164450;28600;;
partie;6;7136;21;12;149856;42816;;
plusieurs;9;6946;36;18;250056;62514;;
depuis;6;6924;23;12;159252;41544;;
dont;4;6896;15;8;103440;27584;;
contre;6;6824;23;12;156952;40944;;
beaucoup;8;6674;33;16;220242;53392;;
ainsi;5;6582;22;10;144804;32910;;
leurs;5;6562;20;10;131240;32810;;
pendant;7;6537;25;14;163425;45759;;
puis;4;6508;17;8;110636;26032;;
grand;5;6287;19;10;119453;31435;;
car;3;6265;11;6;68915;18795;;
peu;3;6180;12;6;74160;18540;;
avoir;5;6113;25;10;152825;30565;;
grande;6;6074;21;12;127554;36444;;
t;1;6042;7;2;42294;6042;;
tu;2;5996;14;4;83944;11992;;
egalement;9;5973;31;18;185163;53757;;
sans;4;5962;19;8;113278;23848;;
nord;4;5949;18;8;107082;23796;;
sud;3;5944;16;6;95104;17832;;
souvent;7;5906;34;14;200804;41342;;
francais;8;5880;29;16;170520;47040;;
avant;5;5756;25;10;143900;28780;;
exemple;7;5715;23;14;131445;40005;;
cela;4;5619;11;8;61809;22476;;
encore;6;5618;19;12;106742;33708;;
jusqu;5;5599;25;10;139975;27995;;
fois;4;5568;18;8;100224;22272;;
temps;5;5539;21;10;116319;27695;;
eau;3;5501;11;6;60511;16503;;
premier;7;5399;22;14;118778;37793;;
elles;5;5315;17;10;90355;26575;;
nous;4;5290;21;8;111090;21160;;
vers;4;5257;19;8;99883;21028;;
dire;4;5243;11;8;57673;20972;;
autre;5;5155;23;10;118565;25775;;
vie;3;5033;13;6;65429;15099;;
mort;4;5033;18;8;90594;20132;;
trois;5;4965;23;10;114195;24825;;
avait;5;4938;24;10;118512;24690;;
m;1;4929;4;2;19716;4929;;
premiere;8;4885;24;16;117240;39080;;
moins;5;4855;20;10;97100;24275;;
certains;8;4815;29;16;139635;38520;;
annees;6;4804;29;12;139316;28824;;
cet;3;4792;12;6;57504;14376;;
peuvent;7;4739;29;14;137431;33173;;
paris;5;4580;18;10;82440;22900;;
fin;3;4441;12;6;53292;13323;;
quand;5;4420;19;10;83980;22100;;
personnes;9;4306;35;18;150710;38754;;
vous;4;4254;22;8;93588;17016;;
etaient;7;4244;25;14;106100;29708;;
lieu;4;4206;13;8;54678;16824;;
ai;2;4152;9;4;37368;8304;;
doit;4;4141;14;8;57974;16564;;
terre;5;4134;20;10;82680;20670;;
trouve;6;4133;27;12;111591;24798;;
etat;4;4129;16;8;66064;16516;;
e;1;4058;3;2;12174;4058;;
faut;4;4051;17;8;68867;16204;;
nombreux;8;4048;33;16;133584;32384;;
soit;4;4037;18;8;72666;16148;;
vikidia;7;4014;28;14;112392;28098;;
quelques;8;4005;31;16;124155;32040;;
chaque;6;4001;23;12;92023;24006;;
annee;5;3983;23;10;91609;19915;;
europe;6;3982;24;12;95568;23892;;
environ;7;3972;30;14;119160;27804;;
non;3;3971;15;6;59565;11913;;
devient;7;3965;25;14;99125;27755;;
fut;3;3909;16;6;62544;11727;;
saint;5;3907;22;10;85954;19535;;
enfants;7;3894;28;14;109032;27258;;
existe;6;3881;24;12;93144;23286;;
etats;5;3856;21;10;80976;19280;;
celui;5;3828;17;10;65076;19140;;
selon;5;3821;21;10;80241;19105;;
cas;3;3800;13;6;49400;11400;;
