word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
my;2;23;16;4;368;46;;
watch;5;3;21;10;63;15;;
fell;4;1;27;8;27;4;;
in;2;34;8;4;272;68;;
the;3;189;15;6;2835;567;;5,405240102
water;5;7;28;10;196;35;;
prevailing;10;1;57;20;57;10;;
wind;4;2;19;8;38;8;;
from;4;5;28;8;140;20;;
east;4;2;19;8;38;8;;
never;5;9;32;10;288;45;;
too;3;15;16;6;240;45;;
rich;4;1;19;8;19;4;;
and;3;20;11;6;220;60;;
thin;4;1;17;8;17;4;;
breathing;9;1;44;18;44;9;;
is;2;85;9;4;765;170;;
difficult;9;3;51;18;153;27;;
i;1;26;4;2;104;26;;
can;3;9;10;6;90;27;;
see;3;5;17;6;85;15;;
rings;5;1;29;10;29;5;;
on;2;17;9;4;153;34;;
saturn;6;1;32;12;32;6;;
physics;7;1;35;14;35;7;;
chemistry;9;1;52;18;52;9;;
are;3;36;16;6;576;108;;
hard;4;4;18;8;72;16;;
bank;4;2;15;8;30;8;;
account;7;1;32;14;32;7;;
overdrawn;9;1;52;18;52;9;;
elections;9;1;47;18;47;9;;
bring;5;2;27;10;54;10;;
out;3;11;18;6;198;33;;
best;4;2;20;8;40;8;;
we;2;15;12;4;180;30;;
having;6;1;29;12;29;6;;
spaghetti;9;1;46;18;46;9;;
time;4;6;24;8;144;24;;
to;2;57;11;4;627;114;;
go;2;6;13;4;78;12;;
shopping;8;2;41;16;82;16;;
a;1;108;2;2;216;108;;
problem;7;1;43;14;43;7;;
with;4;17;19;8;323;68;;
engine;6;1;32;12;32;6;;
elephants;9;1;45;18;45;9;;
afraid;6;1;28;12;28;6;;
of;2;54;12;4;648;108;;
mice;4;1;22;8;22;4;;
favorite;8;4;46;16;184;32;;
place;5;2;25;10;50;10;;
visit;5;2;27;10;54;10;;
three;5;3;29;10;87;15;;
two;3;3;17;6;51;9;;
one;3;9;15;6;135;27;;
zero;4;2;26;8;52;8;;
