word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
de;2;369294;13;4;4800822;738588;;
la;2;231160;11;4;2542760;462320;;
le;2;201192;15;4;3017880;402384;;
les;3;172027;21;6;3612567;516081;;
et;2;162818;14;4;2279452;325636;;
a;1;142169;3;2;426507;142169;;
est;3;139273;20;6;2785460;417819;;
en;2;131424;12;4;1577088;262848;;
des;3;128016;19;6;2432304;384048;;6,050593771
d;1;106690;6;2;640140;106690;;
un;2;98321;13;4;1278173;196642;;
il;2;86530;13;4;1124890;173060;;
du;2;81566;14;4;1141924;163132;;
une;3;77779;20;6;1555580;233337;;
qui;3;63007;21;6;1323147;189021;;
dans;4;62106;20;8;1242120;248424;;
pour;4;59206;26;8;1539356;236824;;
par;3;55637;15;6;834555;166911;;
au;2;46340;11;4;509740;92680;;
que;3;45724;23;6;1051652;137172;;
plus;4;41215;29;8;1195235;164860;;
sont;4;40154;24;8;963696;160616;;
se;2;35559;13;4;462267;71118;;
c;1;34853;5;2;174265;34853;;
sur;3;34442;19;6;654398;103326;;
ou;2;31878;14;4;446292;63756;;
on;2;30509;11;4;335599;61018;;
son;3;30237;17;6;514029;90711;;
pas;3;29643;16;6;474288;88929;;
ce;2;29011;12;4;348132;58022;;
s;1;28036;6;2;168216;28036;;
elle;4;27267;30;8;818010;109068;;
avec;4;26472;21;8;555912;105888;;
qu;2;25763;16;4;412208;51526;;
mais;4;25550;18;8;459900;102200;;
ne;2;24536;12;4;294432;49072;;
comme;5;22075;26;10;573950;110375;;
n;1;21546;5;2;107730;21546;;
sa;2;18696;9;4;168264;37392;;
ils;3;17444;19;6;331436;52332;;
ont;3;17423;18;6;313614;52269;;
ete;3;17041;21;6;357861;51123;;
y;1;16352;7;2;114464;16352;;
aux;3;16302;19;6;309738;48906;;
tres;4;16228;25;8;405700;64912;;
aussi;5;15694;28;10;439432;78470;;
ses;3;15661;19;6;297559;46983;;
cette;5;15351;33;10;506583;76755;;
fait;4;14532;23;8;334236;58128;;
peut;4;13949;29;8;404521;55796;;
leur;4;13586;28;8;380408;54344;;
deux;4;13274;29;8;384946;53096;;
etre;4;13146;26;8;341796;52584;;
meme;4;12315;22;8;270930;49260;;
etait;5;11616;29;10;336864;58080;;
entre;5;11581;31;10;359011;57905;;
je;2;11517;13;4;149721;23034;;
france;6;10672;33;12;352176;64032;;
apres;5;10577;28;10;296156;52885;;
autres;6;10414;36;12;374904;62484;;
pays;4;10308;23;8;237084;41232;;
ces;3;10300;18;6;185400;30900;;
ans;3;10179;14;6;142506;30537;;
lui;3;10160;21;6;213360;30480;;
o;1;9817;6;2;58902;9817;;
alors;5;9631;28;10;269668;48155;;
faire;5;9379;28;10;262612;46895;;
si;2;9322;11;4;102542;18644;;
tout;4;9271;28;8;259588;37084;;
j;1;9028;6;2;54168;9028;;
bien;4;8969;21;8;188349;35876;;
donc;4;8648;22;8;190256;34592;;
ville;5;8242;34;10;280228;41210;;
sous;4;8064;26;8;209664;32256;;
monde;5;7979;28;10;223412;39895;;
roi;3;7628;16;6;122048;22884;;
nom;3;7508;15;6;112620;22524;;
guerre;6;7165;35;12;250775;42990;;
siecle;6;7152;38;12;271776;42912;;
tous;4;7150;27;8;193050;28600;;
partie;6;7136;34;12;242624;42816;;
plusieurs;9;6946;60;18;416760;62514;;
depuis;6;6924;39;12;270036;41544;;
dont;4;6896;24;8;165504;27584;;
contre;6;6824;35;12;238840;40944;;
beaucoup;8;6674;48;16;320352;53392;;
ainsi;5;6582;24;10;157968;32910;;
leurs;5;6562;34;10;223108;32810;;
pendant;7;6537;40;14;261480;45759;;
puis;4;6508;26;8;169208;26032;;
grand;5;6287;22;10;138314;31435;;
car;3;6265;13;6;81445;18795;;
peu;3;6180;22;6;135960;18540;;
avoir;5;6113;25;10;152825;30565;;
grande;6;6074;29;12;176146;36444;;
t;1;6042;7;2;42294;6042;;
tu;2;5996;15;4;89940;11992;;
egalement;9;5973;51;18;304623;53757;;
sans;4;5962;20;8;119240;23848;;
nord;4;5949;22;8;130878;23796;;
sud;3;5944;20;6;118880;17832;;
souvent;7;5906;45;14;265770;41342;;
francais;8;5880;40;16;235200;47040;;
avant;5;5756;24;10;138144;28780;;
exemple;7;5715;48;14;274320;40005;;
cela;4;5619;23;8;129237;22476;;
encore;6;5618;35;12;196630;33708;;
jusqu;5;5599;36;10;201564;27995;;
fois;4;5568;25;8;139200;22272;;
temps;5;5539;31;10;171709;27695;;
eau;3;5501;18;6;99018;16503;;
premier;7;5399;40;14;215960;37793;;
elles;5;5315;36;10;191340;26575;;
nous;4;5290;25;8;132250;21160;;
vers;4;5257;24;8;126168;21028;;
dire;4;5243;23;8;120589;20972;;
autre;5;5155;30;10;154650;25775;;
vie;3;5033;18;6;90594;15099;;
mort;4;5033;22;8;110726;20132;;
trois;5;4965;29;10;143985;24825;;
avait;5;4938;24;10;118512;24690;;
m;1;4929;4;2;19716;4929;;
premiere;8;4885;47;16;229595;39080;;
moins;5;4855;26;10;126230;24275;;
certains;8;4815;43;16;207045;38520;;
annees;6;4804;33;12;158532;28824;;
cet;3;4792;19;6;91048;14376;;
peuvent;7;4739;47;14;222733;33173;;
paris;5;4580;26;10;119080;22900;;
fin;3;4441;18;6;79938;13323;;
quand;5;4420;30;10;132600;22100;;
personnes;9;4306;54;18;232524;38754;;
vous;4;4254;26;8;110604;17016;;
etaient;7;4244;41;14;174004;29708;;
lieu;4;4206;28;8;117768;16824;;
ai;2;4152;8;4;33216;8304;;
doit;4;4141;24;8;99384;16564;;
terre;5;4134;31;10;128154;20670;;
trouve;6;4133;39;12;161187;24798;;
etat;4;4129;24;8;99096;16516;;
e;1;4058;7;2;28406;4058;;
faut;4;4051;26;8;105326;16204;;
nombreux;8;4048;47;16;190256;32384;;
soit;4;4037;24;8;96888;16148;;
vikidia;7;4014;37;14;148518;28098;;
quelques;8;4005;60;16;240300;32040;;
chaque;6;4001;35;12;140035;24006;;
annee;5;3983;27;10;107541;19915;;
europe;6;3982;40;12;159280;23892;;
environ;7;3972;39;14;154908;27804;;
non;3;3971;16;6;63536;11913;;
devient;7;3965;43;14;170495;27755;;
fut;3;3909;23;6;89907;11727;;
saint;5;3907;26;10;101582;19535;;
enfants;7;3894;41;14;159654;27258;;
existe;6;3881;40;12;155240;23286;;
etats;5;3856;30;10;115680;19280;;
celui;5;3828;33;10;126324;19140;;
selon;5;3821;32;10;122272;19105;;
cas;3;3800;14;6;53200;11400;;
ci;2;3762;10;4;37620;7524;;
pouvoir;7;3692;43;14;158756;25844;;
famille;7;3687;43;14;158541;25809;;
forme;5;3674;30;10;110220;18370;;
lors;4;3644;25;8;91100;14576;;
fils;4;3609;27;8;97443;14436;;
va;2;3583;9;4;32247;7166;;
empire;6;3559;35;12;124565;21354;;
place;5;3539;30;10;106170;17695;;
nombre;6;3534;31;12;109554;21204;;
partir;6;3507;32;12;112224;21042;;
francaise;9;3506;47;18;164782;31554;;
hui;3;3495;17;6;59415;10485;;
aujourd;7;3487;42;14;146454;24409;;
permet;6;3471;37;12;128427;20826;;
histoire;8;3413;45;16;153585;27304;;
toutes;6;3380;41;12;138580;20280;;
notamment;9;3369;48;18;161712;30321;;
mer;3;3366;16;6;53856;10098;;
royaume;7;3360;40;14;134400;23520;;
jours;5;3343;31;10;103633;16715;;
grace;5;3343;23;10;76889;16715;;
habitants;9;3290;44;18;144760;29610;;
cours;5;3260;30;10;97800;16300;;
jour;4;3258;25;8;81450;13032;;
me;2;3237;11;4;35607;6474;;
homme;5;3232;25;10;80800;16160;;
armee;5;3220;26;10;83720;16100;;
toujours;8;3200;52;16;166400;25600;;
petit;5;3191;33;10;105303;15955;;
region;6;3179;31;12;98549;19074;;
unis;4;3165;24;8;75960;12660;;
celle;5;3159;35;10;110565;15795;;
discussion;10;3156;58;20;183048;31560;;
pres;4;3147;25;8;78675;12588;;
h;1;3115;4;2;12460;3115;;
sera;4;3114;21;8;65394;12456;;
politique;9;3111;61;18;189771;27999;;
km;2;3101;11;4;34111;6202;;
surtout;7;3087;47;14;145089;21609;;
ne;2;3058;12;4;36696;6116;;
epoque;6;3047;43;12;131021;18282;;
effet;5;3043;37;10;112591;15215;;
gouvernement;12;3037;70;24;212590;36444;;
animaux;7;3033;36;14;109188;21231;;
debut;5;3019;32;10;96608;15095;;
cependant;9;3018;52;18;156936;27162;;
ouest;5;2997;34;10;101898;14985;;
mars;4;2986;18;8;53748;11944;;
age;3;2958;13;6;38454;8874;;
louis;5;2947;33;10;97251;14735;;
mai;3;2914;12;6;34968;8742;;
toute;5;2905;35;10;101675;14525;;
afin;4;2886;21;8;60606;11544;;
population;10;2880;62;20;178560;28800;;
compte;6;2868;36;12;103248;17208;;
pere;4;2868;26;8;74568;11472;;
te;2;2851;14;4;39914;5702;;
juin;4;2850;24;8;68400;11400;;
hommes;6;2849;31;12;88319;17094;;
eux;3;2837;23;6;65251;8511;;
president;9;2820;55;18;155100;25380;;
voir;4;2805;22;8;61710;11220;;
mois;4;2804;21;8;58884;11216;;
suite;5;2791;33;10;92103;13955;;
nombreuses;10;2788;58;20;161704;27880;;
nouveau;7;2785;43;14;119755;19495;;
corps;5;2756;29;10;79924;13780;;
parfois;7;2751;40;14;110040;19257;;
octobre;7;2732;40;14;109280;19124;;
ile;3;2730;20;6;54600;8190;;
cest;4;2727;25;8;68175;10908;;
ceux;4;2718;28;8;76104;10872;;
millions;8;2717;47;16;127699;21736;;
groupe;6;2712;36;12;97632;16272;;
republique;10;2712;67;20;181704;27120;;
pourquoi;8;2711;53;16;143683;21688;;
certaines;9;2701;50;18;135050;24309;;
dit;3;2699;18;6;48582;8097;;
janvier;7;2682;37;14;99234;18774;;
reste;5;2673;32;10;85536;13365;;
septembre;9;2648;54;18;142992;23832;;
nouvelle;8;2641;55;16;145255;21128;;
grands;6;2632;28;12;73696;15792;;
des;3;2626;19;6;49894;7878;;
trop;4;2618;25;8;65450;10472;;
ensuite;7;2614;45;14;117630;18298;;
personne;8;2608;48;16;125184;20864;;
chez;4;2602;24;8;62448;10408;;
quatre;6;2587;38;12;98306;15522;;
origine;7;2580;36;14;92880;18060;;
