word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
de;2;369294;8;4;2954352;738588;;;
la;2;231160;7;4;1618120;462320;;;
le;2;201192;6;4;1207152;402384;;;
les;3;172027;9;6;1548243;516081;;;
et;2;162818;5;4;814090;325636;;;
a;1;142169;3;2;426507;142169;;;3,727838865
est;3;139273;8;6;1114184;417819;;;
en;2;131424;6;4;788544;262848;;;
des;3;128016;8;6;1024128;384048;;;
d;1;106690;3;2;320070;106690;;;
un;2;98321;10;4;983210;196642;;;
il;2;86530;11;4;951830;173060;;;
du;2;81566;8;4;652528;163132;;;
une;3;77779;13;6;1011127;233337;;;
qui;3;63007;15;6;945105;189021;;;
dans;4;62106;13;8;807378;248424;;;
pour;4;59206;16;8;947296;236824;;;
par;3;55637;10;6;556370;166911;;;
au;2;46340;8;4;370720;92680;;;
que;3;45724;13;6;594412;137172;;;
plus;4;41215;17;8;700655;164860;;;
sont;4;40154;15;8;602310;160616;;;
se;2;35559;7;4;248913;71118;;;
c;1;34853;5;2;174265;34853;;;
sur;3;34442;12;6;413304;103326;;;
ou;2;31878;9;4;286902;63756;;;
on;2;30509;7;4;213563;61018;;;
son;3;30237;12;6;362844;90711;;;
pas;3;29643;11;6;326073;88929;;;
ce;2;29011;8;4;232088;58022;;;
s;1;28036;4;2;112144;28036;;;
elle;4;27267;12;8;327204;109068;;;
avec;4;26472;14;8;370608;105888;;;
qu;2;25763;11;4;283393;51526;;;
mais;4;25550;17;8;434350;102200;;;
ne;2;24536;9;4;220824;49072;;;
comme;5;22075;21;10;463575;110375;;;
n;1;21546;5;2;107730;21546;;;
sa;2;18696;10;4;186960;37392;;;
ils;3;17444;14;6;244216;52332;;;
ont;3;17423;10;6;174230;52269;;;
ete;3;17041;11;6;187451;51123;;;
y;1;16352;8;2;130816;16352;;;
aux;3;16302;12;6;195624;48906;;;
tres;4;16228;13;8;210964;64912;;;
aussi;5;15694;18;10;282492;78470;;;
ses;3;15661;11;6;172271;46983;;;
cette;5;15351;15;10;230265;76755;;;
fait;4;14532;14;8;203448;58128;;;
peut;4;13949;16;8;223184;55796;;;
leur;4;13586;14;8;190204;54344;;;
deux;4;13274;12;8;159288;53096;;;
etre;4;13146;12;8;157752;52584;;;
meme;4;12315;17;8;209355;49260;;;
etait;5;11616;15;10;174240;58080;;;
entre;5;11581;13;10;150553;57905;;;
je;2;11517;10;4;115170;23034;;;
france;6;10672;20;12;213440;64032;;;
apres;5;10577;17;10;179809;52885;;;
autres;6;10414;19;12;197866;62484;;;
pays;4;10308;15;8;154620;41232;;;
ces;3;10300;11;6;113300;30900;;;
ans;3;10179;9;6;91611;30537;;;
lui;3;10160;13;6;132080;30480;;;
o;1;9817;4;2;39268;9817;;;
alors;5;9631;19;10;182989;48155;;;
faire;5;9379;17;10;159443;46895;;;
si;2;9322;8;4;74576;18644;;;
tout;4;9271;17;8;157607;37084;;;
j;1;9028;8;2;72224;9028;;;
bien;4;8969;17;8;152473;35876;;;
donc;4;8648;15;8;129720;34592;;;
ville;5;8242;22;10;181324;41210;;;
sous;4;8064;17;8;137088;32256;;;
monde;5;7979;19;10;151601;39895;;;
roi;3;7628;16;6;122048;22884;;;
nom;3;7508;17;6;127636;22524;;;
guerre;6;7165;21;12;150465;42990;;;
siecle;6;7152;27;12;193104;42912;;;
tous;4;7150;19;8;135850;28600;;;
partie;6;7136;19;12;135584;42816;;;
plusieurs;9;6946;34;18;236164;62514;;;
depuis;6;6924;23;12;159252;41544;;;
dont;4;6896;13;8;89648;27584;;;
contre;6;6824;17;12;116008;40944;;;
beaucoup;8;6674;34;16;226916;53392;;;
ainsi;5;6582;19;10;125058;32910;;;
leurs;5;6562;17;10;111554;32810;;;
pendant;7;6537;23;14;150351;45759;;;
puis;4;6508;17;8;110636;26032;;;
grand;5;6287;17;10;106879;31435;;;
car;3;6265;12;6;75180;18795;;;
peu;3;6180;14;6;86520;18540;;;
avoir;5;6113;18;10;110034;30565;;;
grande;6;6074;19;12;115406;36444;;;
t;1;6042;5;2;30210;6042;;;
tu;2;5996;10;4;59960;11992;;;
egalement;9;5973;31;18;185163;53757;;;
sans;4;5962;16;8;95392;23848;;;
nord;4;5949;18;8;107082;23796;;;
sud;3;5944;14;6;83216;17832;;;
souvent;7;5906;25;14;147650;41342;;;
francais;8;5880;31;16;182280;47040;;;
avant;5;5756;14;10;80584;28780;;;
exemple;7;5715;27;14;154305;40005;;;
cela;4;5619;14;8;78666;22476;;;
encore;6;5618;18;12;101124;33708;;;
jusqu;5;5599;27;10;151173;27995;;;
fois;4;5568;16;8;89088;22272;;;
temps;5;5539;22;10;121858;27695;;;
eau;3;5501;12;6;66012;16503;;;
premier;7;5399;26;14;140374;37793;;;
elles;5;5315;15;10;79725;26575;;;
nous;4;5290;19;8;100510;21160;;;
vers;4;5257;15;8;78855;21028;;;
dire;4;5243;13;8;68159;20972;;;
autre;5;5155;16;10;82480;25775;;;
vie;3;5033;13;6;65429;15099;;;
mort;4;5033;17;8;85561;20132;;;
trois;5;4965;19;10;94335;24825;;;
avait;5;4938;15;10;74070;24690;;;
m;1;4929;7;2;34503;4929;;;
premiere;8;4885;29;16;141665;39080;;;
moins;5;4855;21;10;101955;24275;;;
certains;8;4815;26;16;125190;38520;;;
annees;6;4804;26;12;124904;28824;;;
cet;3;4792;11;6;52712;14376;;;
peuvent;7;4739;25;14;118475;33173;;;
paris;5;4580;17;10;77860;22900;;;
