word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
de;2;369294;9;4;3323646;738588;;;
la;2;231160;9;4;2080440;462320;;;
le;2;201192;8;4;1609536;402384;;;
les;3;172027;11;6;1892297;516081;;;
et;2;162818;8;4;1302544;325636;;;
a;1;142169;4;2;568676;142169;;;4,569990785
est;3;139273;11;6;1532003;417819;;;
en;2;131424;7;4;919968;262848;;;
des;3;128016;12;6;1536192;384048;;;
d;1;106690;6;2;640140;106690;;;
un;2;98321;9;4;884889;196642;;;
il;2;86530;9;4;778770;173060;;;
du;2;81566;11;4;897226;163132;;;
une;3;77779;12;6;933348;233337;;;
qui;3;63007;16;6;1008112;189021;;;
dans;4;62106;17;8;1055802;248424;;;
pour;4;59206;22;8;1302532;236824;;;
par;3;55637;15;6;834555;166911;;;
au;2;46340;9;4;417060;92680;;;
que;3;45724;15;6;685860;137172;;;
plus;4;41215;19;8;783085;164860;;;
sont;4;40154;18;8;722772;160616;;;
se;2;35559;6;4;213354;71118;;;
c;1;34853;6;2;209118;34853;;;
sur;3;34442;13;6;447746;103326;;;
ou;2;31878;11;4;350658;63756;;;
on;2;30509;10;4;305090;61018;;;
son;3;30237;13;6;393081;90711;;;
pas;3;29643;13;6;385359;88929;;;
ce;2;29011;9;4;261099;58022;;;
s;1;28036;3;2;84108;28036;;;
elle;4;27267;16;8;436272;109068;;;
avec;4;26472;20;8;529440;105888;;;
qu;2;25763;12;4;309156;51526;;;
mais;4;25550;17;8;434350;102200;;;
ne;2;24536;7;4;171752;49072;;;
comme;5;22075;27;10;596025;110375;;;
n;1;21546;4;2;86184;21546;;;
sa;2;18696;7;4;130872;37392;;;
ils;3;17444;12;6;209328;52332;;;
ont;3;17423;15;6;261345;52269;;;
ete;3;17041;11;6;187451;51123;;;
y;1;16352;8;2;130816;16352;;;
aux;3;16302;17;6;277134;48906;;;
tres;4;16228;16;8;259648;64912;;;
aussi;5;15694;19;10;298186;78470;;;
ses;3;15661;9;6;140949;46983;;;
cette;5;15351;22;10;337722;76755;;;
fait;4;14532;20;8;290640;58128;;;
peut;4;13949;19;8;265031;55796;;;
leur;4;13586;18;8;244548;54344;;;
deux;4;13274;22;8;292028;53096;;;
etre;4;13146;16;8;210336;52584;;;
meme;4;12315;18;8;221670;49260;;;
etait;5;11616;21;10;243936;58080;;;
entre;5;11581;20;10;231620;57905;;;
je;2;11517;11;4;126687;23034;;;
france;6;10672;29;12;309488;64032;;;
apres;5;10577;21;10;222117;52885;;;
autres;6;10414;25;12;260350;62484;;;
pays;4;10308;21;8;216468;41232;;;
ces;3;10300;12;6;123600;30900;;;
ans;3;10179;11;6;111969;30537;;;
lui;3;10160;14;6;142240;30480;;;
o;1;9817;6;2;58902;9817;;;
alors;5;9631;23;10;221513;48155;;;
faire;5;9379;23;10;215717;46895;;;
si;2;9322;7;4;65254;18644;;;
tout;4;9271;21;8;194691;37084;;;
j;1;9028;8;2;72224;9028;;;
bien;4;8969;18;8;161442;35876;;;
donc;4;8648;22;8;190256;34592;;;
ville;5;8242;24;10;197808;41210;;;
sous;4;8064;17;8;137088;32256;;;
monde;5;7979;25;10;199475;39895;;;
roi;3;7628;15;6;114420;22884;;;
nom;3;7508;16;6;120128;22524;;;
