word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
de;2;369294;7;4;2585058;738588;;
la;2;231160;5;4;1155800;462320;;
le;2;201192;4;4;804768;402384;;
les;3;172027;7;6;1204189;516081;;
et;2;162818;10;4;1628180;325636;;
a;1;142169;7;2;995183;142169;;3,745997378
est;3;139273;10;6;1392730;417819;;
en;2;131424;8;4;1051392;262848;;
des;3;128016;8;6;1024128;384048;;
d;1;106690;3;2;320070;106690;;
un;2;98321;8;4;786568;196642;;
il;2;86530;12;4;1038360;173060;;
du;2;81566;6;4;489396;163132;;
une;3;77779;10;6;777790;233337;;
qui;3;63007;11;6;693077;189021;;
dans;4;62106;13;8;807378;248424;;
pour;4;59206;13;8;769678;236824;;
par;3;55637;8;6;445096;166911;;
au;2;46340;13;4;602420;92680;;
que;3;45724;10;6;457240;137172;;
plus;4;41215;13;8;535795;164860;;
sont;4;40154;17;8;682618;160616;;
se;2;35559;8;4;284472;71118;;
c;1;34853;5;2;174265;34853;;
sur;3;34442;15;6;516630;103326;;
ou;2;31878;11;4;350658;63756;;
on;2;30509;10;4;305090;61018;;
son;3;30237;14;6;423318;90711;;
pas;3;29643;9;6;266787;88929;;
ce;2;29011;7;4;203077;58022;;
s;1;28036;6;2;168216;28036;;
elle;4;27267;11;8;299937;109068;;
avec;4;26472;20;8;529440;105888;;
qu;2;25763;8;4;206104;51526;;
mais;4;25550;16;8;408800;102200;;
ne;2;24536;11;4;269896;49072;;
comme;5;22075;14;10;309050;110375;;
n;1;21546;9;2;193914;21546;;
sa;2;18696;10;4;186960;37392;;
ils;3;17444;15;6;261660;52332;;
ont;3;17423;13;6;226499;52269;;
ete;3;17041;14;6;238574;51123;;
y;1;16352;12;2;196224;16352;;
aux;3;16302;17;6;277134;48906;;
tres;4;16228;16;8;259648;64912;;
aussi;5;15694;23;10;360962;78470;;
ses;3;15661;12;6;187932;46983;;
cette;5;15351;16;10;245616;76755;;
fait;4;14532;14;8;203448;58128;;
peut;4;13949;13;8;181337;55796;;
leur;4;13586;11;8;149446;54344;;
deux;4;13274;13;8;172562;53096;;
etre;4;13146;17;8;223482;52584;;
meme;4;12315;15;8;184725;49260;;
etait;5;11616;18;10;209088;58080;;
entre;5;11581;16;10;185296;57905;;
je;2;11517;12;4;138204;23034;;
france;6;10672;18;12;192096;64032;;
apres;5;10577;25;10;264425;52885;;
autres;6;10414;24;12;249936;62484;;
pays;4;10308;13;8;134004;41232;;
ces;3;10300;10;6;103000;30900;;
ans;3;10179;14;6;142506;30537;;
lui;3;10160;8;6;81280;30480;;
o;1;9817;7;2;68719;9817;;
alors;5;9631;19;10;182989;48155;;
faire;5;9379;17;10;159443;46895;;
