word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
de;2;369294;10;5;3692940;738588;;;
la;2;231160;17;6;3929720;462320;;;
le;2;201192;21;6;4225032;402384;;;
les;3;172027;30;9;5160810;516081;;;
et;2;162818;17;6;2767906;325636;;;
a;1;142169;3;3;426507;142169;;;7,972398337
est;3;139273;26;9;3621098;417819;;;
en;2;131424;11;6;1445664;262848;;;
des;3;128016;22;9;2816352;384048;;;
d;1;106690;6;3;640140;106690;;;
un;2;98321;15;6;1474815;196642;;;
il;2;86530;25;6;2163250;173060;;;
du;2;81566;17;6;1386622;163132;;;
une;3;77779;22;9;1711138;233337;;;
qui;3;63007;29;9;1827203;189021;;;
dans;4;62106;22;12;1366332;248424;;;
pour;4;59206;30;12;1776180;236824;;;
par;3;55637;17;9;945829;166911;;;
au;2;46340;14;6;648760;92680;;;
que;3;45724;25;9;1143100;137172;;;
plus;4;41215;40;12;1648600;164860;;;
sont;4;40154;28;12;1124312;160616;;;
se;2;35559;16;6;568944;71118;;;
c;1;34853;5;3;174265;34853;;;
sur;3;34442;28;9;964376;103326;;;
ou;2;31878;16;6;510048;63756;;;
on;2;30509;9;6;274581;61018;;;
son;3;30237;18;9;544266;90711;;;
pas;3;29643;18;9;533574;88929;;;
ce;2;29011;12;6;348132;58022;;;
s;1;28036;9;3;252324;28036;;;
elle;4;27267;42;12;1145214;109068;;;
avec;4;26472;27;12;714744;105888;;;
qu;2;25763;18;6;463734;51526;;;
mais;4;25550;38;12;970900;102200;;;
ne;2;24536;11;6;269896;49072;;;
comme;5;22075;47;15;1037525;110375;;;
n;1;21546;4;3;86184;21546;;;
sa;2;18696;12;6;224352;37392;;;
ils;3;17444;34;9;593096;52332;;;
ont;3;17423;19;9;331037;52269;;;
ete;3;17041;24;9;408984;51123;;;
y;1;16352;15;3;245280;16352;;;
aux;3;16302;28;9;456456;48906;;;
tres;4;16228;34;12;551752;64912;;;
aussi;5;15694;43;15;674842;78470;;;
ses;3;15661;25;9;391525;46983;;;
cette;5;15351;39;15;598689;76755;;;
fait;4;14532;32;12;465024;58128;;;
peut;4;13949;34;12;474266;55796;;;
leur;4;13586;40;12;543440;54344;;;
deux;4;13274;38;12;504412;53096;;;
etre;4;13146;32;12;420672;52584;;;
meme;4;12315;44;12;541860;49260;;;
etait;5;11616;41;15;476256;58080;;;
entre;5;11581;36;15;416916;57905;;;
je;2;11517;19;6;218823;23034;;;
france;6;10672;35;18;373520;64032;;;
apres;5;10577;33;15;349041;52885;;;
autres;6;10414;48;18;499872;62484;;;
pays;4;10308;33;12;340164;41232;;;
ces;3;10300;21;9;216300;30900;;;
ans;3;10179;16;9;162864;30537;;;
lui;3;10160;36;9;365760;30480;;;
o;1;9817;5;3;49085;9817;;;
alors;5;9631;39;15;375609;48155;;;
faire;5;9379;37;15;347023;46895;;;
si;2;9322;20;6;186440;18644;;;
tout;4;9271;36;12;333756;37084;;;
j;1;9028;12;3;108336;9028;;;
bien;4;8969;26;12;233194;35876;;;
donc;4;8648;20;12;172960;34592;;;
ville;5;8242;58;15;478036;41210;;;
sous;4;8064;34;12;274176;32256;;;
monde;5;7979;37;15;295223;39895;;;
roi;3;7628;24;9;183072;22884;;;
nom;3;7508;24;9;180192;22524;;;
guerre;6;7165;50;18;358250;42990;;;
siecle;6;7152;53;18;379056;42912;;;
tous;4;7150;35;12;250250;28600;;;
partie;6;7136;45;18;321120;42816;;;
plusieurs;9;6946;86;27;597356;62514;;;
depuis;6;6924;50;18;346200;41544;;;
dont;4;6896;25;12;172400;27584;;;
contre;6;6824;39;18;266136;40944;;;
beaucoup;8;6674;52;24;347048;53392;;;
ainsi;5;6582;38;15;250116;32910;;;
leurs;5;6562;49;15;321538;32810;;;
pendant;7;6537;40;21;261480;45759;;;
puis;4;6508;37;12;240796;26032;;;
grand;5;6287;30;15;188610;31435;;;
car;3;6265;16;9;100240;18795;;;
peu;3;6180;24;9;148320;18540;;;
avoir;5;6113;39;15;238407;30565;;;
grande;6;6074;37;18;224738;36444;;;
t;1;6042;10;3;60420;6042;;;
tu;2;5996;21;6;125916;11992;;;
egalement;9;5973;76;27;453948;53757;;;
sans;4;5962;25;12;149050;23848;;;
nord;4;5949;23;12;136827;23796;;;
sud;3;5944;26;9;154544;17832;;;
souvent;7;5906;58;21;342548;41342;;;
francais;8;5880;51;24;299880;47040;;;
avant;5;5756;32;15;184192;28780;;;
exemple;7;5715;70;21;400050;40005;;;
cela;4;5619;29;12;162951;22476;;;
encore;6;5618;36;18;202248;33708;;;
jusqu;5;5599;50;15;279950;27995;;;
fois;4;5568;33;12;183744;22272;;;
temps;5;5539;47;15;260333;27695;;;
eau;3;5501;21;9;115521;16503;;;
premier;7;5399;62;21;334738;37793;;;
elles;5;5315;51;15;271065;26575;;;
nous;4;5290;29;12;153410;21160;;;
vers;4;5257;36;12;189252;21028;;;
dire;4;5243;32;12;167776;20972;;;
autre;5;5155;39;15;201045;25775;;;
vie;3;5033;30;9;150990;15099;;;
mort;4;5033;38;12;191254;20132;;;
trois;5;4965;43;15;213495;24825;;;
avait;5;4938;39;15;192582;24690;;;
m;1;4929;15;3;73935;4929;;;
premiere;8;4885;69;24;337065;39080;;;
moins;5;4855;44;15;213620;24275;;;
certains;8;4815;57;24;274455;38520;;;
annees;6;4804;34;18;163336;28824;;;
cet;3;4792;22;9;105424;14376;;;
peuvent;7;4739;57;21;270123;33173;;;
paris;5;4580;37;15;169460;22900;;;
fin;3;4441;23;9;102143;13323;;;
quand;5;4420;31;15;137020;22100;;;
personnes;9;4306;59;27;254054;38754;;;
vous;4;4254;37;12;157398;17016;;;
etaient;7;4244;52;21;220688;29708;;;
lieu;4;4206;43;12;180858;16824;;;
ai;2;4152;14;6;58128;8304;;;
doit;4;4141;32;12;132512;16564;;;
terre;5;4134;40;15;165360;20670;;;
trouve;6;4133;53;18;219049;24798;;;
etat;4;4129;30;12;123870;16516;;;
e;1;4058;7;3;28406;4058;;;
faut;4;4051;32;12;129632;16204;;;
nombreux;8;4048;68;24;275264;32384;;;
soit;4;4037;35;12;141295;16148;;;
vikidia;7;4014;67;21;268938;28098;;;
quelques;8;4005;73;24;292365;32040;;;
chaque;6;4001;43;18;172043;24006;;;
annee;5;3983;25;15;99575;19915;;;
europe;6;3982;44;18;175208;23892;;;
environ;7;3972;51;21;202572;27804;;;
non;3;3971;13;9;51623;11913;;;
devient;7;3965;57;21;226005;27755;;;
fut;3;3909;29;9;113361;11727;;;
saint;5;3907;37;15;144559;19535;;;
enfants;7;3894;45;21;175230;27258;;;
existe;6;3881;58;18;225098;23286;;;
etats;5;3856;39;15;150384;19280;;;
celui;5;3828;48;15;183744;19140;;;
selon;5;3821;39;15;149019;19105;;;
cas;3;3800;17;9;64600;11400;;;
ci;2;3762;16;6;60192;7524;;;
pouvoir;7;3692;58;21;214136;25844;;;
famille;7;3687;72;21;265464;25809;;;
forme;5;3674;43;15;157982;18370;;;
lors;4;3644;36;12;131184;14576;;;
fils;4;3609;42;12;151578;14436;;;
va;2;3583;15;6;53745;7166;;;
empire;6;3559;54;18;192186;21354;;;
place;5;3539;35;15;123865;17695;;;
nombre;6;3534;43;18;151962;21204;;;
partir;6;3507;46;18;161322;21042;;;
francaise;9;3506;58;27;203348;31554;;;
hui;3;3495;32;9;111840;10485;;;
aujourd;7;3487;56;21;195272;24409;;;
permet;6;3471;53;18;183963;20826;;;
histoire;8;3413;71;24;242323;27304;;;
toutes;6;3380;52;18;175760;20280;;;
notamment;9;3369;73;27;245937;30321;;;
mer;3;3366;30;9;100980;10098;;;
royaume;7;3360;64;21;215040;23520;;;
jours;5;3343;45;15;150435;16715;;;
grace;5;3343;32;15;106976;16715;;;
habitants;9;3290;64;27;210560;29610;;;
cours;5;3260;38;15;123880;16300;;;
jour;4;3258;36;12;117288;13032;;;
me;2;3237;22;6;71214;6474;;;
