word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
de;2;369294;11;4;4062234;738588;;
la;2;231160;9;4;2080440;462320;;
le;2;201192;8;4;1609536;402384;;
les;3;172027;10;4;1720270;516081;;
et;2;162818;9;4;1465362;325636;;3,638454805
a;1;142169;6;2;853014;142169;;
est;3;139273;12;6;1671276;417819;;
en;2;131424;8;4;1051392;262848;;
des;3;128016;10;4;1280160;384048;;
d;1;106690;2;2;213380;106690;;
un;2;98321;9;4;884889;196642;;
il;2;86530;13;4;1124890;173060;;
du;2;81566;6;4;489396;163132;;
une;3;77779;10;4;777790;233337;;
qui;3;63007;12;4;756084;189021;;
dans;4;62106;7;4;434742;248424;;
pour;4;59206;9;4;532854;236824;;
par;3;55637;10;4;556370;166911;;
au;2;46340;11;4;509740;92680;;
que;3;45724;10;4;457240;137172;;
plus;4;41215;13;4;535795;164860;;
sont;4;40154;16;6;642464;160616;;
se;2;35559;7;4;248913;71118;;
c;1;34853;4;2;139412;34853;;
sur;3;34442;13;4;447746;103326;;
ou;2;31878;14;4;446292;63756;;
on;2;30509;12;4;366108;61018;;
son;3;30237;12;4;362844;90711;;
pas;3;29643;11;4;326073;88929;;
ce;2;29011;11;4;319121;58022;;
s;1;28036;5;2;140180;28036;;
elle;4;27267;10;4;272670;109068;;
avec;4;26472;15;4;397080;105888;;
qu;2;25763;9;4;231867;51526;;
mais;4;25550;11;4;281050;102200;;
ne;2;24536;15;4;368040;49072;;
comme;5;22075;12;6;264900;110375;;
n;1;21546;9;2;193914;21546;;
sa;2;18696;14;4;261744;37392;;
ils;3;17444;14;4;244216;52332;;
ont;3;17423;16;6;278768;52269;;
ete;3;17041;12;6;204492;51123;;
y;1;16352;9;2;147168;16352;;
aux;3;16302;18;6;293436;48906;;
tres;4;16228;15;6;243420;64912;;
aussi;5;15694;20;6;313880;78470;;
ses;3;15661;13;6;203593;46983;;
cette;5;15351;12;4;184212;76755;;
fait;4;14532;16;6;232512;58128;;
peut;4;13949;20;8;278980;55796;;
leur;4;13586;12;6;163032;54344;;
deux;4;13274;12;6;159288;53096;;
etre;4;13146;17;6;223482;52584;;
meme;4;12315;15;4;184725;49260;;
etait;5;11616;19;10;220704;58080;;
entre;5;11581;13;6;150553;57905;;
je;2;11517;15;4;172755;23034;;
france;6;10672;19;8;202768;64032;;
apres;5;10577;12;4;126924;52885;;
autres;6;10414;28;10;291592;62484;;
pays;4;10308;17;8;175236;41232;;
ces;3;10300;13;4;133900;30900;;
ans;3;10179;14;6;142506;30537;;
lui;3;10160;12;6;121920;30480;;
o;1;9817;7;2;68719;9817;;
alors;5;9631;13;4;125203;48155;;
faire;5;9379;18;8;168822;46895;;
si;2;9322;10;4;93220;18644;;
tout;4;9271;12;4;111252;37084;;
j;1;9028;10;2;90280;9028;;
bien;4;8969;13;4;116597;35876;;
donc;4;8648;11;6;95128;34592;;
ville;5;8242;19;8;156598;41210;;
sous;4;8064;15;6;120960;32256;;
monde;5;7979;20;10;159580;39895;;
roi;3;7628;16;6;122048;22884;;
nom;3;7508;16;6;120128;22524;;
guerre;6;7165;19;8;136135;42990;;
siecle;6;7152;24;12;171648;42912;;
tous;4;7150;17;6;121550;28600;;
partie;6;7136;23;12;164128;42816;;
plusieurs;9;6946;14;6;97244;62514;;
depuis;6;6924;11;4;76164;41544;;
dont;4;6896;14;6;96544;27584;;
contre;6;6824;17;8;116008;40944;;
beaucoup;8;6674;17;4;113458;53392;;
ainsi;5;6582;14;4;92148;32910;;
leurs;5;6562;13;6;85306;32810;;
pendant;7;6537;12;6;78444;45759;;
puis;4;6508;14;6;91112;26032;;
grand;5;6287;17;6;106879;31435;;
car;3;6265;13;6;81445;18795;;
peu;3;6180;13;6;80340;18540;;
avoir;5;6113;22;6;134486;30565;;
grande;6;6074;20;8;121480;36444;;
t;1;6042;6;2;36252;6042;;
tu;2;5996;5;2;29980;11992;;
egalement;9;5973;29;18;173217;53757;;
sans;4;5962;15;6;89430;23848;;
nord;4;5949;21;8;124929;23796;;
sud;3;5944;14;6;83216;17832;;
souvent;7;5906;20;8;118120;41342;;
francais;8;5880;29;16;170520;47040;;
avant;5;5756;20;6;115120;28780;;
exemple;7;5715;18;8;102870;40005;;
cela;4;5619;15;8;84285;22476;;
encore;6;5618;14;6;78652;33708;;
jusqu;5;5599;25;10;139975;27995;;
fois;4;5568;18;8;100224;22272;;
temps;5;5539;17;8;94163;27695;;
eau;3;5501;13;6;71513;16503;;
premier;7;5399;19;8;102581;37793;;
elles;5;5315;12;4;63780;26575;;
nous;4;5290;16;4;84640;21160;;
vers;4;5257;15;6;78855;21028;;
dire;4;5243;16;8;83888;20972;;
autre;5;5155;21;8;108255;25775;;
vie;3;5033;13;6;65429;15099;;
mort;4;5033;19;8;95627;20132;;
trois;5;4965;16;6;79440;24825;;
avait;5;4938;24;8;118512;24690;;
m;1;4929;6;2;29574;4929;;
premiere;8;4885;18;8;87930;39080;;
moins;5;4855;18;6;87390;24275;;
certains;8;4815;17;8;81855;38520;;
annees;6;4804;27;12;129708;28824;;
cet;3;4792;15;6;71880;14376;;
peuvent;7;4739;22;10;104258;33173;;
paris;5;4580;18;10;82440;22900;;
fin;3;4441;11;4;48851;13323;;
quand;5;4420;14;4;61880;22100;;
personnes;9;4306;34;18;146404;38754;;
vous;4;4254;13;4;55302;17016;;
etaient;7;4244;24;14;101856;29708;;
lieu;4;4206;14;8;58884;16824;;
ai;2;4152;10;4;41520;8304;;
doit;4;4141;16;8;66256;16564;;
terre;5;4134;19;8;78546;20670;;
trouve;6;4133;18;6;74394;24798;;
etat;4;4129;16;8;66064;16516;;
e;1;4058;3;2;12174;4058;;
faut;4;4051;14;4;56714;16204;;
nombreux;8;4048;24;8;97152;32384;;
soit;4;4037;18;6;72666;16148;;
vikidia;7;4014;32;14;128448;28098;;
quelques;8;4005;17;8;68085;32040;;
chaque;6;4001;12;6;48012;24006;;
annee;5;3983;21;8;83643;19915;;
europe;6;3982;19;8;75658;23892;;
environ;7;3972;18;8;71496;27804;;
non;3;3971;14;4;55594;11913;;
devient;7;3965;21;10;83265;27755;;
fut;3;3909;16;6;62544;11727;;
saint;5;3907;17;8;66419;19535;;
enfants;7;3894;19;10;73986;27258;;
existe;6;3881;23;8;89263;23286;;
etats;5;3856;19;8;73264;19280;;
celui;5;3828;18;8;68904;19140;;
selon;5;3821;11;4;42031;19105;;
cas;3;3800;14;6;53200;11400;;
ci;2;3762;8;4;30096;7524;;
pouvoir;7;3692;24;10;88608;25844;;
famille;7;3687;17;8;62679;25809;;
forme;5;3674;24;10;88176;18370;;
lors;4;3644;12;4;43728;14576;;
fils;4;3609;15;6;54135;14436;;
va;2;3583;11;4;39413;7166;;
empire;6;3559;20;10;71180;21354;;
place;5;3539;15;8;53085;17695;;
nombre;6;3534;22;6;77748;21204;;
partir;6;3507;25;12;87675;21042;;
francaise;9;3506;31;18;108686;31554;;
hui;3;3495;16;6;55920;10485;;
aujourd;7;3487;28;14;97636;24409;;
permet;6;3471;21;10;72891;20826;;
histoire;8;3413;21;6;71673;27304;;
toutes;6;3380;22;8;74360;20280;;
