word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
de;2;369294;11;4;4062234;738588;;
la;2;231160;8;4;1849280;462320;;
le;2;201192;12;4;2414304;402384;;
les;3;172027;17;6;2924459;516081;;
et;2;162818;12;4;1953816;325636;;5,82553326
a;1;142169;2;2;284338;142169;;
est;3;139273;17;6;2367641;417819;;
en;2;131424;14;4;1839936;262848;;
des;3;128016;16;6;2048256;384048;;
d;1;106690;5;2;533450;106690;;
un;2;98321;15;4;1474815;196642;;
il;2;86530;9;4;778770;173060;;
du;2;81566;12;4;978792;163132;;
une;3;77779;21;6;1633359;233337;;
qui;3;63007;21;6;1323147;189021;;
dans;4;62106;20;8;1242120;248424;;
pour;4;59206;30;8;1776180;236824;;
par;3;55637;16;6;890192;166911;;
au;2;46340;9;4;417060;92680;;
que;3;45724;24;6;1097376;137172;;
plus;4;41215;28;8;1154020;164860;;
sont;4;40154;28;8;1124312;160616;;
se;2;35559;11;4;391149;71118;;
c;1;34853;4;2;139412;34853;;
sur;3;34442;16;6;551072;103326;;
ou;2;31878;16;4;510048;63756;;
on;2;30509;17;4;518653;61018;;
son;3;30237;22;6;665214;90711;;
pas;3;29643;17;6;503931;88929;;
ce;2;29011;10;4;290110;58022;;
s;1;28036;5;2;140180;28036;;
elle;4;27267;24;8;654408;109068;;
avec;4;26472;20;8;529440;105888;;
qu;2;25763;18;4;463734;51526;;
mais;4;25550;17;8;434350;102200;;
ne;2;24536;14;4;343504;49072;;
comme;5;22075;33;10;728475;110375;;
n;1;21546;8;2;172368;21546;;
sa;2;18696;7;4;130872;37392;;
ils;3;17444;14;6;244216;52332;;
ont;3;17423;23;6;400729;52269;;
ete;3;17041;18;6;306738;51123;;
y;1;16352;11;2;179872;16352;;
aux;3;16302;19;6;309738;48906;;
tres;4;16228;21;8;340788;64912;;
aussi;5;15694;22;10;345268;78470;;
ses;3;15661;16;6;250576;46983;;
cette;5;15351;28;10;429828;76755;;
fait;4;14532;18;8;261576;58128;;
peut;4;13949;29;8;404521;55796;;
leur;4;13586;23;8;312478;54344;;
deux;4;13274;28;8;371672;53096;;
etre;4;13146;22;8;289212;52584;;
meme;4;12315;26;8;320190;49260;;
etait;5;11616;23;10;267168;58080;;
entre;5;11581;30;10;347430;57905;;
je;2;11517;10;4;115170;23034;;
france;6;10672;31;12;330832;64032;;
apres;5;10577;27;10;285579;52885;;
autres;6;10414;30;12;312420;62484;;
pays;4;10308;28;8;288624;41232;;
ces;3;10300;15;6;154500;30900;;
ans;3;10179;15;6;152685;30537;;
