word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
de;2;369294;7;4;2585058;738588
la;2;231160;6;4;1386960;462320
le;2;201192;5;4;1005960;402384
les;3;172027;9;6;1548243;516081
et;2;162818;8;4;1302544;325636
a;1;142169;6;2;853014;142169
est;3;139273;12;6;1671276;417819
en;2;131424;8;4;1051392;262848
des;3;128016;8;6;1024128;384048
d;1;106690;2;2;213380;106690
un;2;98321;10;4;983210;196642
il;2;86530;8;4;692240;173060
du;2;81566;7;4;570962;163132
une;3;77779;13;6;1011127;233337
qui;3;63007;13;6;819091;189021
dans;4;62106;14;8;869484;248424
pour;4;59206;18;8;1065708;236824
par;3;55637;10;6;556370;166911
au;2;46340;12;4;556080;92680
que;3;45724;12;6;548688;137172
plus;4;41215;16;8;659440;164860
sont;4;40154;20;8;803080;160616
se;2;35559;9;4;320031;71118
c;1;34853;4;2;139412;34853
sur;3;34442;16;6;551072;103326
ou;2;31878;12;4;382536;63756
on;2;30509;11;4;335599;61018
son;3;30237;15;6;453555;90711
pas;3;29643;11;6;326073;88929
ce;2;29011;6;4;174066;58022
s;1;28036;6;2;168216;28036
elle;4;27267;12;8;327204;109068
avec;4;26472;18;8;476496;105888
qu;2;25763;10;4;257630;51526
mais;4;25550;14;8;357700;102200
ne;2;24536;11;4;269896;49072
comme;5;22075;16;10;353200;110375
n;1;21546;8;2;172368;21546
sa;2;18696;10;4;186960;37392
ils;3;17444;12;6;209328;52332
ont;3;17423;16;6;278768;52269
ete;3;17041;12;6;204492;51123
y;1;16352;8;2;130816;16352
aux;3;16302;18;6;293436;48906
tres;4;16228;16;8;259648;64912
aussi;5;15694;23;10;360962;78470
ses;3;15661;14;6;219254;46983
cette;5;15351;18;10;276318;76755
fait;4;14532;15;8;217980;58128
peut;4;13949;17;8;237133;55796
leur;4;13586;14;8;190204;54344
deux;4;13274;14;8;185836;53096
etre;4;13146;15;8;197190;52584
meme;4;12315;12;8;147780;49260
etait;5;11616;20;10;232320;58080
entre;5;11581;19;10;220039;57905
je;2;11517;8;4;92136;23034
france;6;10672;19;12;202768;64032
apres;5;10577;24;10;253848;52885
autres;6;10414;27;12;281178;62484
pays;4;10308;15;8;154620;41232
ces;3;10300;10;6;103000;30900
ans;3;10179;14;6;142506;30537
lui;3;10160;11;6;111760;30480
o;1;9817;7;2;68719;9817
alors;5;9631;22;10;211882;48155
faire;5;9379;16;10;150064;46895
si;2;9322;9;4;83898;18644
tout;4;9271;21;8;194691;37084
j;1;9028;6;2;54168;9028
bien;4;8969;17;8;152473;35876
donc;4;8648;12;8;103776;34592
ville;5;8242;18;10;148356;41210
sous;4;8064;20;8;161280;32256
monde;5;7979;16;10;127664;39895
roi;3;7628;16;6;122048;22884
nom;3;7508;16;6;120128;22524
guerre;6;7165;24;12;171960;42990
siecle;6;7152;26;12;185952;42912
tous;4;7150;21;8;150150;28600
partie;6;7136;21;12;149856;42816
plusieurs;9;6946;34;18;236164;62514
depuis;6;6924;23;12;159252;41544
dont;4;6896;15;8;103440;27584
contre;6;6824;23;12;156952;40944
beaucoup;8;6674;32;16;213568;53392
ainsi;5;6582;22;10;144804;32910
leurs;5;6562;18;10;118116;32810
pendant;7;6537;25;14;163425;45759
puis;4;6508;16;8;104128;26032
grand;5;6287;19;10;119453;31435
car;3;6265;11;6;68915;18795
peu;3;6180;12;6;74160;18540
avoir;5;6113;24;10;146712;30565
grande;6;6074;21;12;127554;36444
t;1;6042;6;2;36252;6042
tu;2;5996;12;4;71952;11992
egalement;9;5973;32;18;191136;53757
sans;4;5962;18;8;107316;23848
nord;4;5949;20;8;118980;23796
sud;3;5944;15;6;89160;17832
souvent;7;5906;34;14;200804;41342
francais;8;5880;30;16;176400;47040
avant;5;5756;24;10;138144;28780
exemple;7;5715;24;14;137160;40005
cela;4;5619;11;8;61809;22476
encore;6;5618;21;12;117978;33708
jusqu;5;5599;24;10;134376;27995
fois;4;5568;17;8;94656;22272
temps;5;5539;20;10;110780;27695
eau;3;5501;12;6;66012;16503
premier;7;5399;22;14;118778;37793
elles;5;5315;16;10;85040;26575
nous;4;5290;22;8;116380;21160
vers;4;5257;17;8;89369;21028
dire;4;5243;12;8;62916;20972
autre;5;5155;23;10;118565;25775
vie;3;5033;12;6;60396;15099
mort;4;5033;18;8;90594;20132
trois;5;4965;21;10;104265;24825
avait;5;4938;23;10;113574;24690
m;1;4929;4;2;19716;4929
premiere;8;4885;25;16;122125;39080
moins;5;4855;19;10;92245;24275
certains;8;4815;29;16;139635;38520
annees;6;4804;30;12;144120;28824
cet;3;4792;11;6;52712;14376
peuvent;7;4739;29;14;137431;33173
paris;5;4580;17;10;77860;22900
fin;3;4441;12;6;53292;13323
quand;5;4420;20;10;88400;22100
personnes;9;4306;33;18;142098;38754
vous;4;4254;20;8;85080;17016
etaient;7;4244;26;14;110344;29708
lieu;4;4206;13;8;54678;16824
ai;2;4152;9;4;37368;8304
doit;4;4141;14;8;57974;16564
terre;5;4134;20;10;82680;20670
trouve;6;4133;26;12;107458;24798
etat;4;4129;16;8;66064;16516
e;1;4058;3;2;12174;4058
faut;4;4051;17;8;68867;16204
nombreux;8;4048;34;16;137632;32384
soit;4;4037;19;8;76703;16148
vikidia;7;4014;29;14;116406;28098
quelques;8;4005;30;16;120150;32040
chaque;6;4001;23;12;92023;24006
annee;5;3983;24;10;95592;19915
europe;6;3982;24;12;95568;23892
environ;7;3972;30;14;119160;27804
non;3;3971;17;6;67507;11913
devient;7;3965;24;14;95160;27755
fut;3;3909;15;6;58635;11727
saint;5;3907;24;10;93768;19535
enfants;7;3894;29;14;112926;27258
existe;6;3881;24;12;93144;23286
etats;5;3856;20;10;77120;19280
celui;5;3828;17;10;65076;19140
selon;5;3821;22;10;84062;19105
cas;3;3800;13;6;49400;11400
ci;2;3762;8;4;30096;7524
pouvoir;7;3692;30;14;110760;25844
famille;7;3687;22;14;81114;25809
forme;5;3674;20;10;73480;18370
lors;4;3644;16;8;58304;14576
fils;4;3609;15;8;54135;14436
va;2;3583;10;4;35830;7166
empire;6;3559;20;12;71180;21354
place;5;3539;13;10;46007;17695
nombre;6;3534;24;12;84816;21204
partir;6;3507;23;12;80661;21042
francaise;9;3506;33;18;115698;31554
hui;3;3495;16;6;55920;10485
aujourd;7;3487;30;14;104610;24409
permet;6;3471;21;12;72891;20826
histoire;8;3413;34;16;116042;27304
toutes;6;3380;28;12;94640;20280
notamment;9;3369;38;18;128022;30321
