word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
de;2;369294;10;5;3692940;738588;;
la;2;231160;8;5;1849280;462320;;
le;2;201192;7;5;1408344;402384;;
les;3;172027;9;5;1548243;516081;;
et;2;162818;8;5;1302544;325636;;
a;1;142169;6;3;853014;142169;;3,87632466
est;3;139273;12;8;1671276;417819;;
en;2;131424;7;5;919968;262848;;
des;3;128016;9;5;1152144;384048;;
d;1;106690;3;3;320070;106690;;
un;2;98321;9;5;884889;196642;;
il;2;86530;10;5;865300;173060;;
du;2;81566;8;6;652528;163132;;
une;3;77779;10;5;777790;233337;;
qui;3;63007;12;5;756084;189021;;
dans;4;62106;6;5;372636;248424;;
pour;4;59206;8;5;473648;236824;;
par;3;55637;9;5;500733;166911;;
au;2;46340;9;5;417060;92680;;
que;3;45724;10;5;457240;137172;;
plus;4;41215;12;5;494580;164860;;
sont;4;40154;20;8;803080;160616;;
se;2;35559;12;6;426708;71118;;
c;1;34853;5;3;174265;34853;;
sur;3;34442;14;5;482188;103326;;
ou;2;31878;14;5;446292;63756;;
on;2;30509;12;5;366108;61018;;
son;3;30237;13;5;393081;90711;;
pas;3;29643;10;5;296430;88929;;
ce;2;29011;10;5;290110;58022;;
s;1;28036;8;3;224288;28036;;
elle;4;27267;9;5;245403;109068;;
avec;4;26472;13;5;344136;105888;;
qu;2;25763;12;6;309156;51526;;
mais;4;25550;9;5;229950;102200;;
ne;2;24536;12;5;294432;49072;;
comme;5;22075;13;8;286975;110375;;
n;1;21546;8;3;172368;21546;;
sa;2;18696;15;5;280440;37392;;
ils;3;17444;11;5;191884;52332;;
ont;3;17423;17;8;296191;52269;;
ete;3;17041;16;9;272656;51123;;
y;1;16352;13;3;212576;16352;;
aux;3;16302;17;8;277134;48906;;
tres;4;16228;18;8;292104;64912;;
aussi;5;15694;19;8;298186;78470;;
ses;3;15661;16;8;250576;46983;;
cette;5;15351;11;5;168861;76755;;
fait;4;14532;15;8;217980;58128;;
peut;4;13949;21;11;292929;55796;;
leur;4;13586;12;8;163032;54344;;
deux;4;13274;12;8;159288;53096;;
etre;4;13146;17;8;223482;52584;;
meme;4;12315;13;5;160095;49260;;
etait;5;11616;26;15;302016;58080;;
entre;5;11581;13;8;150553;57905;;
je;2;11517;12;5;138204;23034;;
france;6;10672;19;11;202768;64032;;
apres;5;10577;10;5;105770;52885;;
autres;6;10414;29;14;302006;62484;;
pays;4;10308;18;11;185544;41232;;
ces;3;10300;12;5;123600;30900;;
ans;3;10179;16;9;162864;30537;;
lui;3;10160;13;8;132080;30480;;
o;1;9817;9;3;88353;9817;;
alors;5;9631;11;5;105941;48155;;
faire;5;9379;18;11;168822;46895;;
si;2;9322;11;5;102542;18644;;
tout;4;9271;14;5;129794;37084;;
j;1;9028;9;3;81252;9028;;
bien;4;8969;10;5;89690;35876;;
donc;4;8648;12;8;103776;34592;;
ville;5;8242;23;11;189566;41210;;
sous;4;8064;19;8;153216;32256;;
monde;5;7979;21;14;167559;39895;;
roi;3;7628;21;9;160188;22884;;
nom;3;7508;19;9;142652;22524;;
guerre;6;7165;22;11;157630;42990;;
siecle;6;7152;33;18;236016;42912;;
tous;4;7150;21;8;150150;28600;;
partie;6;7136;26;17;185536;42816;;
plusieurs;9;6946;13;8;90298;62514;;
depuis;6;6924;10;5;69240;41544;;
dont;4;6896;15;8;103440;27584;;
contre;6;6824;19;11;129656;40944;;
beaucoup;8;6674;14;5;93436;53392;;
ainsi;5;6582;12;5;78984;32910;;
leurs;5;6562;13;8;85306;32810;;
pendant;7;6537;12;8;78444;45759;;
puis;4;6508;15;8;97620;26032;;
grand;5;6287;19;8;119453;31435;;
car;3;6265;12;8;75180;18795;;
peu;3;6180;13;8;80340;18540;;
avoir;5;6113;21;8;128373;30565;;
grande;6;6074;23;11;139702;36444;;
t;1;6042;10;3;60420;6042;;
tu;2;5996;3;2;17988;11992;;
egalement;9;5973;41;27;244893;53757;;
sans;4;5962;18;8;107316;23848;;
nord;4;5949;25;12;148725;23796;;
sud;3;5944;20;9;118880;17832;;
souvent;7;5906;25;11;147650;41342;;
francais;8;5880;35;24;205800;47040;;
avant;5;5756;19;8;109364;28780;;
exemple;7;5715;19;11;108585;40005;;
cela;4;5619;16;11;89904;22476;;
encore;6;5618;14;8;78652;33708;;
jusqu;5;5599;31;15;173569;27995;;
fois;4;5568;19;11;105792;22272;;
temps;5;5539;22;11;121858;27695;;
eau;3;5501;14;8;77014;16503;;
premier;7;5399;20;11;107980;37793;;
elles;5;5315;11;5;58465;26575;;
nous;4;5290;13;5;68770;21160;;
vers;4;5257;18;8;94626;21028;;
dire;4;5243;17;11;89131;20972;;
autre;5;5155;21;11;108255;25775;;
vie;3;5033;19;9;95627;15099;;
mort;4;5033;19;11;95627;20132;;
trois;5;4965;19;8;94335;24825;;
avait;5;4938;24;11;118512;24690;;
m;1;4929;6;3;29574;4929;;
premiere;8;4885;19;11;92815;39080;;
moins;5;4855;17;8;82535;24275;;
certains;8;4815;18;11;86670;38520;;
annees;6;4804;31;18;148924;28824;;
cet;3;4792;15;8;71880;14376;;
peuvent;7;4739;24;14;113736;33173;;
paris;5;4580;20;14;91600;22900;;
fin;3;4441;9;5;39969;13323;;
quand;5;4420;14;5;61880;22100;;
personnes;9;4306;41;26;176546;38754;;
vous;4;4254;15;5;63810;17016;;
etaient;7;4244;33;21;140052;29708;;
lieu;4;4206;15;11;63090;16824;;
ai;2;4152;11;6;45672;8304;;
doit;4;4141;18;11;74538;16564;;
terre;5;4134;24;11;99216;20670;;
trouve;6;4133;21;8;86793;24798;;
etat;4;4129;18;11;74322;16516;;
e;1;4058;4;3;16232;4058;;
faut;4;4051;12;5;48612;16204;;
nombreux;8;4048;25;11;101200;32384;;
soit;4;4037;22;8;88814;16148;;
vikidia;7;4014;43;21;172602;28098;;
quelques;8;4005;19;11;76095;32040;;
chaque;6;4001;12;8;48012;24006;;
annee;5;3983;21;11;83643;19915;;
europe;6;3982;20;11;79640;23892;;
environ;7;3972;19;11;75468;27804;;
non;3;3971;11;5;43681;11913;;
devient;7;3965;23;14;91195;27755;;
fut;3;3909;16;8;62544;11727;;
saint;5;3907;21;11;82047;19535;;
enfants;7;3894;21;14;81774;27258;;
existe;6;3881;23;11;89263;23286;;
etats;5;3856;21;11;80976;19280;;
celui;5;3828;19;11;72732;19140;;
selon;5;3821;12;5;45852;19105;;
cas;3;3800;16;9;60800;11400;;
ci;2;3762;10;6;37620;7524;;
pouvoir;7;3692;28;14;103376;25844;;
famille;7;3687;17;11;62679;25809;;
forme;5;3674;26;14;95524;18370;;
lors;4;3644;11;5;40084;14576;;
fils;4;3609;14;8;50526;14436;;
va;2;3583;16;6;57328;7166;;
empire;6;3559;22;14;78298;21354;;
place;5;3539;15;11;53085;17695;;
nombre;6;3534;22;8;77748;21204;;
partir;6;3507;28;17;98196;21042;;
francaise;9;3506;39;27;136734;31554;;
hui;3;3495;21;9;73395;10485;;
aujourd;7;3487;35;21;122045;24409;;
permet;6;3471;23;14;79833;20826;;
histoire;8;3413;21;8;71673;27304;;
toutes;6;3380;27;11;91260;20280;;
notamment;9;3369;25;11;84225;30321;;
mer;3;3366;15;9;50490;10098;;
royaume;7;3360;31;11;104160;23520;;
jours;5;3343;29;15;96947;16715;;
grace;5;3343;13;5;43459;16715;;
habitants;9;3290;32;17;105280;29610;;
cours;5;3260;19;11;61940;16300;;
jour;4;3258;22;11;71676;13032;;
me;2;3237;9;6;29133;6474;;
homme;5;3232;22;8;71104;16160;;
armee;5;3220;20;11;64400;16100;;
toujours;8;3200;28;11;89600;25600;;
petit;5;3191;16;8;51056;15955;;
region;6;3179;35;18;111265;19074;;
unis;4;3165;19;12;60135;12660;;
celle;5;3159;22;14;69498;15795;;
discussion;10;3156;26;17;82056;31560;;
pres;4;3147;14;8;44058;12588;;
h;1;3115;11;3;34265;3115;;
sera;4;3114;21;11;65394;12456;;
politique;9;3111;24;14;74664;27999;;
km;2;3101;19;6;58919;6202;;
surtout;7;3087;21;8;64827;21609;;
ne;2;3058;12;5;36696;6116;;
epoque;6;3047;40;18;121880;18282;;
effet;5;3043;16;8;48688;15215;;
gouvernement;12;3037;28;11;85036;36444;;
animaux;7;3033;20;11;60660;21231;;
debut;5;3019;26;15;78494;15095;;
cependant;9;3018;14;8;42252;27162;;
ouest;5;2997;21;11;62937;14985;;
mars;4;2986;20;12;59720;11944;;
age;3;2958;17;9;50286;8874;;
louis;5;2947;14;8;41258;14735;;
mai;3;2914;14;9;40796;8742;;
toute;5;2905;32;14;92960;14525;;
afin;4;2886;18;8;51948;11544;;
population;10;2880;24;11;69120;28800;;
compte;6;2868;24;14;68832;17208;;
pere;4;2868;22;12;63096;11472;;
te;2;2851;14;6;39914;5702;;
juin;4;2850;23;11;65550;11400;;
hommes;6;2849;25;11;71225;17094;;
eux;3;2837;17;8;48229;8511;;
