word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
est;3;139273;10;8;1392730;417819;;
le;2;201192;9;6;1810728;402384;;
de;2;369294;9;6;3323646;738588;;
la;2;231160;10;6;2311600;462320;;
et;2;162818;8;6;1302544;325636;;
les;3;172027;13;9;2236351;516081;;
a;1;142169;4;3;568676;142169;;5,334424516
en;2;131424;8;6;1051392;262848;;
des;3;128016;13;9;1664208;384048;;
d;1;106690;6;3;640140;106690;;
un;2;98321;11;6;1081531;196642;;
il;2;86530;11;6;951830;173060;;
du;2;81566;12;6;978792;163132;;
une;3;77779;14;9;1088906;233337;;
qui;3;63007;19;9;1197133;189021;;
dans;4;62106;19;12;1180014;248424;;
pour;4;59206;29;12;1716974;236824;;
par;3;55637;21;9;1168377;166911;;
au;2;46340;10;6;463400;92680;;
que;3;45724;17;9;777308;137172;;
plus;4;41215;23;12;947945;164860;;
sont;4;40154;20;12;803080;160616;;
se;2;35559;7;6;248913;71118;;
c;1;34853;7;3;243971;34853;;
sur;3;34442;20;9;688840;103326;;
ou;2;31878;12;6;382536;63756;;
on;2;30509;11;6;335599;61018;;
son;3;30237;15;9;453555;90711;;
pas;3;29643;15;9;444645;88929;;
ce;2;29011;10;6;290110;58022;;
s;1;28036;4;3;112144;28036;;
elle;4;27267;18;12;490806;109068;;
avec;4;26472;21;12;555912;105888;;
qu;2;25763;14;6;360682;51526;;
mais;4;25550;20;12;511000;102200;;
ne;2;24536;8;6;196288;49072;;
comme;5;22075;30;15;662250;110375;;
n;1;21546;5;3;107730;21546;;
sa;2;18696;8;6;149568;37392;;
ils;3;17444;15;9;261660;52332;;
ont;3;17423;16;9;278768;52269;;
ete;3;17041;11;9;187451;51123;;
y;1;16352;9;3;147168;16352;;
aux;3;16302;18;9;293436;48906;;
tres;4;16228;22;12;357016;64912;;
aussi;5;15694;23;15;360962;78470;;
ses;3;15661;11;9;172271;46983;;
cette;5;15351;23;15;353073;76755;;
fait;4;14532;22;12;319704;58128;;
peut;4;13949;21;12;292929;55796;;
leur;4;13586;25;12;339650;54344;;
deux;4;13274;23;12;305302;53096;;
etre;4;13146;21;12;276066;52584;;
meme;4;12315;20;12;246300;49260;;
etait;5;11616;22;15;255552;58080;;
entre;5;11581;26;15;301106;57905;;
je;2;11517;12;6;138204;23034;;
france;6;10672;37;18;394864;64032;;
apres;5;10577;28;15;296156;52885;;
autres;6;10414;32;18;333248;62484;;
pays;4;10308;24;12;247392;41232;;
ces;3;10300;14;9;144200;30900;;
ans;3;10179;13;9;132327;30537;;
lui;3;10160;17;9;172720;30480;;
o;1;9817;6;3;58902;9817;;
alors;5;9631;30;15;288930;48155;;
faire;5;9379;30;15;281370;46895;;
si;2;9322;9;6;83898;18644;;
tout;4;9271;22;12;203962;37084;;
j;1;9028;9;3;81252;9028;;
bien;4;8969;21;12;188349;35876;;
donc;4;8648;24;12;207552;34592;;
ville;5;8242;27;15;222534;41210;;
sous;4;8064;20;12;161280;32256;;
monde;5;7979;27;15;215433;39895;;
roi;3;7628;21;9;160188;22884;;
nom;3;7508;18;9;135144;22524;;
guerre;6;7165;39;18;279435;42990;;
siecle;6;7152;28;18;200256;42912;;
tous;4;7150;21;12;150150;28600;;
partie;6;7136;34;18;242624;42816;;
plusieurs;9;6946;51;27;354246;62514;;
depuis;6;6924;31;18;214644;41544;;
dont;4;6896;22;12;151712;27584;;
contre;6;6824;36;18;245664;40944;;
beaucoup;8;6674;47;24;313678;53392;;
ainsi;5;6582;23;15;151386;32910;;
leurs;5;6562;29;15;190298;32810;;
pendant;7;6537;35;21;228795;45759;;
puis;4;6508;22;12;143176;26032;;
grand;5;6287;32;15;201184;31435;;
car;3;6265;21;9;131565;18795;;
peu;3;6180;16;9;98880;18540;;
avoir;5;6113;32;15;195616;30565;;
grande;6;6074;35;18;212590;36444;;
t;1;6042;5;3;30210;6042;;
tu;2;5996;11;6;65956;11992;;
egalement;9;5973;43;27;256839;53757;;
sans;4;5962;17;12;101354;23848;;
nord;4;5949;27;12;160623;23796;;
sud;3;5944;16;9;95104;17832;;
souvent;7;5906;36;21;212616;41342;;
francais;8;5880;47;24;276360;47040;;
avant;5;5756;25;15;143900;28780;;
exemple;7;5715;37;21;211455;40005;;
cela;4;5619;20;12;112380;22476;;
encore;6;5618;34;18;191012;33708;;
jusqu;5;5599;33;15;184767;27995;;
fois;4;5568;23;12;128064;22272;;
temps;5;5539;26;15;144014;27695;;
eau;3;5501;13;9;71513;16503;;
premier;7;5399;45;21;242955;37793;;
elles;5;5315;22;15;116930;26575;;
