word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
de;2;369294;9;6;3323646;738588
la;2;231160;8;6;1849280;462320
le;2;201192;7;6;1408344;402384
les;3;172027;12;9;2064324;516081
et;2;162818;10;6;1628180;325636
a;1;142169;7;3;995183;142169
est;3;139273;15;9;2089095;417819
en;2;131424;10;6;1314240;262848
des;3;128016;11;9;1408176;384048
d;1;106690;3;3;320070;106690
un;2;98321;12;6;1179852;196642
il;2;86530;10;6;865300;173060
du;2;81566;9;6;734094;163132
une;3;77779;16;9;1244464;233337
qui;3;63007;16;9;1008112;189021
dans;4;62106;18;12;1117908;248424
pour;4;59206;22;12;1302532;236824
par;3;55637;13;9;723281;166911
au;2;46340;14;6;648760;92680
que;3;45724;15;9;685860;137172
plus;4;41215;20;12;824300;164860
sont;4;40154;24;12;963696;160616
se;2;35559;11;6;391149;71118
c;1;34853;5;3;174265;34853
sur;3;34442;19;9;654398;103326
ou;2;31878;14;6;446292;63756
on;2;30509;13;6;396617;61018
son;3;30237;18;9;544266;90711
pas;3;29643;14;9;415002;88929
ce;2;29011;8;6;232088;58022
s;1;28036;7;3;196252;28036
elle;4;27267;16;12;436272;109068
avec;4;26472;22;12;582384;105888
qu;2;25763;12;6;309156;51526
mais;4;25550;18;12;459900;102200
ne;2;24536;13;6;318968;49072
comme;5;22075;21;15;463575;110375
n;1;21546;9;3;193914;21546
sa;2;18696;12;6;224352;37392
ils;3;17444;15;9;261660;52332
ont;3;17423;19;9;331037;52269
ete;3;17041;15;9;255615;51123
y;1;16352;9;3;147168;16352
aux;3;16302;21;9;342342;48906
tres;4;16228;20;12;324560;64912
aussi;5;15694;28;15;439432;78470
ses;3;15661;17;9;266237;46983
cette;5;15351;23;15;353073;76755
fait;4;14532;19;12;276108;58128
peut;4;13949;21;12;292929;55796
leur;4;13586;18;12;244548;54344
deux;4;13274;18;12;238932;53096
etre;4;13146;19;12;249774;52584
meme;4;12315;16;12;197040;49260
etait;5;11616;25;15;290400;58080
entre;5;11581;24;15;277944;57905
je;2;11517;10;6;115170;23034
france;6;10672;25;18;266800;64032
apres;5;10577;29;15;306733;52885
autres;6;10414;33;18;343662;62484
pays;4;10308;19;12;195852;41232
ces;3;10300;13;9;133900;30900
ans;3;10179;17;9;173043;30537
lui;3;10160;14;9;142240;30480
o;1;9817;8;3;78536;9817
alors;5;9631;27;15;260037;48155
faire;5;9379;21;15;196959;46895
si;2;9322;11;6;102542;18644
tout;4;9271;25;12;231775;37084
j;1;9028;7;3;63196;9028
bien;4;8969;21;12;188349;35876
donc;4;8648;16;12;138368;34592
ville;5;8242;23;15;189566;41210
sous;4;8064;24;12;193536;32256
monde;5;7979;21;15;167559;39895
roi;3;7628;19;9;144932;22884
nom;3;7508;19;9;142652;22524
guerre;6;7165;30;18;214950;42990
siecle;6;7152;32;18;228864;42912
tous;4;7150;25;12;178750;28600
partie;6;7136;27;18;192672;42816
plusieurs;9;6946;43;27;298678;62514
depuis;6;6924;29;18;200796;41544
dont;4;6896;19;12;131024;27584
contre;6;6824;29;18;197896;40944
beaucoup;8;6674;40;24;266960;53392
