word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
de;2;369294;10;5;3692940;738588
la;2;231160;8;5;1849280;462320
le;2;201192;7;5;1408344;402384
les;3;172027;9;5;1548243;516081
et;2;162818;8;5;1302544;325636
a;1;142169;7;3;995183;142169
est;3;139273;13;8;1810549;417819
en;2;131424;7;5;919968;262848
des;3;128016;9;5;1152144;384048
d;1;106690;3;3;320070;106690
un;2;98321;9;5;884889;196642
il;2;86530;8;5;692240;173060
du;2;81566;9;6;734094;163132
une;3;77779;10;5;777790;233337
qui;3;63007;11;5;693077;189021
dans;4;62106;6;5;372636;248424
pour;4;59206;8;5;473648;236824
par;3;55637;9;5;500733;166911
au;2;46340;10;5;463400;92680
que;3;45724;9;5;411516;137172
plus;4;41215;12;5;494580;164860
sont;4;40154;17;8;682618;160616
se;2;35559;10;6;355590;71118
c;1;34853;5;3;174265;34853
sur;3;34442;13;5;447746;103326
ou;2;31878;13;5;414414;63756
on;2;30509;11;5;335599;61018
son;3;30237;12;5;362844;90711
pas;3;29643;10;5;296430;88929
ce;2;29011;10;5;290110;58022
s;1;28036;7;3;196252;28036
elle;4;27267;9;5;245403;109068
avec;4;26472;14;5;370608;105888
qu;2;25763;12;6;309156;51526
mais;4;25550;10;5;255500;102200
ne;2;24536;13;5;318968;49072
comme;5;22075;13;8;286975;110375
n;1;21546;9;3;193914;21546
sa;2;18696;14;5;261744;37392
ils;3;17444;9;5;156996;52332
ont;3;17423;17;8;296191;52269
ete;3;17041;15;9;255615;51123
y;1;16352;8;3;130816;16352
aux;3;16302;18;8;293436;48906
tres;4;16228;16;8;259648;64912
aussi;5;15694;20;8;313880;78470
ses;3;15661;14;8;219254;46983
cette;5;15351;11;5;168861;76755
fait;4;14532;16;8;232512;58128
peut;4;13949;21;11;292929;55796
leur;4;13586;12;8;163032;54344
deux;4;13274;12;8;159288;53096
etre;4;13146;17;8;223482;52584
meme;4;12315;14;5;172410;49260
etait;5;11616;25;15;290400;58080
entre;5;11581;14;8;162134;57905
je;2;11517;9;5;103653;23034
france;6;10672;20;11;213440;64032
apres;5;10577;11;5;116347;52885
autres;6;10414;31;14;322834;62484
pays;4;10308;18;11;185544;41232
ces;3;10300;12;5;123600;30900
ans;3;10179;19;9;193401;30537
lui;3;10160;13;8;132080;30480
o;1;9817;8;3;78536;9817
alors;5;9631;12;5;115572;48155
faire;5;9379;19;11;178201;46895
si;2;9322;10;5;93220;18644
tout;4;9271;12;5;111252;37084
j;1;9028;6;3;54168;9028
bien;4;8969;11;5;98659;35876
donc;4;8648;11;8;95128;34592
ville;5;8242;20;11;164840;41210
sous;4;8064;16;8;129024;32256
monde;5;7979;23;14;183517;39895
roi;3;7628;19;9;144932;22884
nom;3;7508;19;9;142652;22524
guerre;6;7165;19;11;136135;42990
siecle;6;7152;30;18;214560;42912
tous;4;7150;19;8;135850;28600
partie;6;7136;27;17;192672;42816
plusieurs;9;6946;13;8;90298;62514
depuis;6;6924;10;5;69240;41544
dont;4;6896;14;8;96544;27584
contre;6;6824;20;11;136480;40944
beaucoup;8;6674;15;5;100110;53392
ainsi;5;6582;13;5;85566;32910
leurs;5;6562;13;8;85306;32810
pendant;7;6537;12;8;78444;45759
puis;4;6508;14;8;91112;26032
grand;5;6287;16;8;100592;31435
car;3;6265;12;8;75180;18795
peu;3;6180;13;8;80340;18540
avoir;5;6113;22;8;134486;30565
grande;6;6074;20;11;121480;36444
t;1;6042;8;3;48336;6042
tu;2;5996;3;2;17988;11992
egalement;9;5973;41;27;244893;53757
sans;4;5962;16;8;95392;23848
nord;4;5949;24;12;142776;23796
sud;3;5944;19;9;112936;17832
souvent;7;5906;23;11;135838;41342
francais;8;5880;37;24;217560;47040
avant;5;5756;20;8;115120;28780
exemple;7;5715;19;11;108585;40005
cela;4;5619;15;11;84285;22476
encore;6;5618;15;8;84270;33708
jusqu;5;5599;29;15;162371;27995
fois;4;5568;19;11;105792;22272
temps;5;5539;21;11;116319;27695
eau;3;5501;13;8;71513;16503
premier;7;5399;20;11;107980;37793
elles;5;5315;11;5;58465;26575
nous;4;5290;14;5;74060;21160
vers;4;5257;15;8;78855;21028
dire;4;5243;15;11;78645;20972
autre;5;5155;23;11;118565;25775
vie;3;5033;16;9;80528;15099
mort;4;5033;21;11;105693;20132
trois;5;4965;17;8;84405;24825
avait;5;4938;25;11;123450;24690
m;1;4929;7;3;34503;4929
premiere;8;4885;19;11;92815;39080
moins;5;4855;18;8;87390;24275
certains;8;4815;16;11;77040;38520
annees;6;4804;34;18;163336;28824
cet;3;4792;15;8;71880;14376
peuvent;7;4739;25;14;118475;33173
paris;5;4580;20;14;91600;22900
fin;3;4441;10;5;44410;13323
quand;5;4420;13;5;57460;22100
personnes;9;4306;44;26;189464;38754
vous;4;4254;12;5;51048;17016
etaient;7;4244;33;21;140052;29708
lieu;4;4206;15;11;63090;16824
ai;2;4152;11;6;45672;8304
doit;4;4141;16;11;66256;16564
terre;5;4134;21;11;86814;20670
trouve;6;4133;19;8;78527;24798
etat;4;4129;17;11;70193;16516
e;1;4058;4;3;16232;4058
faut;4;4051;13;5;52663;16204
nombreux;8;4048;25;11;101200;32384
soit;4;4037;19;8;76703;16148
vikidia;7;4014;36;21;144504;28098
quelques;8;4005;19;11;76095;32040
chaque;6;4001;12;8;48012;24006
annee;5;3983;24;11;95592;19915
europe;6;3982;20;11;79640;23892
environ;7;3972;21;11;83412;27804
non;3;3971;12;5;47652;11913
devient;7;3965;23;14;91195;27755
fut;3;3909;16;8;62544;11727
saint;5;3907;18;11;70326;19535
enfants;7;3894;22;14;85668;27258
existe;6;3881;23;11;89263;23286
etats;5;3856;20;11;77120;19280
celui;5;3828;18;11;68904;19140
selon;5;3821;11;5;42031;19105
cas;3;3800;16;9;60800;11400
ci;2;3762;10;6;37620;7524
pouvoir;7;3692;29;14;107068;25844
famille;7;3687;18;11;66366;25809
forme;5;3674;28;14;102872;18370
lors;4;3644;11;5;40084;14576
fils;4;3609;15;8;54135;14436
va;2;3583;13;6;46579;7166
empire;6;3559;24;14;85416;21354
place;5;3539;15;11;53085;17695
nombre;6;3534;21;8;74214;21204
partir;6;3507;29;17;101703;21042
francaise;9;3506;40;27;140240;31554
hui;3;3495;18;9;62910;10485
aujourd;7;3487;37;21;129019;24409
permet;6;3471;24;14;83304;20826
histoire;8;3413;18;8;61434;27304
toutes;6;3380;26;11;87880;20280
notamment;9;3369;25;11;84225;30321
mer;3;3366;16;9;53856;10098
royaume;7;3360;26;11;87360;23520
jours;5;3343;28;15;93604;16715
grace;5;3343;10;5;33430;16715
habitants;9;3290;30;17;98700;29610
cours;5;3260;20;11;65200;16300
jour;4;3258;20;11;65160;13032
me;2;3237;10;6;32370;6474
homme;5;3232;19;8;61408;16160
armee;5;3220;22;11;70840;16100
toujours;8;3200;27;11;86400;25600
petit;5;3191;16;8;51056;15955
region;6;3179;32;18;101728;19074
unis;4;3165;22;12;69630;12660
celle;5;3159;21;14;66339;15795
discussion;10;3156;28;17;88368;31560
pres;4;3147;14;8;44058;12588
h;1;3115;8;3;24920;3115
sera;4;3114;19;11;59166;12456
politique;9;3111;24;14;74664;27999
km;2;3101;16;6;49616;6202
surtout;7;3087;20;8;61740;21609
ne;2;3058;13;5;39754;6116
epoque;6;3047;35;18;106645;18282
effet;5;3043;13;8;39559;15215
gouvernement;12;3037;26;11;78962;36444
animaux;7;3033;21;11;63693;21231
debut;5;3019;25;15;75475;15095
cependant;9;3018;14;8;42252;27162
ouest;5;2997;20;11;59940;14985
mars;4;2986;23;12;68678;11944
age;3;2958;16;9;47328;8874
louis;5;2947;14;8;41258;14735
mai;3;2914;15;9;43710;8742
toute;5;2905;32;14;92960;14525
afin;4;2886;16;8;46176;11544
population;10;2880;23;11;66240;28800
compte;6;2868;26;14;74568;17208
pere;4;2868;22;12;63096;11472
te;2;2851;11;6;31361;5702
juin;4;2850;20;11;57000;11400
hommes;6;2849;23;11;65527;17094
eux;3;2837;17;8;48229;8511
president;9;2820;40;27;112800;25380
voir;4;2805;23;11;64515;11220
mois;4;2804;22;12;61688;11216
suite;5;2791;22;8;61402;13955
nombreuses;10;2788;26;11;72488;27880
nouveau;7;2785;25;11;69625;19495
corps;5;2756;24;11;66144;13780
parfois;7;2751;22;14;60522;19257
octobre;7;2732;23;11;62836;19124
ile;3;2730;12;9;32760;8190
cest;4;2727;21;12;57267;10908
ceux;4;2718;20;11;54360;10872
millions;8;2717;25;14;67925;21736
groupe;6;2712;23;11;62376;16272
republique;10;2712;51;30;138312;27120
pourquoi;8;2711;11;5;29821;21688
certaines;9;2701;17;11;45917;24309
dit;3;2699;14;9;37786;8097
janvier;7;2682;22;11;59004;18774
reste;5;2673;17;5;45441;13365
septembre;9;2648;23;11;60904;23832
nouvelle;8;2641;24;11;63384;21128
grands;6;2632;29;18;76328;15792
des;3;2626;9;5;23634;7878
