word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
the;3;5776384;15;6;86645760;17329152
of;2;2789403;12;4;33472836;5578806
and;3;2421302;11;6;26634322;7263906
a;1;1939617;2;2;3879234;1939617
in;2;1695860;8;4;13566880;3391720
to;2;1468146;11;4;16149606;2936292
is;2;892937;9;4;8036433;1785874
was;3;839964;13;6;10919532;2519892
it;2;834957;10;4;8349570;1669914
for;3;768898;20;6;15377960;2306694
with;4;606027;19;8;11514513;2424108
he;2;605749;9;4;5451741;1211498
be;2;603178;9;4;5428602;1206356
on;2;590305;9;4;5312745;1180610
that;4;561041;17;8;9537697;2244164
by;2;490673;11;4;5397403;981346
at;2;435574;8;4;3484592;871148
you;3;426207;20;6;8524140;1278621
are;3;422562;16;6;6760992;1267686
not;3;413798;15;6;6206970;1241394
his;3;413737;12;6;4964844;1241211
this;4;404140;18;8;7274520;1616560
from;4;390876;28;8;10944528;1563504
but;3;389108;16;6;6225728;1167324
had;3;386510;10;6;3865100;1159530
which;5;349120;20;10;6982400;1745600
she;3;337345;14;6;4722830;1012035
they;4;336599;23;8;7741777;1346396
or;2;335976;13;4;4367688;671952
an;2;323963;6;4;1943778;647926
were;4;294301;26;8;7651826;1177204
we;2;249636;12;4;2995632;499272
their;5;247596;27;10;6685092;1237980
been;4;247131;19;8;4695489;988524
has;3;242854;10;6;2428540;728562
have;4;225582;19;8;4286058;902328
will;4;225381;24;8;5409144;901524
would;5;221172;30;10;6635160;1105860
her;3;211159;17;6;3589703;633477
there;5;201616;29;10;5846864;1008080
can;3;197483;10;6;1974830;592449
all;3;195515;16;6;3128240;586545
as;2;193757;7;4;1356299;387514
if;2;189926;11;4;2089186;379852
who;3;186984;14;6;2617776;560952
what;4;173582;17;8;2950894;694328
said;4;160935;16;8;2574960;643740
its;3;159578;15;6;2393670;478734
one;3;157972;15;6;2369580;473916
into;4;152395;19;8;2895505;609580
him;3;151029;15;6;2265435;453087
some;4;150609;24;8;3614616;602436
could;5;148165;28;10;4148620;740825
them;4;140989;23;8;3242747;563956
when;4;138167;19;8;2625173;552668
time;4;134941;24;8;3238584;539764
out;3;129196;18;6;2325528;387588
my;2;128980;16;4;2063680;257960
two;3;127987;17;6;2175779;383961
up;2;127430;13;4;1656590;254860
no;2;124543;9;4;1120887;249086
then;4;124501;19;8;2365519;498004
more;4;123686;27;8;3339522;494744
do;2;123315;10;4;1233150;246630
also;4;119113;19;8;2263147;476452
other;5;116367;28;10;3258276;581835
about;5;115946;23;10;2666758;579730
these;5;112278;26;10;2919228;561390
me;2;110963;14;4;1553482;221926
first;5;108775;30;10;3263250;543875
your;4;108669;28;8;3042732;434676
so;2;108593;10;4;1085930;217186
did;3;108462;14;6;1518468;325386
new;3;108392;16;6;1734272;325176
now;3;108301;15;6;1624515;324903
may;3;108088;18;6;1945584;324264
any;3;108043;14;6;1512602;324129
only;4;105411;24;8;2529864;421644
people;6;102516;36;12;3690576;615096
than;4;101495;15;8;1522425;405980
should;6;99069;32;12;3170208;594414
like;4;87862;23;8;2020826;351448
between;7;87034;37;14;3220258;609238
very;4;86823;30;8;2604690;347292
just;4;85826;23;8;1973998;343304
many;4;82920;22;8;1824240;331680
years;5;82878;29;10;2403462;414390
way;3;82343;16;6;1317488;247029
our;3;81997;20;6;1639940;245991
how;3;81957;14;6;1147398;245871
being;5;80538;25;10;2013450;402690
those;5;77238;25;10;1930950;386190
such;4;73237;19;8;1391503;292948
where;5;68574;29;10;1988646;342870
through;7;67623;40;14;2704920;473361
even;4;66199;24;8;1588776;264796
must;4;65981;26;8;1715506;263924
year;4;65430;24;8;1570320;261720
own;3;64891;15;6;973365;194673
because;7;64034;33;14;2113122;448238
still;5;63992;29;10;1855768;319960
back;4;63738;15;8;956070;254952
too;3;63637;16;6;1018192;190911
down;4;62938;20;8;1258760;251752
three;5;61900;29;10;1795100;309500
last;4;60084;20;8;1201680;240336
good;4;59308;23;8;1364084;237232
government;10;59106;63;20;3723678;591060
after;5;58975;29;10;1710275;294875
however;7;56472;42;14;2371824;395304
world;5;55504;31;10;1720624;277520
same;4;54686;21;8;1148406;218744
man;3;54569;14;6;763966;163707
life;4;53555;24;8;1285320;214220
against;7;53540;31;14;1659740;374780
under;5;53197;30;10;1595910;265985
might;5;53069;29;10;1539001;265345
most;4;52979;24;8;1271496;211916
