word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
the;3;69967;15;6;1049505;209901
of;2;36449;12;4;437388;72898
and;3;28888;11;6;317768;86664
to;2;26232;11;4;288552;52464
a;1;23361;2;2;46722;23361
in;2;21400;8;4;171200;42800
that;4;10593;17;8;180081;42372
is;2;10105;9;4;90945;20210
was;3;9816;13;6;127608;29448
for;3;9495;20;6;189900;28485
with;4;7280;19;8;138320;29120
it;2;8771;10;4;87710;17542
as;2;7249;7;4;50743;14498
he;2;9547;9;4;85923;19094
his;3;6995;12;6;83940;20985
on;2;6759;9;4;60831;13518
be;2;6381;9;4;57429;12762
i;1;5184;4;2;20736;5184
by;2;5342;11;4;58762;10684
had;3;5134;10;6;51340;15402
at;2;5376;8;4;43008;10752
not;3;4619;15;6;69285;13857
are;3;4393;16;6;70288;13179
from;4;4371;28;8;122388;17484
or;2;4196;13;4;54548;8392
this;4;5144;18;8;92592;20576
have;4;3942;19;8;74898;15768
an;2;3736;6;4;22416;7472
which;5;3557;20;10;71140;17785
were;4;3287;26;8;85462;13148
but;3;4382;16;6;70112;13146
one;3;3439;15;6;51585;10317
her;3;3036;17;6;51612;9108
you;3;3287;20;6;65740;9861
all;3;3093;16;6;49488;9279
they;4;3624;23;8;83352;14496
would;5;2720;30;10;81600;13600
him;3;2619;15;6;39285;7857
their;5;2667;27;10;72009;13335
been;4;2470;19;8;46930;9880
has;3;2433;10;6;24330;7299
will;4;2248;24;8;53952;8992
who;3;2252;14;6;31528;6756
more;4;2216;27;8;59832;8864
out;3;2165;18;6;38970;6495
we;2;2652;12;4;31824;5304
she;3;2860;14;6;40040;8580
up;2;1974;13;4;25662;3948
said;4;1962;16;8;31392;7848
there;5;2728;29;10;79112;13640
no;2;2223;9;4;20007;4446
so;2;2028;10;4;20280;4056
than;4;1796;15;8;26940;7184
them;4;1787;23;8;41101;7148
its;3;1858;15;6;27870;5574
into;4;1789;19;8;33991;7156
when;4;2333;19;8;44327;9332
about;5;1816;23;10;41768;9080
can;3;1771;10;6;17710;5313
only;4;1748;24;8;41952;6992
time;4;1691;24;8;40584;6764
other;5;1702;28;10;47656;8510
could;5;1601;28;10;44828;8005
if;2;2196;11;4;24156;4392
what;4;1909;17;8;32453;7636
some;4;1618;24;8;38832;6472
two;3;1516;17;6;25772;4548
any;3;1338;14;6;18732;4014
like;4;1343;23;8;30889;5372
may;3;1398;18;6;25164;4194
do;2;1375;10;4;13750;2750
over;4;1304;27;8;35208;5216
first;5;1389;30;10;41670;6945
these;5;1573;26;10;40898;7865
such;4;1295;19;8;24605;5180
man;3;1238;14;6;17332;3714
my;2;1318;16;4;21088;2636
me;2;1182;14;4;16548;2364
our;3;1253;20;6;25060;3759
made;4;1135;21;8;23835;4540
most;4;1161;24;8;27864;4644
now;3;1317;15;6;19755;3951
new;3;1646;16;6;26336;4938
then;4;1379;19;8;26201;5516
must;4;1012;26;8;26312;4048
did;3;1044;14;6;14616;3132
also;4;1069;19;8;20311;4276
even;4;1172;24;8;28128;4688
back;4;976;15;8;14640;3904
before;6;1015;35;12;35525;6090
through;7;974;40;14;38960;6818
many;4;1036;22;8;22792;4144
years;5;949;29;10;27521;4745
down;4;922;20;8;18440;3688
much;4;943;22;8;20746;3772
way;3;922;16;6;14752;2766
well;4;1004;26;8;26104;4016
your;4;925;28;8;25900;3700
should;6;888;32;12;28416;5328
where;5;937;29;10;27173;4685
mr;2;845;16;4;13520;1690
after;5;1074;29;10;31146;5370
long;4;879;24;8;21096;3516
people;6;850;36;12;30600;5100
because;7;883;33;14;29139;6181
too;3;842;16;6;13472;2526
good;4;831;23;8;19113;3324
little;6;834;36;12;30024;5004
make;4;804;22;8;17688;3216
those;5;850;25;10;21250;4250
year;4;791;24;8;18984;3164
own;3;773;15;6;11595;2319
very;4;796;30;8;23880;3184
work;4;773;25;8;19325;3092
each;4;878;15;8;13170;3512
just;4;872;23;8;20056;3488
see;3;775;17;6;13175;2325
men;3;769;18;6;13842;2307
still;5;785;29;10;22765;3925
get;3;752;20;6;15040;2256
between;7;730;37;14;27010;5110
world;5;811;31;10;25141;4055
being;5;720;25;10;18000;3600
day;3;756;15;6;11340;2268
life;4;729;24;8;17496;2916
know;4;689;21;8;14469;2756
same;4;686;21;8;14406;2744
might;5;672;29;10;19488;3360
never;5;699;32;10;22368;3495
us;2;671;12;4;8052;1342
off;3;673;19;6;12787;2019
how;3;839;14;6;11746;2517
under;5;714;30;10;21420;3570
old;3;747;17;6;12699;2241
three;5;704;29;10;20416;3520
both;4;731;17;8;12427;2924
last;4;684;20;8;13680;2736
came;4;622;20;8;12440;2488
against;7;628;31;14;19468;4396
