word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
the;3;189;15;6;2835;567
a;1;107;2;2;214;107
is;2;85;9;4;765;170
to;2;56;11;4;616;112
of;2;54;12;4;648;108
you;3;49;20;6;980;147
are;3;36;16;6;576;108
in;2;34;8;4;272;68
for;3;27;20;6;540;81
i;1;26;4;2;104;26
very;4;24;30;8;720;96
my;2;23;16;4;368;46
your;4;22;28;8;616;88
this;4;21;18;8;378;84
and;3;20;11;6;220;60
do;2;20;10;4;200;40
be;2;19;9;4;171;38
not;3;18;15;6;270;54
good;4;17;23;8;391;68
on;2;17;9;4;153;34
with;4;17;19;8;323;68
that;4;16;17;8;272;64
will;4;16;24;8;384;64
too;3;15;16;6;240;45
we;2;15;12;4;180;30
an;2;14;6;4;84;28
was;3;14;13;6;182;42
all;3;12;16;6;192;36
he;2;11;9;4;99;22
it;2;11;10;4;110;22
must;4;11;26;8;286;44
out;3;11;18;6;198;33
our;3;10;20;6;200;30
at;2;9;8;4;72;18
can;3;9;10;6;90;27
get;3;9;20;6;180;27
never;5;9;32;10;288;45
one;3;9;15;6;135;27
has;3;8;10;6;80;24
like;4;8;23;8;184;32
what;4;8;17;8;136;32
have;4;7;19;8;133;28
water;5;7;28;10;196;35
about;5;6;23;10;138;30
by;2;6;11;4;66;12
come;4;6;23;8;138;24
go;2;6;13;4;78;12
if;2;6;11;4;66;12
just;4;6;23;8;138;24
make;4;6;22;8;132;24
much;4;6;22;8;132;24
play;4;6;23;8;138;24
time;4;6;24;8;144;24
up;2;6;13;4;78;12
way;3;6;16;6;96;18
work;4;6;25;8;150;24
bad;3;5;10;6;50;15
big;3;5;15;6;75;15
coffee;6;5;35;12;175;30
did;3;5;14;6;70;15
dog;3;5;18;6;90;15
expensive;9;5;52;18;260;45
from;4;5;28;8;140;20
high;4;5;18;8;90;20
house;5;5;26;10;130;25
lot;3;5;18;6;90;15
many;4;5;22;8;110;20
more;4;5;27;8;135;20
no;2;5;9;4;45;10
please;6;5;32;12;160;30
question;8;5;44;16;220;40
see;3;5;17;6;85;15
than;4;5;15;8;75;20
there;5;5;29;10;145;25
always;6;4;30;12;120;24
better;6;4;35;12;140;24
