word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
the;3;189;11;6;2079;567
a;1;107;4;2;428;107
is;2;85;10;4;850;170
to;2;56;7;4;392;112
of;2;54;10;4;540;108
you;3;49;18;6;882;147
are;3;36;12;6;432;108
in;2;34;9;4;306;68
for;3;27;15;6;405;81
i;1;26;5;2;130;26
very;4;24;23;8;552;96
my;2;23;13;4;299;46
your;4;22;23;8;506;88
this;4;21;18;8;378;84
and;3;20;14;6;280;60
do;2;20;10;4;200;40
be;2;19;10;4;190;38
not;3;18;11;6;198;54
good;4;17;21;8;357;68
on;2;17;8;4;136;34
with;4;17;20;8;340;68
that;4;16;15;8;240;64
will;4;16;24;8;384;64
too;3;15;11;6;165;45
we;2;15;10;4;150;30
an;2;14;8;4;112;28
was;3;14;16;6;224;42
all;3;12;16;6;192;36
he;2;11;8;4;88;22
it;2;11;8;4;88;22
must;4;11;21;8;231;44
out;3;11;14;6;154;33
our;3;10;16;6;160;30
at;2;9;7;4;63;18
can;3;9;14;6;126;27
get;3;9;13;6;117;27
never;5;9;23;10;207;45
one;3;9;11;6;99;27
has;3;8;14;6;112;24
like;4;8;22;8;176;32
what;4;8;19;8;152;32
have;4;7;20;8;140;28
water;5;7;22;10;154;35
about;5;6;25;10;150;30
by;2;6;14;4;84;12
come;4;6;19;8;114;24
go;2;6;11;4;66;12
if;2;6;11;4;66;12
just;4;6;23;8;138;24
make;4;6;21;8;126;24
much;4;6;24;8;144;24
play;4;6;24;8;144;24
time;4;6;17;8;102;24
up;2;6;14;4;84;12
way;3;6;18;6;108;18
work;4;6;24;8;144;24
bad;3;5;17;6;85;15
big;3;5;19;6;95;15
coffee;6;5;28;12;140;30
did;3;5;17;6;85;15
dog;3;5;17;6;85;15
expensive;9;5;46;18;230;45
from;4;5;21;8;105;20
high;4;5;22;8;110;20
house;5;5;24;10;120;25
lot;3;5;13;6;65;15
many;4;5;21;8;105;20
more;4;5;18;8;90;20
no;2;5;8;4;40;10
please;6;5;28;12;140;30
question;8;5;39;16;195;40
see;3;5;11;6;55;15
than;4;5;16;8;80;20
there;5;5;19;10;95;25
always;6;4;33;12;132;24
better;6;4;24;12;96;24
every;5;4;26;10;104;20
favorite;8;4;38;16;152;32
first;5;4;24;10;96;20
hard;4;4;20;8;80;16
her;3;4;13;6;52;12
home;4;4;18;8;72;16
important;9;4;41;18;164;36
keep;4;4;21;8;84;16
late;4;4;16;8;64;16
lie;3;4;14;6;56;12
me;2;4;9;4;36;8
nation;6;4;24;12;96;24
should;6;4;33;12;132;24
so;2;4;9;4;36;8
some;4;4;18;8;72;16
take;4;4;18;8;72;16
their;5;4;21;10;84;20
through;7;4;36;14;144;28
today;5;4;24;10;96;20
want;4;4;18;8;72;16
where;5;4;23;10;92;20
am;2;3;10;4;30;6
before;6;3;28;12;84;18
bone;4;3;18;8;54;12
but;3;3;17;6;51;9
cannot;6;3;25;12;75;18
complicated;11;3;56;22;168;33
day;3;3;17;6;51;9
deserve;7;3;33;14;99;21
difficult;9;3;50;18;150;27
does;4;3;18;8;54;12
drugs;5;3;30;10;90;15
effort;6;3;27;12;81;18
faster;6;3;26;12;78;18
fine;4;3;18;8;54;12
food;4;3;20;8;60;12
force;5;3;24;10;72;15
help;4;3;21;8;63;12
idea;4;3;18;8;54;12
jacket;6;3;32;12;96;18
leave;5;3;24;10;72;15
library;7;3;39;14;117;21
little;6;3;26;12;78;18
love;4;3;21;8;63;12
makes;5;3;26;10;78;15
midnight;8;3;41;16;123;24
month;5;3;22;10;66;15
most;4;3;18;8;54;12
movie;5;3;26;10;78;15
music;5;3;29;10;87;15
new;3;3;14;6;42;9
nothing;7;3;32;14;96;21
off;3;3;16;6;48;9
only;4;3;21;8;63;12
parking;7;3;40;14;120;21
questions;9;3;44;18;132;27
rain;4;3;18;8;54;12
sharp;5;3;26;10;78;15
silly;5;3;29;10;87;15
smart;5;3;23;10;69;15
takes;5;3;23;10;69;15
they;4;3;18;8;54;12
thing;5;3;24;10;72;15
three;5;3;19;10;57;15
took;4;3;19;8;57;12
traveling;9;3;45;18;135;27
two;3;3;14;6;42;9
us;2;3;12;4;36;6
walk;4;3;25;8;75;12
watch;5;3;25;10;75;15
watched;7;3;34;14;102;21
win;3;3;16;6;48;9
words;5;3;27;10;81;15
wrong;5;3;27;10;81;15
accident;8;2;37;16;74;16
agree;5;2;22;10;44;10
ask;3;2;17;6;34;6
asked;5;2;26;10;52;10
