word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
the ;4;189;23;8;4347;756
a ;2;107;10;4;1070;214
is ;3;85;17;6;1445;255
to ;3;56;19;6;1064;168
of ;3;54;20;6;1080;162
you ;4;49;28;8;1372;196
are ;4;36;24;8;864;144
in ;3;34;16;6;544;102
for ;4;27;28;8;756;108
i ;2;26;12;4;312;52
very ;5;24;38;10;912;120
my ;3;23;24;6;552;69
your ;5;22;36;10;792;110
this ;5;21;26;10;546;105
and ;4;20;19;8;380;80
do ;3;20;18;6;360;60
be ;3;19;17;6;323;57
not ;4;18;23;8;414;72
good ;5;17;31;10;527;85
on ;3;17;17;6;289;51
with ;5;17;27;10;459;85
that ;5;16;25;10;400;80
will ;5;16;32;10;512;80
too ;4;15;24;8;360;60
we ;3;15;20;6;300;45
an ;3;14;14;6;196;42
was ;4;14;21;8;294;56
all ;4;12;24;8;288;48
he ;3;11;17;6;187;33
it ;3;11;18;6;198;33
must ;5;11;34;10;374;55
out ;4;11;26;8;286;44
our ;4;10;28;8;280;40
at ;3;9;16;6;144;27
can ;4;9;18;8;162;36
get ;4;9;28;8;252;36
never ;6;9;40;12;360;54
one ;4;9;23;8;207;36
has ;4;8;18;8;144;32
like ;5;8;31;10;248;40
what ;5;8;25;10;200;40
have ;5;7;27;10;189;35
water ;6;7;36;12;252;42
about ;6;6;31;12;186;36
by ;3;6;19;6;114;18
come ;5;6;31;10;186;30
go ;3;6;21;6;126;18
if ;3;6;19;6;114;18
just ;5;6;31;10;186;30
make ;5;6;30;10;180;30
much ;5;6;30;10;180;30
play ;5;6;31;10;186;30
time ;5;6;32;10;192;30
up ;3;6;21;6;126;18
way ;4;6;24;8;144;24
work ;5;6;33;10;198;30
bad ;4;5;18;8;90;20
big ;4;5;23;8;115;20
coffee ;7;5;43;14;215;35
did ;4;5;22;8;110;20
dog ;4;5;26;8;130;20
expensive ;10;5;60;20;300;50
from ;5;5;36;10;180;25
high ;5;5;26;10;130;25
house ;6;5;34;12;170;30
lot ;4;5;26;8;130;20
many ;5;5;30;10;150;25
more ;5;5;35;10;175;25
no ;3;5;17;6;85;15
please ;7;5;40;14;200;35
question ;9;5;52;18;260;45
see ;4;5;25;8;125;20
than ;5;5;23;10;115;25
there ;6;5;37;12;185;30
always ;7;4;38;14;152;28
better ;7;4;43;14;172;28
every ;6;4;44;12;176;24
favorite ;9;4;54;18;216;36
first ;6;4;38;12;152;24
hard ;5;4;26;10;104;20
her ;4;4;25;8;100;16
home ;5;4;30;10;120;20
important ;10;4;57;20;228;40
keep ;5;4;32;10;128;20
late ;5;4;29;10;116;20
lie ;4;4;25;8;100;16
me ;3;4;22;6;88;12
nation ;7;4;33;14;132;28
should ;7;4;40;14;160;28
so ;3;4;18;6;72;12
some ;5;4;32;10;128;20
take ;5;4;28;10;112;20
their ;6;4;35;12;140;24
through ;8;4;48;16;192;32
today ;6;4;34;12;136;24
want ;5;4;26;10;104;20
where ;6;4;37;12;148;24
am ;3;3;18;6;54;9
before ;7;3;43;14;129;21
bone ;5;3;26;10;78;15
but ;4;3;24;8;72;12
cannot ;7;3;33;14;99;21
complicated ;12;3;65;24;195;36
day ;4;3;23;8;69;12
deserve ;8;3;52;16;156;24
difficult ;10;3;59;20;177;30
does ;5;3;29;10;87;15
drugs ;6;3;41;12;123;18
effort ;7;3;47;14;141;21
faster ;7;3;42;14;126;21
fine ;5;3;29;10;87;15
food ;5;3;30;10;90;15
force ;6;3;38;12;114;18
help ;5;3;30;10;90;15
idea ;5;3;25;10;75;15
jacket ;7;3;37;14;111;21
leave ;6;3;37;12;111;18
library ;8;3;48;16;144;24
little ;7;3;44;14;132;21
