word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
the ;4;189;13;8;2457;756
a ;2;107;6;4;642;214
is ;3;85;12;6;1020;255
to ;3;56;9;6;504;168
of ;3;54;12;6;648;162
you ;4;49;20;8;980;196
are ;4;36;14;8;504;144
in ;3;34;11;6;374;102
for ;4;27;17;8;459;108
i ;2;26;7;4;182;52
very ;5;24;25;10;600;120
my ;3;23;15;6;345;69
your ;5;22;25;10;550;110
this ;5;21;20;10;420;105
and ;4;20;16;8;320;80
do ;3;20;12;6;240;60
be ;3;19;13;6;247;57
not ;4;18;13;8;234;72
good ;5;17;23;10;391;85
on ;3;17;10;6;170;51
with ;5;17;22;10;374;85
that ;5;16;17;10;272;80
will ;5;16;26;10;416;80
too ;4;15;13;8;195;60
we ;3;15;12;6;180;45
an ;3;14;10;6;140;42
was ;4;14;18;8;252;56
all ;4;12;18;8;216;48
he ;3;11;10;6;110;33
it ;3;11;10;6;110;33
must ;5;11;23;10;253;55
out ;4;11;16;8;176;44
our ;4;10;18;8;180;40
at ;3;9;9;6;81;27
can ;4;9;16;8;144;36
get ;4;9;15;8;135;36
never ;6;9;25;12;225;54
one ;4;9;13;8;117;36
has ;4;8;16;8;128;32
like ;5;8;24;10;192;40
what ;5;8;21;10;168;40
have ;5;7;22;10;154;35
water ;6;7;24;12;168;42
about ;6;6;28;12;168;36
by ;3;6;17;6;102;18
come ;5;6;21;10;126;30
go ;3;6;13;6;78;18
if ;3;6;13;6;78;18
just ;5;6;26;10;156;30
make ;5;6;23;10;138;30
much ;5;6;26;10;156;30
play ;5;6;26;10;156;30
time ;5;6;19;10;114;30
up ;3;6;16;6;96;18
way ;4;6;20;8;120;24
work ;5;6;26;10;156;30
bad ;4;5;20;8;100;20
big ;4;5;22;8;110;20
coffee ;7;5;30;14;150;35
did ;4;5;19;8;95;20
dog ;4;5;19;8;95;20
expensive ;10;5;48;20;240;50
from ;5;5;23;10;115;25
high ;5;5;24;10;120;25
house ;6;5;26;12;130;30
lot ;4;5;15;8;75;20
many ;5;5;23;10;115;25
more ;5;5;20;10;100;25
no ;3;5;10;6;50;15
please ;7;5;30;14;150;35
question ;9;5;42;18;210;45
see ;4;5;13;8;65;20
than ;5;5;18;10;90;25
there ;6;5;21;12;105;30
always ;7;4;35;14;140;28
better ;7;4;27;14;108;28
every ;6;4;28;12;112;24
favorite ;9;4;40;18;160;36
first ;6;4;26;12;104;24
hard ;5;4;22;10;88;20
her ;4;4;15;8;60;16
home ;5;4;20;10;80;20
important ;10;4;43;20;172;40
keep ;5;4;23;10;92;20
late ;5;4;18;10;72;20
lie ;4;4;16;8;64;16
me ;3;4;11;6;44;12
nation ;7;4;26;14;104;28
