word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
the;3;70002;15;6;1050030;210006
fulton;6;17;36;12;612;102
county;6;160;34;12;5440;960
grand;5;52;27;10;1404;260
jury;4;68;28;8;1904;272
said;4;1961;16;8;31376;7844
friday;6;62;34;12;2108;372
an;2;3750;6;4;22500;7500
investigation;13;51;66;26;3366;663
of;2;36472;12;4;437664;72944
atlanta;7;39;29;14;1131;273
s;1;6288;5;2;31440;6288
recent;6;179;34;12;6086;1074
primary;7;98;44;14;4312;686
election;8;79;42;16;3318;632
produced;8;91;46;16;4186;728
no;2;2219;9;4;19971;4438
evidence;8;204;43;16;8772;1632
that;4;10789;17;8;183413;43156
any;3;1345;14;6;18830;4035
irregularities;14;8;83;28;664;112
took;4;426;22;8;9372;1704
place;5;589;25;10;14725;2945
further;7;218;45;14;9810;1526
in;2;21422;8;4;171376;42844
term;4;130;28;8;3640;520
end;3;428;15;6;6420;1284
presentments;12;1;70;24;70;12
city;4;428;22;8;9416;1712
executive;9;56;54;18;3024;504
committee;9;170;53;18;9010;1530
which;5;3561;20;10;71220;17805
had;3;5131;10;6;51310;15393
over;4;1307;27;8;35289;5228
all;3;3099;16;6;49584;9297
charge;6;126;31;12;3906;756
deserves;8;16;49;16;784;128
praise;6;17;31;12;527;102
and;3;28935;11;6;318285;86805
thanks;6;37;26;12;962;222
for;3;9499;20;6;189980;28497
manner;6;124;32;12;3968;744
was;3;9815;13;6;127595;29445
conducted;9;55;46;18;2530;495
september;9;60;54;18;3240;540
october;7;54;37;14;1998;378
been;4;2473;19;8;46987;9892
charged;7;58;36;14;2088;406
by;2;5348;11;4;58828;10696
superior;8;46;49;16;2254;368
court;5;242;30;10;7260;1210
judge;5;80;31;10;2480;400
durwood;7;1;41;14;41;7
pye;3;1;20;6;20;3
to;2;26239;11;4;288629;52478
investigate;11;11;59;22;649;121
reports;7;84;44;14;3696;588
possible;8;373;41;16;15293;2984
hard;4;230;18;8;4140;920
fought;6;48;36;12;1728;288
won;3;175;15;6;2625;525
mayor;5;50;31;10;1550;250
nominate;8;4;39;16;156;32
ivan;4;4;18;8;72;16
allen;5;21;26;10;546;105
jr;2;77;13;4;1001;154
only;4;1747;24;8;41928;6988
a;1;23547;2;2;47094;23547
relative;8;46;47;16;2162;368
handful;7;13;35;14;455;91
such;4;1303;19;8;24757;5212
received;8;164;47;16;7708;1312
considering;11;47;57;22;2679;517
widespread;10;30;53;20;1590;300
interest;8;334;45;16;15030;2672
