word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
de;2;369294;7;4;2585058;738588
la;2;231160;12;4;2773920;462320
le;2;201192;11;4;2213112;402384
les;3;172027;16;6;2752432;516081
et;2;162818;10;4;1628180;325636
a;1;142169;5;2;710845;142169
est;3;139273;15;6;2089095;417819
en;2;131424;12;4;1577088;262848
des;3;128016;13;6;1664208;384048
d;1;106690;4;2;426760;106690
un;2;98321;16;4;1573136;196642
il;2;86530;13;4;1124890;173060
du;2;81566;12;4;978792;163132
une;3;77779;20;6;1555580;233337
qui;3;63007;22;6;1386154;189021
dans;4;62106;22;8;1366332;248424
pour;4;59206;24;8;1420944;236824
par;3;55637;14;6;778918;166911
au;2;46340;13;4;602420;92680
que;3;45724;20;6;914480;137172
plus;4;41215;25;8;1030375;164860
sont;4;40154;26;8;1044004;160616
se;2;35559;9;4;320031;71118
c;1;34853;5;2;174265;34853
sur;3;34442;17;6;585514;103326
ou;2;31878;15;4;478170;63756
on;2;30509;15;4;457635;61018
son;3;30237;20;6;604740;90711
pas;3;29643;15;6;444645;88929
ce;2;29011;9;4;261099;58022
s;1;28036;5;2;140180;28036
elle;4;27267;22;8;599874;109068
avec;4;26472;21;8;555912;105888
qu;2;25763;16;4;412208;51526
mais;4;25550;22;8;562100;102200
ne;2;24536;12;4;294432;49072
comme;5;22075;28;10;618100;110375
n;1;21546;8;2;172368;21546
sa;2;18696;10;4;186960;37392
ils;3;17444;18;6;313992;52332
ont;3;17423;21;6;365883;52269
ete;3;17041;14;6;238574;51123
y;1;16352;9;2;147168;16352
aux;3;16302;23;6;374946;48906
tres;4;16228;19;8;308332;64912
aussi;5;15694;29;10;455126;78470
ses;3;15661;14;6;219254;46983
cette;5;15351;25;10;383775;76755
fait;4;14532;23;8;334236;58128
peut;4;13949;23;8;320827;55796
leur;4;13586;23;8;312478;54344
deux;4;13274;26;8;345124;53096
etre;4;13146;18;8;236628;52584
meme;4;12315;20;8;246300;49260
etait;5;11616;27;10;313632;58080
entre;5;11581;26;10;301106;57905
je;2;11517;12;4;138204;23034
france;6;10672;32;12;341504;64032
apres;5;10577;23;10;243271;52885
autres;6;10414;32;12;333248;62484
pays;4;10308;24;8;247392;41232
ces;3;10300;14;6;144200;30900
ans;3;10179;18;6;183222;30537
lui;3;10160;21;6;213360;30480
o;1;9817;7;2;68719;9817
alors;5;9631;28;10;269668;48155
faire;5;9379;25;10;234475;46895
si;2;9322;11;4;102542;18644
tout;4;9271;27;8;250317;37084
j;1;9028;8;2;72224;9028
bien;4;8969;24;8;215256;35876
donc;4;8648;24;8;207552;34592
ville;5;8242;31;10;255502;41210
sous;4;8064;25;8;201600;32256
monde;5;7979;29;10;231391;39895
roi;3;7628;17;6;129676;22884
nom;3;7508;21;6;157668;22524
guerre;6;7165;31;12;222115;42990
siecle;6;7152;31;12;221712;42912
tous;4;7150;26;8;185900;28600
partie;6;7136;30;12;214080;42816
plusieurs;9;6946;52;18;361192;62514
depuis;6;6924;32;12;221568;41544
dont;4;6896;25;8;172400;27584
contre;6;6824;34;12;232016;40944
beaucoup;8;6674;48;16;320352;53392
ainsi;5;6582;30;10;197460;32910
leurs;5;6562;28;10;183736;32810
pendant;7;6537;40;14;261480;45759
puis;4;6508;24;8;156192;26032
grand;5;6287;28;10;176036;31435
car;3;6265;14;6;87710;18795
peu;3;6180;17;6;105060;18540
avoir;5;6113;29;10;177277;30565
grande;6;6074;32;12;194368;36444
t;1;6042;6;2;36252;6042
tu;2;5996;14;4;83944;11992
egalement;9;5973;51;18;304623;53757
sans;4;5962;23;8;137126;23848
nord;4;5949;23;8;136827;23796
sud;3;5944;17;6;101048;17832
souvent;7;5906;45;14;265770;41342
francais;8;5880;44;16;258720;47040
avant;5;5756;31;10;178436;28780
exemple;7;5715;40;14;228600;40005
cela;4;5619;21;8;117999;22476
encore;6;5618;32;12;179776;33708
jusqu;5;5599;37;10;207163;27995
fois;4;5568;24;8;133632;22272
temps;5;5539;26;10;144014;27695
eau;3;5501;17;6;93517;16503
premier;7;5399;33;14;178167;37793
elles;5;5315;27;10;143505;26575
nous;4;5290;28;8;148120;21160
vers;4;5257;20;8;105140;21028
dire;4;5243;18;8;94374;20972
autre;5;5155;27;10;139185;25775
vie;3;5033;17;6;85561;15099
mort;4;5033;23;8;115759;20132
trois;5;4965;28;10;139020;24825
avait;5;4938;29;10;143202;24690
m;1;4929;6;2;29574;4929
premiere;8;4885;37;16;180745;39080
moins;5;4855;32;10;155360;24275
