word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
de;2;369294;8;6;2954352;738588
la;2;231160;8;6;1849280;462320
le;2;201192;9;6;1810728;402384
les;3;172027;15;9;2580405;516081
et;2;162818;11;6;1790998;325636
a;1;142169;4;3;568676;142169
est;3;139273;17;9;2367641;417819
en;2;131424;10;6;1314240;262848
des;3;128016;14;9;1792224;384048
d;1;106690;4;3;426760;106690
un;2;98321;11;6;1081531;196642
il;2;86530;9;6;778770;173060
du;2;81566;10;6;815660;163132
une;3;77779;15;9;1166685;233337
qui;3;63007;17;9;1071119;189021
dans;4;62106;18;12;1117908;248424
pour;4;59206;23;12;1361738;236824
par;3;55637;15;9;834555;166911
au;2;46340;11;6;509740;92680
que;3;45724;17;9;777308;137172
plus;4;41215;23;12;947945;164860
sont;4;40154;24;12;963696;160616
se;2;35559;12;6;426708;71118
c;1;34853;3;3;104559;34853
sur;3;34442;21;9;723282;103326
ou;2;31878;12;6;382536;63756
on;2;30509;11;6;335599;61018
son;3;30237;18;9;544266;90711
pas;3;29643;16;9;474288;88929
ce;2;29011;7;6;203077;58022
s;1;28036;8;3;224288;28036
elle;4;27267;19;12;518073;109068
avec;4;26472;19;12;502968;105888
qu;2;25763;13;6;334919;51526
mais;4;25550;18;12;459900;102200
ne;2;24536;11;6;269896;49072
comme;5;22075;23;15;507725;110375
n;1;21546;7;3;150822;21546
sa;2;18696;11;6;205656;37392
ils;3;17444;15;9;261660;52332
ont;3;17423;17;9;296191;52269
ete;3;17041;15;9;255615;51123
y;1;16352;7;3;114464;16352
aux;3;16302;18;9;293436;48906
tres;4;16228;23;12;373244;64912
aussi;5;15694;27;15;423738;78470
ses;3;15661;19;9;297559;46983
cette;5;15351;23;15;353073;76755
fait;4;14532;19;12;276108;58128
peut;4;13949;22;12;306878;55796
leur;4;13586;21;12;285306;54344
deux;4;13274;21;12;278754;53096
etre;4;13146;21;12;276066;52584
meme;4;12315;19;12;233985;49260
etait;5;11616;25;15;290400;58080
entre;5;11581;26;15;301106;57905
je;2;11517;10;6;115170;23034
france;6;10672;27;18;288144;64032
apres;5;10577;29;15;306733;52885
autres;6;10414;33;18;343662;62484
pays;4;10308;22;12;226776;41232
ces;3;10300;13;9;133900;30900
ans;3;10179;15;9;152685;30537
lui;3;10160;15;9;152400;30480
o;1;9817;6;3;58902;9817
alors;5;9631;26;15;250406;48155
faire;5;9379;23;15;215717;46895
si;2;9322;12;6;111864;18644
tout;4;9271;24;12;222504;37084
j;1;9028;6;3;54168;9028
bien;4;8969;18;12;161442;35876
donc;4;8648;17;12;147016;34592
ville;5;8242;26;15;214292;41210
sous;4;8064;25;12;201600;32256
monde;5;7979;23;15;183517;39895
roi;3;7628;18;9;137304;22884
nom;3;7508;17;9;127636;22524
guerre;6;7165;31;18;222115;42990
siecle;6;7152;31;18;221712;42912
tous;4;7150;25;12;178750;28600
partie;6;7136;29;18;206944;42816
plusieurs;9;6946;49;27;340354;62514
depuis;6;6924;32;18;221568;41544
dont;4;6896;20;12;137920;27584
contre;6;6824;29;18;197896;40944
beaucoup;8;6674;38;24;253612;53392
ainsi;5;6582;23;15;151386;32910
leurs;5;6562;27;15;177174;32810
pendant;7;6537;33;21;215721;45759
puis;4;6508;22;12;143176;26032
grand;5;6287;23;15;144601;31435
car;3;6265;12;9;75180;18795
peu;3;6180;16;9;98880;18540
avoir;5;6113;27;15;165051;30565
grande;6;6074;27;18;163998;36444
t;1;6042;7;3;42294;6042
tu;2;5996;14;6;83944;11992
egalement;9;5973;42;27;250866;53757
sans;4;5962;22;12;131164;23848
nord;4;5949;22;12;130878;23796
sud;3;5944;19;9;112936;17832
souvent;7;5906;41;21;242146;41342
francais;8;5880;37;24;217560;47040
avant;5;5756;26;15;149656;28780
exemple;7;5715;36;21;205740;40005
cela;4;5619;15;12;84285;22476
encore;6;5618;28;18;157304;33708
jusqu;5;5599;30;15;167970;27995
fois;4;5568;21;12;116928;22272
temps;5;5539;29;15;160631;27695
eau;3;5501;15;9;82515;16503
premier;7;5399;35;21;188965;37793
elles;5;5315;25;15;132875;26575
nous;4;5290;24;12;126960;21160
vers;4;5257;24;12;126168;21028
dire;4;5243;19;12;99617;20972
autre;5;5155;27;15;139185;25775
vie;3;5033;16;9;80528;15099
mort;4;5033;22;12;110726;20132
trois;5;4965;28;15;139020;24825
avait;5;4938;25;15;123450;24690
m;1;4929;5;3;24645;4929
