word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
de;2;369294;11;5;4062234;738588;;;
la;2;231160;12;5;2773920;462320;;;
le;2;201192;11;5;2213112;402384;;;
les;3;172027;13;5;2236351;516081;;;
et;2;162818;12;5;1953816;325636;;;
a;1;142169;4;3;568676;142169;;;
est;3;139273;17;8;2367641;417819;;;
en;2;131424;11;5;1445664;262848;;;
des;3;128016;13;5;1664208;384048;;;
d;1;106690;4;3;426760;106690;;;
un;2;98321;12;5;1179852;196642;;;4,388258649
il;2;86530;10;5;865300;173060;;;
du;2;81566;10;6;815660;163132;;;
une;3;77779;13;5;1011127;233337;;;
qui;3;63007;15;5;945105;189021;;;
dans;4;62106;10;5;621060;248424;;;
pour;4;59206;12;5;710472;236824;;;
par;3;55637;13;5;723281;166911;;;
au;2;46340;10;5;463400;92680;;;
que;3;45724;13;5;594412;137172;;;
plus;4;41215;16;5;659440;164860;;;
sont;4;40154;21;8;843234;160616;;;
se;2;35559;12;6;426708;71118;;;
c;1;34853;3;3;104559;34853;;;
sur;3;34442;17;5;585514;103326;;;
ou;2;31878;14;5;446292;63756;;;
on;2;30509;12;5;366108;61018;;;
son;3;30237;16;5;483792;90711;;;
pas;3;29643;14;5;415002;88929;;;
ce;2;29011;11;5;319121;58022;;;
s;1;28036;8;3;224288;28036;;;
elle;4;27267;13;5;354471;109068;;;
avec;4;26472;14;5;370608;105888;;;
qu;2;25763;13;6;334919;51526;;;
mais;4;25550;11;5;281050;102200;;;
ne;2;24536;14;5;343504;49072;;;
comme;5;22075;14;8;309050;110375;;;
n;1;21546;7;3;150822;21546;;;
sa;2;18696;18;5;336528;37392;;;
ils;3;17444;11;5;191884;52332;;;
ont;3;17423;18;8;313614;52269;;;
ete;3;17041;15;9;255615;51123;;;
y;1;16352;7;3;114464;16352;;;
aux;3;16302;18;8;293436;48906;;;
tres;4;16228;19;8;308332;64912;;;
aussi;5;15694;20;8;313880;78470;;;
ses;3;15661;19;8;297559;46983;;;
cette;5;15351;12;5;184212;76755;;;
fait;4;14532;19;8;276108;58128;;;
peut;4;13949;25;11;348725;55796;;;
leur;4;13586;17;8;230962;54344;;;
deux;4;13274;17;8;225658;53096;;;
etre;4;13146;20;8;262920;52584;;;
meme;4;12315;15;5;184725;49260;;;
etait;5;11616;25;15;290400;58080;;;
entre;5;11581;18;8;208458;57905;;;
je;2;11517;12;5;138204;23034;;;
france;6;10672;24;11;256128;64032;;;
apres;5;10577;11;5;116347;52885;;;
autres;6;10414;32;14;333248;62484;;;
pays;4;10308;22;11;226776;41232;;;
ces;3;10300;13;5;133900;30900;;;
ans;3;10179;15;9;152685;30537;;;
lui;3;10160;17;8;172720;30480;;;
o;1;9817;6;3;58902;9817;;;
alors;5;9631;12;5;115572;48155;;;
faire;5;9379;22;11;206338;46895;;;
si;2;9322;14;5;130508;18644;;;
tout;4;9271;14;5;129794;37084;;;
j;1;9028;6;3;54168;9028;;;
bien;4;8969;11;5;98659;35876;;;
donc;4;8648;15;8;129720;34592;;;
ville;5;8242;23;11;189566;41210;;;
sous;4;8064;20;8;161280;32256;;;
monde;5;7979;25;14;199475;39895;;;
roi;3;7628;18;9;137304;22884;;;
nom;3;7508;17;9;127636;22524;;;
guerre;6;7165;21;11;150465;42990;;;
siecle;6;7152;31;18;221712;42912;;;
tous;4;7150;20;8;143000;28600;;;
partie;6;7136;32;17;228352;42816;;;
plusieurs;9;6946;18;8;125028;62514;;;
depuis;6;6924;14;5;96936;41544;;;
dont;4;6896;18;8;124128;27584;;;
contre;6;6824;21;11;143304;40944;;;
beaucoup;8;6674;15;5;100110;53392;;;
ainsi;5;6582;13;5;85566;32910;;;
leurs;5;6562;18;8;118116;32810;;;
pendant;7;6537;16;8;104592;45759;;;
puis;4;6508;18;8;117144;26032;;;
grand;5;6287;18;8;113166;31435;;;
car;3;6265;12;8;75180;18795;;;
peu;3;6180;17;8;105060;18540;;;
avoir;5;6113;21;8;128373;30565;;;
grande;6;6074;22;11;133628;36444;;;
t;1;6042;7;3;42294;6042;;;
tu;2;5996;6;2;35976;11992;;;
egalement;9;5973;42;27;250866;53757;;;
sans;4;5962;19;8;113278;23848;;;
nord;4;5949;22;12;130878;23796;;;
sud;3;5944;19;9;112936;17832;;;
souvent;7;5906;27;11;159462;41342;;;
francais;8;5880;37;24;217560;47040;;;
avant;5;5756;19;8;109364;28780;;;
exemple;7;5715;22;11;125730;40005;;;
cela;4;5619;18;11;101142;22476;;;
encore;6;5618;19;8;106742;33708;;;
jusqu;5;5599;30;15;167970;27995;;;
fois;4;5568;21;11;116928;22272;;;
temps;5;5539;23;11;127397;27695;;;
eau;3;5501;17;8;93517;16503;;;
premier;7;5399;26;11;140374;37793;;;
elles;5;5315;15;5;79725;26575;;;
nous;4;5290;15;5;79350;21160;;;
vers;4;5257;18;8;94626;21028;;;
dire;4;5243;21;11;110103;20972;;;
autre;5;5155;23;11;118565;25775;;;
vie;3;5033;16;9;80528;15099;;;
mort;4;5033;22;11;110726;20132;;;
trois;5;4965;20;8;99300;24825;;;
avait;5;4938;24;11;118512;24690;;;
m;1;4929;5;3;24645;4929;;;
premiere;8;4885;25;11;122125;39080;;;
moins;5;4855;19;8;92245;24275;;;
certains;8;4815;20;11;96300;38520;;;
annees;6;4804;31;18;148924;28824;;;
cet;3;4792;17;8;81464;14376;;;
peuvent;7;4739;29;14;137431;33173;;;
paris;5;4580;25;14;114500;22900;;;
fin;3;4441;13;5;57733;13323;;;
quand;5;4420;17;5;75140;22100;;;
personnes;9;4306;50;26;215300;38754;;;
vous;4;4254;14;5;59556;17016;;;
etaient;7;4244;34;21;144296;29708;;;
lieu;4;4206;20;11;84120;16824;;;
ai;2;4152;8;6;33216;8304;;;
doit;4;4141;20;11;82820;16564;;;
terre;5;4134;25;11;103350;20670;;;
trouve;6;4133;22;8;90926;24798;;;
etat;4;4129;20;11;82580;16516;;;
e;1;4058;5;3;20290;4058;;;
faut;4;4051;16;5;64816;16204;;;
nombreux;8;4048;26;11;105248;32384;;;
soit;4;4037;23;8;92851;16148;;;
vikidia;7;4014;35;21;140490;28098;;;
quelques;8;4005;24;11;96120;32040;;;
chaque;6;4001;13;8;52013;24006;;;
annee;5;3983;24;11;95592;19915;;;
europe;6;3982;24;11;95568;23892;;;
environ;7;3972;24;11;95328;27804;;;
non;3;3971;13;5;51623;11913;;;
devient;7;3965;27;14;107055;27755;;;
fut;3;3909;19;8;74271;11727;;;
saint;5;3907;21;11;82047;19535;;;
enfants;7;3894;25;14;97350;27258;;;
existe;6;3881;25;11;97025;23286;;;
etats;5;3856;23;11;88688;19280;;;
celui;5;3828;21;11;80388;19140;;;
selon;5;3821;15;5;57315;19105;;;
cas;3;3800;13;9;49400;11400;;;
ci;2;3762;8;6;30096;7524;;;
pouvoir;7;3692;32;14;118144;25844;;;
famille;7;3687;21;11;77427;25809;;;
forme;5;3674;31;14;113894;18370;;;
lors;4;3644;15;5;54660;14576;;;
fils;4;3609;18;8;64962;14436;;;
va;2;3583;11;6;39413;7166;;;
empire;6;3559;27;14;96093;21354;;;
place;5;3539;20;11;70780;17695;;;
nombre;6;3534;22;8;77748;21204;;;
partir;6;3507;34;17;119238;21042;;;
francaise;9;3506;41;27;143746;31554;;;
hui;3;3495;16;9;55920;10485;;;
aujourd;7;3487;37;21;129019;24409;;;
permet;6;3471;29;14;100659;20826;;;
histoire;8;3413;19;8;64847;27304;;;
toutes;6;3380;27;11;91260;20280;;;
notamment;9;3369;26;11;87594;30321;;;
mer;3;3366;16;9;53856;10098;;;
royaume;7;3360;28;11;94080;23520;;;
jours;5;3343;29;15;96947;16715;;;
grace;5;3343;11;5;36773;16715;;;
habitants;9;3290;30;17;98700;29610;;;
cours;5;3260;21;11;68460;16300;;;
jour;4;3258;23;11;74934;13032;;;
me;2;3237;9;6;29133;6474;;;
homme;5;3232;20;8;64640;16160;;;
armee;5;3220;21;11;67620;16100;;;
toujours;8;3200;28;11;89600;25600;;;
petit;5;3191;20;8;63820;15955;;;
region;6;3179;31;18;98549;19074;;;
unis;4;3165;21;12;66465;12660;;;
celle;5;3159;25;14;78975;15795;;;
discussion;10;3156;32;17;100992;31560;;;
pres;4;3147;19;8;59793;12588;;;
h;1;3115;6;3;18690;3115;;;
sera;4;3114;25;11;77850;12456;;;
politique;9;3111;28;14;87108;27999;;;
km;2;3101;13;6;40313;6202;;;
surtout;7;3087;23;8;71001;21609;;;
ne;2;3058;14;5;42812;6116;;;
epoque;6;3047;37;18;112739;18282;;;
effet;5;3043;16;8;48688;15215;;;
gouvernement;12;3037;26;11;78962;36444;;;
animaux;7;3033;21;11;63693;21231;;;
debut;5;3019;25;15;75475;15095;;;
cependant;9;3018;16;8;48288;27162;;;
ouest;5;2997;22;11;65934;14985;;;
mars;4;2986;20;12;59720;11944;;;
age;3;2958;13;9;38454;8874;;;
louis;5;2947;18;8;53046;14735;;;
mai;3;2914;12;9;34968;8742;;;
toute;5;2905;33;14;95865;14525;;;
afin;4;2886;15;8;43290;11544;;;
population;10;2880;27;11;77760;28800;;;
compte;6;2868;27;14;77436;17208;;;
pere;4;2868;22;12;63096;11472;;;
te;2;2851;11;6;31361;5702;;;
juin;4;2850;23;11;65550;11400;;;
hommes;6;2849;24;11;68376;17094;;;
eux;3;2837;20;8;56740;8511;;;
president;9;2820;45;27;126900;25380;;;
voir;4;2805;25;11;70125;11220;;;
mois;4;2804;20;12;56080;11216;;;
suite;5;2791;25;8;69775;13955;;;
nombreuses;10;2788;27;11;75276;27880;;;
nouveau;7;2785;26;11;72410;19495;;;
corps;5;2756;24;11;66144;13780;;;
parfois;7;2751;26;14;71526;19257;;;
octobre;7;2732;24;11;65568;19124;;;
ile;3;2730;13;9;35490;8190;;;
cest;4;2727;19;12;51813;10908;;;
ceux;4;2718;21;11;57078;10872;;;
millions;8;2717;28;14;76076;21736;;;
groupe;6;2712;25;11;67800;16272;;;
republique;10;2712;54;30;146448;27120;;;
pourquoi;8;2711;15;5;40665;21688;;;
certaines;9;2701;21;11;56721;24309;;;
