mot,freq
la,233454
pataphysique,24
est,140573
une,77897
science,559
pa,110413
odique,6
elle,28211
désigne,1171
des,128828
solutions,180
imaginai,223
es,65535
l,158242
apost,21
ophe,313
n,22427
pas,29649
utilisée,820
devant,1516
le,204545
mot,2013
lo,7879
sque,1780
te,30112
me,20155
utilisé,1811
comme,24034
un,98732
adjectif,123
fut,3909
c,59879
éé,1660
éc,6476
ivain,514
f,39406
ançais,5890
alf,167
ed,462
ja,1022
y,19559
qui,63062
avait,4942
défini,249
acco,2051
de,378755
symboliquement,34
aux,17501
linéaments,1
les,174220
p,114580
op,5602
iétés,507
objets,1098
déc,1364
its,1005
leu,20235
vi,2971
tualité,1
dans,62107
beaucoup,6674
d,139751
uv,2325
cet,4828
t,103356
ès,31578
ésente,2960
se,53030
développa,36
au,50244
e,268304
siècle,7152
collège,1564
en,132908
pou,66897
enseigne,274
il,89161
actuellement,1035
situé,1475
à,142173
is,10296
ivains,220
et,167103
a,110513
tistes,712
illust,630
sont,40154
pataphysiciens,8
ma,23094
cel,152
duchamp,10
jacques,799
éve,96
bo,2374
vian,6
aymond,109
queneau,17
man,469
ay,226
eugène,148
ionesco,7
geo,860
ges,1053
pe,25430
ec,1708
antonin,36
taud,6
jean,2183
ch,4416
istophe,255
ave,3263
ty,681
fe,4590
nando,41
abal,5
mais,26598
aussi,15694
peint,768
tels,893
que,48559
joan,21
mi,3210
dubuffet,5
david,438
hockney,2
ou,33305
enco,5642
académiciens,6
pascal,128
o,35958
ne,29758
évolutionnai,599
ambitionnent,1
change,1252
monde,7981
mouvement,1548
dada,21
su,43285
éaliste,114
essence,138
ailleu,1867
s,122974
dadaïstes,3
éalistes,69
app,4312
end,10612
atique,1597
tous,7152
peut,13949
initie,40
aisément,45
cela,5619
suffit,403
effo,416
ce,45517
pense,1396
choses,1106
auxquelles,101
vous,4254
pensez,104
aut,18322
pensent,495
fai,9472
nécessite,189
toutefois,825
applique,429
incipe,621
impo,6199
tant,4719
équivalence,18
toutes,3380
ainsi,6582
pataphysicien,2
sé,3162
ieux,550
st,2407
ictement,75
équivalent,290
ond,154
faitement,220
ca,16623
é,12138
v,3609
ai,10926
indémont,3
able,1104
ku,280
gödel,8
patafix,1
moteu,777
eche,1887
che,5353
patakosmos,1
éfé,1583
ence,2487
unive,2168
it,4485
lett,1026
zé,235
chiff,719
nomb,11094
natu,2928
el,1272
dinal,212
signifie,1199
qu,25792
combien,165
co,11464
espondant,156
ensemble,2216
vide,392
absence,382
exemple,5715
quand,4421
este,3694
pièce,678
po,8876
monnaie,468
plus,41244
pièces,835
langage,531
jou,9298
espond,620
aucun,1060
élève,629
absent,76
vient,2570
du,87357
latin,1185
zephi,1
us,2202
lui,10160
même,12315
venant,339
abe,791
sif,12
donné,1817
indien,279
çûnya,1
indiens,414
peuple,1263
découve,1747
bien,8969
emie,7119
ovient,284
babyloniens,51
avant,6144
jésus,882
ist,453
quelle,523
soit,4037
valeu,1104
cette,15352
iété,734
explique,1090
quoi,3657
impossible,393
divise,281
voi,3832
division,497
alphabets,32
notamment,3369
asie,1288
on,36729
utilise,2470
symboles,209
mathématiques,575
